id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8f3565b3,Ante Budimir,17,CRO,FW,26-099,78,1,0,0,0,2,1,1,0,28,1,0,1,0.3,0.3,0.0,2,0,11,23,47.8,2,19,0,0,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
80dbbd10,Simeon Nwankwo,99,NGA,FW,25-175,12,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,6,0,0,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
acdad0aa,Marcello Trotta,29,ITA,FW,25-030,86,1,1,0,0,2,1,0,0,33,2,1,0,0.3,0.3,0.2,6,2,19,26,73.1,2,27,3,1,1,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
f9714604,Arlind Ajeti,93,ALB,"CB,FW",24-034,4,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
4468b31a,Adrian Stoian,8,ROU,LM,26-260,67,0,0,0,0,0,0,0,0,33,1,1,1,0.0,0.0,0.0,4,1,13,24,54.2,5,21,4,1,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
b5b27493,Marcus Rohdén,6,SWE,RM,26-171,23,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,5,0,0,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
c7259b83,Rolando Mandragora,38,ITA,CM,20-122,90,0,0,0,0,2,1,0,0,35,3,6,0,0.1,0.1,0.0,1,0,17,24,70.8,0,14,1,0,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
32ebfe1e,Andrea Barberis,18,ITA,CM,23-322,90,0,0,0,0,1,1,0,0,41,2,2,3,0.0,0.0,0.0,0,0,19,28,67.9,6,19,0,0,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
65c75ea8,Andrea Nalini,9,ITA,"RM,LM",27-131,90,0,0,0,0,1,1,0,0,43,2,1,0,0.0,0.0,0.0,2,0,19,34,55.9,2,31,6,3,1,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
47146acb,Daniel Pavlović,20,BIH,LB,29-190,90,0,0,0,0,2,0,0,0,40,1,0,0,0.1,0.1,0.2,3,0,21,34,61.8,3,10,0,0,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
d9624b51,Federico Ceccherini,7,ITA,CB,25-171,90,0,0,0,0,0,0,0,0,36,0,1,0,0.0,0.0,0.0,0,0,10,19,52.6,0,6,0,0,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
b5365398,Stefan Simić,34,CZE,CB,22-282,90,0,0,0,0,0,0,1,0,30,1,2,0,0.0,0.0,0.0,0,0,13,22,59.1,2,8,0,0,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
cda2ec29,Mario Sampirisi,69,ITA,RB,24-363,90,0,0,0,0,1,0,0,0,38,1,0,1,0.0,0.0,0.0,1,0,14,30,46.7,4,18,0,0,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
e66ebabb,Alex Cordaz,1,ITA,GK,34-301,90,0,0,0,0,0,0,1,0,38,0,0,0,0.0,0.0,0.0,1,0,22,38,57.9,0,15,0,0,0,Crotone,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
343c0d52,Giovanni Simeone,9,ARG,FW,22-116,90,0,0,0,0,3,1,0,0,28,0,0,0,0.3,0.3,0.0,1,0,11,18,61.1,0,15,0,0,0,Fiorentina,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
ae82fa48,Valentin Eysseric,10,FRA,LW,25-218,45,0,0,0,0,1,0,0,0,26,0,0,0,0.0,0.0,0.0,2,0,15,22,68.2,1,11,0,2,1,Fiorentina,2017-10-29 Crotone-Fiorentina,ITA-SERIA_A,17-18,84afc3cc
