id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5dbefa9d,André Ayew,28,GHA,"FW,AM,LW",34-105,90,0,0,0,0,1,0,0,0,40,2,0,1,0.0,0.0,0.1,6,0,20,28,71.4,1,28,5,5,2,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
2e1b7c83,Emmanuel Sabbi,11,USA,LW,26-098,64,0,0,0,0,3,1,0,0,44,2,3,1,0.2,0.2,0.0,3,0,17,29,58.6,4,34,7,5,3,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
481f76cf,Josué Casimir,23,FRA,"LB,RW",22-189,26,0,0,0,0,1,0,1,0,22,2,1,0,0.0,0.0,0.0,0,0,12,14,85.7,3,11,1,0,0,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
c3b6fa1e,Loïc Nego,7,HUN,RW,33-076,64,0,0,0,0,2,0,1,0,32,1,0,0,0.2,0.2,0.0,1,0,21,24,87.5,3,18,0,2,1,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
01870104,Mohamed Lamine Bayo,9,GUI,FW,25-301,26,0,0,0,0,1,1,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,0,0,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
d4e93bab,Daler Kuzyaev,14,RUS,"AM,DM",31-076,90,0,0,0,0,1,0,0,0,58,0,1,1,0.0,0.0,0.1,5,0,37,50,74.0,9,40,1,1,1,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
ef7cd87a,Abdoulaye Touré,94,GUI,DM,30-028,88,0,0,0,0,1,0,0,0,64,2,1,0,0.0,0.0,0.1,2,0,41,55,74.5,11,43,2,0,0,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
36f65bdf,Rassoul Ndiaye,19,SEN,DM,22-111,2,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,3,0,0,0,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
abefc3af,Yassine Kechta,8,MAR,DM,22-035,77,0,0,0,0,1,0,0,0,53,3,0,1,0.1,0.1,0.2,4,0,35,44,79.5,9,38,3,3,1,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
f9124307,Antoine Joujou,21,FRA,LW,21-019,13,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,7,0,4,1,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
9f29c204,Oualid El Hajjam,17,MAR,LB,33-041,77,0,0,0,0,2,1,0,0,42,0,2,1,0.0,0.0,0.2,1,0,27,33,81.8,4,26,0,0,0,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
d2448564,Samuel Grandsir,29,FRA,RW,27-230,13,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,13,1,1,0,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
ac89503b,Gautier Lloris,4,FRA,CB,28-257,90,0,0,0,0,1,0,0,0,66,2,1,1,0.1,0.1,0.0,1,0,40,55,72.7,4,43,0,0,0,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
12a4e38c,Etienne Youte Kinkoue,6,FRA,CB,22-077,90,0,0,0,0,0,0,0,0,51,1,3,2,0.0,0.0,0.0,0,0,39,42,92.9,2,35,3,0,0,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
17bb562c,Arouna Sangante,93,SEN,RB,21-354,90,0,0,0,0,0,0,0,0,47,3,3,1,0.0,0.0,0.0,0,0,25,36,69.4,3,25,2,1,1,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
e8c5dd4d,Arthur Desmas,30,FRA,GK,29-359,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,1,0,25,32,78.1,0,22,0,0,0,Le Havre,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
2ccd39ed,Akor Adams,8,NGA,FW,24-062,72,0,0,0,0,3,0,0,0,17,0,0,1,0.3,0.3,0.0,1,0,3,7,42.9,0,10,2,3,1,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
05ba9d7c,Tanguy Coulibaly,70,FRA,FW,23-042,18,0,0,0,0,1,1,0,0,15,2,0,0,0.1,0.1,0.0,0,0,5,8,62.5,1,8,0,1,0,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
7b9a9e25,Arnaud Nordin,7,FRA,LM,25-288,90,0,1,0,0,3,0,0,0,40,1,0,0,0.2,0.2,0.6,5,1,20,27,74.1,4,35,5,8,5,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
375622c5,Jordan Ferri,12,FRA,CM,32-019,88,1,0,0,0,1,1,0,0,73,5,0,0,0.3,0.3,0.1,4,0,56,62,90.3,11,58,0,4,1,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
fcc84a07,Léo Leroy,18,FRA,CM,24-046,2,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
6bde367b,Téji Savanier,11,FRA,CM,32-100,90,0,0,0,0,2,1,0,0,84,2,1,3,0.0,0.0,0.3,7,1,51,68,75.0,4,56,0,6,3,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
f15f8b2b,Musa Al-Taamari,9,JOR,RM,26-295,72,0,0,0,0,1,0,0,0,24,2,0,0,0.0,0.0,0.0,2,1,9,14,64.3,1,21,0,3,0,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
8b66d9cc,Yann Karamoh,23,FRA,RM,25-267,18,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,6,2,0,0,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
c284d6fb,Becir Omeragic,27,SUI,DM,22-071,90,0,0,0,0,0,0,1,0,36,2,2,2,0.0,0.0,0.0,1,0,19,27,70.4,1,16,0,1,1,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
02b3733e,Lucas Mincarelli,35,FRA,LB,20-086,90,0,1,0,0,2,1,0,0,56,2,2,3,0.1,0.1,0.3,2,1,34,43,79.1,2,26,5,0,0,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
76d679c7,Modibo Sagnan,5,MLI,CB,24-352,90,0,0,0,0,0,0,1,0,44,2,1,1,0.0,0.0,0.1,1,0,29,37,78.4,0,29,0,0,0,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
562a4799,Boubakar Kouyaté,4,MLI,CB,26-351,59,0,0,0,0,0,0,0,0,41,2,1,0,0.0,0.0,0.0,0,0,24,29,82.8,0,23,0,0,0,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
f323d995,Christopher Jullien,6,FRA,CB,31-009,31,1,0,0,0,1,1,0,0,17,1,0,2,0.6,0.6,0.0,0,0,7,9,77.8,0,8,0,0,0,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
7f783431,Enzo Tchato,29,CMR,RB,21-129,88,0,0,0,0,0,0,0,0,62,2,0,3,0.0,0.0,0.0,1,0,36,52,69.2,2,33,0,0,0,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
f8342731,Silvan Hefti,36,SUI,RB,26-158,2,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,0,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
2fa2a875,Benjamin Lecomte,40,FRA,GK,32-340,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,19,35,54.3,0,27,0,0,0,Montpellier,2024-03-31 Le Havre-Montpellier,FRA-L1,23-24,84ed0867
