id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
3745e8bd,Sebastian Polter,40,GER,FW,30-283,90,0,0,0,0,0,0,0,0,36,1,1,3,0.0,0.0,0.0,1,0,9,23,39.1,1,21,0,1,0,Bochum,2022-01-09 Bochum-Wolfsburg,GER-BL1,21-22,864b04fa
2979c05a,Gerrit Holtmann,17,PHI,LW,26-290,90,0,0,0,0,2,0,0,0,29,0,0,0,0.1,0.1,0.0,2,0,9,17,52.9,1,22,5,7,3,Bochum,2022-01-09 Bochum-Wolfsburg,GER-BL1,21-22,864b04fa
13ddc856,Takuma Asano,10,JPN,RW,27-060,77,0,0,0,0,1,0,0,0,32,0,2,1,0.0,0.0,0.1,4,1,16,22,72.7,2,21,2,2,0,Bochum,2022-01-09 Bochum-Wolfsburg,GER-BL1,21-22,864b04fa
0a3f6cde,Christopher Antwi-Adjei,22,GHA,RW,27-336,13,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,1,0,3,8,37.5,1,11,0,1,0,Bochum,2022-01-09 Bochum-Wolfsburg,GER-BL1,21-22,864b04fa
1ae836b1,Elvis Rexhbeçaj,20,GER,LM,24-069,86,0,0,0,0,2,0,0,0,46,5,2,0,0.0,0.0,0.2,1,0,19,33,57.6,2,20,0,1,1,Bochum,2022-01-09 Bochum-Wolfsburg,GER-BL1,21-22,864b04fa
037130ca,Robert Tesche,23,GER,LM,34-227,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Bochum,2022-01-09 Bochum-Wolfsburg,GER-BL1,21-22,864b04fa
07c7eb0c,Anthony Losilla,8,FRA,CM,35-305,90,0,0,0,0,2,1,0,0,63,3,1,0,0.2,0.2,0.0,1,0,46,57,80.7,5,18,0,0,0,Bochum,2022-01-09 Bochum-Wolfsburg,GER-BL1,21-22,864b04fa
5dc15574,Miloš Pantović,27,SRB,RM,25-186,81,1,0,0,0,3,2,0,0,44,2,2,0,0.3,0.3,0.1,3,0,19,31,61.3,4,18,0,3,2,Bochum,2022-01-09 Bochum-Wolfsburg,GER-BL1,21-22,864b04fa
70678132,Eduard Löwen,38,GER,RM,24-346,9,0,0,0,0,1,0,0,0,7,0,0,0,0.2,0.2,0.0,0,0,2,5,40.0,1,4,1,0,0,Bochum,2022-01-09 Bochum-Wolfsburg,GER-BL1,21-22,864b04fa
