id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d705ba44,Andrea Belotti,9,ITA,FW,26-303,90,2,0,1,1,4,2,0,0,33,2,1,1,1.1,0.3,0.1,2,0,12,20,60.0,1,16,1,1,0,Torino,2020-10-18 Torino-Cagliari,ITA-SERIA_A,20-21,86fc57b5
bf57eaab,Federico Bonazzoli,26,ITA,FW,23-150,90,0,1,0,0,2,1,1,0,13,1,0,0,0.1,0.1,0.1,3,1,7,7,100.0,1,10,0,0,0,Torino,2020-10-18 Torino-Cagliari,ITA-SERIA_A,20-21,86fc57b5
c6e8cf1f,Saša Lukić,7,SRB,AM,24-066,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.1,6,1,42,47,89.4,4,37,4,3,2,Torino,2020-10-18 Torino-Cagliari,ITA-SERIA_A,20-21,86fc57b5
d023d70f,Karol Linetty,77,POL,LM,25-259,87,0,0,0,0,0,0,0,0,55,4,0,0,0.0,0.0,0.0,2,0,43,46,93.5,7,27,0,1,0,Torino,2020-10-18 Torino-Cagliari,ITA-SERIA_A,20-21,86fc57b5
bbafc0c4,Cristian Ansaldi,15,ARG,LM,34-028,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,4,0,0,0,Torino,2020-10-18 Torino-Cagliari,ITA-SERIA_A,20-21,86fc57b5
5cec2c74,Soualiho Meïté,23,FRA,RM,26-215,78,0,0,0,0,2,1,0,0,57,0,1,0,0.1,0.1,0.0,1,0,41,49,83.7,2,41,2,3,2,Torino,2020-10-18 Torino-Cagliari,ITA-SERIA_A,20-21,86fc57b5
0375723e,Simone Verdi,24,ITA,RM,28-098,12,0,0,0,0,2,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,3,5,60.0,0,7,0,1,1,Torino,2020-10-18 Torino-Cagliari,ITA-SERIA_A,20-21,86fc57b5
f1cfc209,Tomás Rincón,88,VEN,DM,32-279,90,0,0,0,0,1,0,1,0,63,1,1,0,0.0,0.0,0.1,3,0,52,58,89.7,4,29,2,0,0,Torino,2020-10-18 Torino-Cagliari,ITA-SERIA_A,20-21,86fc57b5
7f78ad23,Ricardo Rodríguez,13,SUI,LB,28-054,87,0,0,0,0,1,1,0,0,79,2,3,1,0.0,0.0,0.0,2,1,60,66,90.9,6,48,1,1,0,Torino,2020-10-18 Torino-Cagliari,ITA-SERIA_A,20-21,86fc57b5
