id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
43b78598,Mauro Icardi,9,ARG,FW,24-203,90,1,0,1,1,2,2,0,0,15,0,0,0,0.9,0.1,0.1,2,1,5,10,50.0,0,4,0,0,0,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
6fe90922,Ivan Perišić,44,CRO,LW,28-220,90,1,0,0,0,5,2,0,0,64,0,1,1,0.3,0.3,0.1,3,0,37,50,74.0,3,32,6,2,0,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
356c9002,Antonio Candreva,87,ITA,RW,30-194,87,0,0,0,0,2,1,0,0,75,0,0,1,0.0,0.0,0.1,4,0,53,69,76.8,5,59,7,2,1,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
5a325298,Éder,23,ITA,RW,30-299,3,0,0,0,0,1,0,0,0,8,0,0,0,0.3,0.3,0.0,1,0,6,7,85.7,0,6,2,0,0,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
f0021247,João Mário,10,POR,AM,24-234,65,0,0,0,0,0,0,0,0,39,1,0,0,0.0,0.0,0.2,8,1,34,37,91.9,5,29,3,3,2,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
33b8d077,Marcelo Brozović,77,CRO,AM,24-298,25,0,0,0,0,1,0,0,0,32,1,0,0,0.1,0.1,0.3,3,0,20,29,69.0,3,20,3,0,0,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
0e21fc3c,Borja Valero,20,ESP,DM,32-241,77,0,0,0,0,1,1,0,0,93,1,1,1,0.0,0.0,0.0,2,0,86,90,95.6,7,62,2,0,0,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
44ac04e9,Matías Vecino,11,URU,DM,26-017,13,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,3,0,23,23,100.0,2,13,1,0,0,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
ce30bfc8,Roberto Gagliardini,5,ITA,DM,23-156,90,0,0,0,0,2,0,1,0,123,7,1,0,0.1,0.1,0.0,4,0,101,108,93.5,14,71,2,1,0,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
f45f9427,Dalbert Henrique,29,BRA,LB,24-002,90,0,0,0,0,2,0,0,0,74,4,0,0,0.0,0.0,0.0,0,0,54,67,80.6,7,46,7,1,0,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
314f2124,Miranda,25,BRA,CB,33-003,90,0,0,0,0,0,0,0,0,65,1,0,1,0.0,0.0,0.0,0,0,52,58,89.7,3,41,0,0,0,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
30f5ffa9,Milan Škriniar,37,SVK,CB,22-211,90,0,0,0,0,1,0,0,0,75,1,1,1,0.0,0.0,0.0,1,0,62,65,95.4,2,39,0,0,0,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
44eb9093,Danilo D'Ambrosio,33,ITA,RB,29-001,90,0,1,0,0,1,0,1,0,79,2,0,0,0.0,0.0,0.1,3,1,64,73,87.7,12,40,1,1,1,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
74419746,Samir Handanović,1,SVN,GK,33-058,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,22,23,95.7,0,8,0,0,0,Internazionale,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
a889ffc7,Marco Borriello,22,ITA,FW,35-084,90,0,0,0,0,1,0,0,0,26,0,0,0,0.1,0.1,0.0,2,0,18,20,90.0,1,15,0,0,0,SPAL,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
b5cae4e6,Alberto Paloschi,43,ITA,FW,27-249,65,0,0,0,0,2,0,0,0,19,0,0,0,0.2,0.2,0.0,1,0,11,14,78.6,2,10,0,0,0,SPAL,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
43a2e16c,Mirco Antenucci,7,ITA,FW,33-002,25,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.1,2,0,5,6,83.3,0,7,1,2,1,SPAL,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
42fff925,Luca Mora,20,ITA,CM,29-123,77,0,0,0,0,1,0,1,0,37,3,0,0,0.0,0.0,0.0,1,0,20,26,76.9,3,23,3,1,1,SPAL,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
6cc97b6a,Alberto Grassi,88,ITA,CM,22-187,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,6,0,0,0,SPAL,2017-09-10 Inter-SPAL,ITA-SERIA_A,17-18,8815cfb6
