id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
45963054,Jamie Vardy,9,ENG,FW,34-048,90,0,0,0,0,0,0,0,0,18,1,1,2,0.0,0.0,0.0,1,0,7,11,63.6,0,7,1,2,2,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
c92e1a31,Kelechi Iheanacho,14,NGA,FW,24-148,90,0,0,0,0,4,1,0,0,33,0,0,0,0.2,0.2,0.0,0,0,17,26,65.4,4,22,1,1,1,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
3ea50f67,Harvey Barnes,15,ENG,LM,23-081,50,0,0,0,0,1,1,0,0,16,0,0,3,0.0,0.0,0.0,0,0,5,9,55.6,1,9,0,2,0,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
1880614f,Cengiz Ünder,19,TUR,RM,23-229,40,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,2,0,10,17,58.8,0,16,1,2,1,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
56f7a928,Youri Tielemans,8,BEL,CM,23-297,90,1,0,0,0,1,1,1,0,66,2,1,2,0.0,0.0,0.0,3,1,42,58,72.4,4,39,2,1,0,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
6b47c5db,Wilfred Ndidi,25,NGA,CM,24-074,90,0,0,0,0,0,0,0,0,58,7,3,2,0.0,0.0,0.0,3,0,30,40,75.0,1,26,0,0,0,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
75a72a99,Ricardo Pereira,21,POR,"LB,RM",27-145,90,0,0,0,0,0,0,0,0,37,1,2,0,0.0,0.0,0.0,0,0,23,34,67.6,1,23,0,1,1,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
fc027d02,Luke Thomas,33,ENG,LB,19-263,45,0,0,0,0,0,0,1,0,28,0,2,0,0.0,0.0,0.0,0,0,11,21,52.4,1,10,0,0,0,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
b827d5b3,Marc Albrighton,11,ENG,"LM,RM",31-102,45,0,0,0,0,1,0,0,0,32,5,0,0,0.0,0.0,0.1,1,0,14,19,73.7,4,16,0,1,1,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
21166ff4,Çağlar Söyüncü,4,TUR,CB,24-281,90,0,0,0,0,0,0,0,0,74,1,1,0,0.0,0.0,0.0,0,0,61,67,91.0,2,58,1,0,0,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
f8fcd2a5,Jonny Evans,6,NIR,CB,33-056,68,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,27,32,84.4,3,27,0,0,0,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
1a4ef233,Daniel Amartey,18,GHA,CB,26-069,22,0,0,0,0,1,0,0,0,24,1,0,0,0.1,0.1,0.0,1,0,16,19,84.2,1,13,1,1,0,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
197640fd,Timothy Castagne,27,BEL,RB,25-085,90,0,0,0,0,0,0,0,0,56,3,2,2,0.0,0.0,0.0,1,0,37,44,84.1,4,29,1,0,0,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
53af52f3,Kasper Schmeichel,1,DEN,GK,34-115,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,36,40,90.0,0,30,0,0,0,Leicester City,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
9dbb75ca,Alexandre Lacazette,9,FRA,FW,29-276,83,1,0,1,1,0,0,0,0,33,0,0,0,0.8,0.0,0.0,0,0,21,24,87.5,5,16,0,6,3,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
d5dd5f1f,Pierre-Emerick Aubameyang,14,GAB,FW,31-255,7,0,0,0,0,1,0,0,0,6,0,0,1,0.0,0.0,0.0,1,0,1,3,33.3,0,4,1,2,1,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
8b9ebd03,Willian,12,BRA,LW,32-203,90,0,1,0,0,2,0,0,0,56,0,0,0,0.2,0.2,0.1,6,2,40,44,90.9,2,28,1,4,2,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
57e3f0c7,Nicolas Pépé,19,CIV,RW,25-275,90,1,0,0,0,3,1,0,0,63,0,1,3,1.2,1.2,0.0,3,1,32,47,68.1,1,23,2,3,0,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
17695062,Emile Smith Rowe,32,ENG,AM,20-215,41,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,17,18,94.4,0,13,0,1,0,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
79300479,Martin Ødegaard,11,NOR,AM,22-073,49,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.1,2,1,23,27,85.2,7,14,2,1,1,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
e61b8aee,Granit Xhaka,34,SUI,DM,28-154,90,0,0,0,0,0,0,0,0,82,3,2,2,0.0,0.0,0.1,2,0,63,72,87.5,6,30,3,0,0,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
47a34c4f,Mohamed Elneny,25,EGY,DM,28-232,65,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,34,40,85.0,5,17,0,0,0,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
529f49ab,Thomas Partey,18,GHA,DM,27-260,25,0,0,0,0,2,1,0,0,29,1,0,2,0.0,0.0,0.0,2,0,19,23,82.6,2,9,1,0,0,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
fce2302c,Kieran Tierney,3,SCO,LB,23-268,90,0,0,0,0,2,0,1,0,58,1,0,0,0.0,0.0,0.1,3,0,41,54,75.9,2,23,3,2,2,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
aa54ec6f,Pablo Marí,22,ESP,CB,27-181,90,0,0,0,0,0,0,0,0,62,1,1,0,0.0,0.0,0.2,1,0,46,57,80.7,0,29,0,0,0,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
c0e27d1a,David Luiz,23,BRA,CB,33-312,90,1,0,0,0,1,1,0,0,61,1,2,0,0.1,0.1,0.0,0,0,41,54,75.9,5,30,1,0,0,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
839c14e1,Cédric Soares,17,POR,RB,29-181,90,0,0,0,0,0,0,0,0,81,2,3,0,0.0,0.0,0.0,1,0,52,67,77.6,3,42,3,3,0,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
2628fd2b,Bernd Leno,1,GER,GK,28-361,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,25,31,80.6,0,17,0,0,0,Arsenal,2021-02-28 Leicester City-Arsenal,ENG-EPL,20-21,88b309f1
