id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
2bae5658,Emmanuel Rivière,29,FRA,FW,27-292,89,1,0,0,0,5,3,0,0,32,0,0,0,1.0,1.0,0.0,3,0,22,25,88.0,2,24,0,3,3,Metz,2017-12-20 Metz-Strasbourg,FRA-L1,17-18,8924d84a
46faabfa,Ibrahima Niane,7,SEN,FW,18-284,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,1,5,0,0,0,Metz,2017-12-20 Metz-Strasbourg,FRA-L1,17-18,8924d84a
3071a619,Nolan Roux,9,FRA,LW,29-294,90,1,0,0,0,6,2,0,0,41,1,0,1,0.4,0.4,0.0,2,0,21,30,70.0,1,30,0,1,1,Metz,2017-12-20 Metz-Strasbourg,FRA-L1,17-18,8924d84a
6421dd73,Mathieu Dossevi,17,TOG,RW,29-311,90,0,1,0,0,4,1,0,0,54,1,0,2,0.2,0.2,0.6,9,2,23,37,62.2,4,42,9,9,4,Metz,2017-12-20 Metz-Strasbourg,FRA-L1,17-18,8924d84a
7e82a78f,Florent Mollet,19,FRA,CM,26-031,81,1,0,0,0,4,2,1,0,51,1,0,0,0.4,0.4,0.1,8,0,31,41,75.6,4,32,4,5,4,Metz,2017-12-20 Metz-Strasbourg,FRA-L1,17-18,8924d84a
31bbb7e2,Gerónimo Poblete,5,ARG,CM,24-352,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,Metz,2017-12-20 Metz-Strasbourg,FRA-L1,17-18,8924d84a
cd387ff4,Fallou Diagne,3,SEN,CM,28-128,90,0,1,0,0,1,0,0,0,62,4,2,0,0.0,0.0,0.3,8,2,43,50,86.0,13,34,1,1,0,Metz,2017-12-20 Metz-Strasbourg,FRA-L1,17-18,8924d84a
4e7d66f8,Renaud Cohade,24,FRA,CM,33-082,90,0,1,0,0,2,1,0,0,62,4,0,1,0.1,0.1,0.8,8,2,38,44,86.4,11,34,2,3,1,Metz,2017-12-20 Metz-Strasbourg,FRA-L1,17-18,8924d84a
a557e6b0,Benoît Assou-Ekotto,32,CMR,LB,33-271,45,0,0,0,0,0,0,0,0,28,0,3,0,0.0,0.0,0.0,0,0,19,23,82.6,0,15,0,0,0,Metz,2017-12-20 Metz-Strasbourg,FRA-L1,17-18,8924d84a
