id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d3de9af0,Duván Zapata,91,COL,FW,28-183,90,1,0,0,0,3,2,0,0,38,0,0,0,1.1,1.1,0.1,4,0,13,21,61.9,2,32,3,3,1,Atalanta,2019-10-01 Atalanta-Shakhtar,UCL,19-20,8932de20
68252d6d,Josip Iličić,72,SVN,FW,31-245,56,0,0,0,1,0,0,1,0,32,0,0,0,0.8,0.0,0.3,4,0,26,29,89.7,8,23,1,3,2,Atalanta,2019-10-01 Atalanta-Shakhtar,UCL,19-20,8932de20
48d5bd33,Ruslan Malinovskyi,18,UKR,"CM,AM",26-150,34,0,0,0,0,1,0,1,0,37,1,1,1,0.0,0.0,0.0,1,0,28,31,90.3,5,28,1,1,0,Atalanta,2019-10-01 Atalanta-Shakhtar,UCL,19-20,8932de20
6e4df551,Papu Gómez,10,ARG,"AM,FW",31-228,90,0,0,0,0,2,2,0,0,69,0,0,0,0.1,0.1,0.6,5,0,54,63,85.7,7,54,4,3,2,Atalanta,2019-10-01 Atalanta-Shakhtar,UCL,19-20,8932de20
e599253a,Mario Pašalić,88,CRO,CM,24-234,90,0,0,0,0,2,0,0,0,67,2,0,0,0.4,0.4,0.0,2,0,52,58,89.7,5,46,2,2,1,Atalanta,2019-10-01 Atalanta-Shakhtar,UCL,19-20,8932de20
2a1beb34,Marten de Roon,15,NED,"CM,CB",28-186,90,0,0,0,0,1,0,1,0,95,2,4,1,0.0,0.0,0.0,1,1,70,79,88.6,8,60,4,1,1,Atalanta,2019-10-01 Atalanta-Shakhtar,UCL,19-20,8932de20
197640fd,Timothy Castagne,21,BEL,WB,23-300,90,0,0,0,0,0,0,0,0,63,0,0,4,0.0,0.0,0.1,3,0,47,52,90.4,8,41,4,1,1,Atalanta,2019-10-01 Atalanta-Shakhtar,UCL,19-20,8932de20
3b333ac3,Hans Hateboer,33,NED,WB,25-265,56,0,1,0,0,1,0,0,0,44,0,0,0,0.3,0.0,0.5,1,1,29,39,74.4,0,26,2,1,0,Atalanta,2019-10-01 Atalanta-Shakhtar,UCL,19-20,8932de20
2d970560,Robin Gosens,8,GER,WB,25-088,34,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,16,24,66.7,1,20,3,0,0,Atalanta,2019-10-01 Atalanta-Shakhtar,UCL,19-20,8932de20
e0314d87,Andrea Masiello,5,ITA,CB,33-238,67,0,0,0,0,0,0,0,0,63,1,4,1,0.0,0.0,0.0,0,0,49,53,92.5,4,45,0,0,0,Atalanta,2019-10-01 Atalanta-Shakhtar,UCL,19-20,8932de20
eb2fe5b6,Luis Muriel,9,COL,FW,28-168,23,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,1,0,1,2,50.0,0,5,1,3,2,Atalanta,2019-10-01 Atalanta-Shakhtar,UCL,19-20,8932de20
