id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
32974271,Sergi Guardiola,7,ESP,FW,29-051,88,1,0,0,0,1,1,0,0,24,0,0,1,0.1,0.1,0.1,2,0,14,18,77.8,2,17,0,1,1,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
f76fdcd2,Matheus Fernandes,8,BRA,FW,22-019,2,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
833fb62e,Sandro Ramírez,20,ESP,FW,25-010,62,0,0,0,0,3,1,0,0,20,0,0,0,0.2,0.2,0.1,3,1,11,13,84.6,3,17,2,0,0,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
f8eca1b6,Enes Ünal,9,TUR,FW,23-070,28,0,0,0,0,1,0,0,0,12,1,0,0,0.1,0.1,0.0,0,0,4,9,44.4,1,6,1,1,1,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
ccaa5728,Waldo Rubio,23,ESP,LM,24-337,75,0,1,0,0,1,0,0,0,23,1,1,1,0.0,0.0,0.1,4,1,12,18,66.7,1,12,2,1,0,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
ba5a9545,Pablo Hervías,11,ESP,LM,27-133,15,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,1,5,2,2,1,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
036bba5f,Rubén Alcaraz,14,ESP,"CB,CM",29-079,90,0,1,0,0,1,0,0,0,42,2,1,2,0.0,0.0,0.1,2,1,28,34,82.4,2,25,2,0,0,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
418f8f61,Míchel,21,ESP,CM,31-356,90,0,0,0,0,1,0,0,0,47,1,0,1,0.0,0.0,0.1,2,0,32,39,82.1,2,23,0,0,0,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
7c388b20,Óscar Plano,10,ESP,RM,29-159,90,1,0,0,0,2,1,1,0,31,2,3,2,0.1,0.1,0.0,0,0,16,20,80.0,2,10,0,1,1,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
e29d1111,Nacho,22,ESP,LB,31-134,90,0,0,0,0,1,1,0,0,39,0,1,2,0.1,0.1,0.1,2,0,25,31,80.6,5,24,1,0,0,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
60359288,Javi Sánchez,5,ESP,CB,23-127,45,0,0,0,0,1,0,0,0,17,0,0,1,0.3,0.3,0.0,2,0,10,12,83.3,0,8,0,0,0,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
efecd633,Fede San Emeterio,16,ESP,CM,23-125,45,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,1,0,16,17,94.1,0,11,0,0,0,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
933e8c8a,Javi Moyano,17,ESP,CB,34-147,90,0,0,0,0,1,0,1,0,22,3,2,0,0.2,0.2,0.0,1,0,11,14,78.6,3,9,0,0,0,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
dbe519cf,Antoñito,18,ESP,RB,32-208,90,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.1,3,0,18,25,72.0,2,12,0,1,0,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
81a606fc,Churripi,13,ESP,GK,26-077,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,7,26,26.9,0,12,0,0,0,Valladolid,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
3aa4a3be,Loren Morón,16,ESP,FW,26-202,90,0,0,0,0,2,1,0,0,22,1,0,0,0.2,0.2,0.0,1,0,9,15,60.0,1,12,0,1,0,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
72a99e38,Cristian Tello,11,ESP,"LW,LM",28-343,75,0,0,0,0,2,0,0,0,37,1,0,0,0.1,0.1,0.1,1,0,27,31,87.1,2,26,1,1,1,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
167c1bb0,Javi García,3,ESP,DM,33-162,15,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,1,6,0,0,0,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
4c5b14d2,Joaquín,17,ESP,"RW,RM",38-364,70,0,0,0,0,0,0,0,0,66,0,0,0,0.0,0.0,0.0,2,0,57,65,87.7,5,43,6,4,4,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
bf12926c,Diego Lainez,20,MEX,RM,20-040,20,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,7,11,63.6,1,10,3,2,2,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
bece776f,Nabil Fekir,8,FRA,"AM,LM,CM",27-001,90,0,0,0,0,2,2,1,0,64,1,0,1,0.1,0.1,0.2,3,0,51,55,92.7,9,49,3,3,2,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
6c811eb7,Carles Aleñá,24,ESP,DM,22-196,65,0,0,0,0,1,0,0,0,65,0,0,0,0.0,0.0,0.0,2,0,55,61,90.2,7,44,1,0,0,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
75645f0e,Borja Iglesias,9,ESP,FW,27-184,25,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,5,1,2,1,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
a6de370d,Sergio Canales,10,ESP,"DM,CM",29-154,90,0,0,0,0,1,0,0,0,112,1,0,0,0.1,0.1,0.1,6,0,97,105,92.4,19,79,6,5,5,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
df8b52a5,Emerson,22,BRA,LB,21-187,90,0,0,0,0,0,0,0,0,63,3,0,1,0.0,0.0,0.0,0,0,45,55,81.8,2,34,4,2,2,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
b14d0c5d,Sidnei,12,BRA,CB,30-331,90,0,0,0,0,1,0,0,0,95,1,0,2,0.1,0.1,0.0,1,0,82,84,97.6,2,53,1,0,0,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
b742cc0d,Marc Bartra,5,ESP,CB,29-186,90,0,0,0,0,0,0,1,0,86,1,0,1,0.0,0.0,0.0,1,0,72,78,92.3,8,48,2,1,1,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
487d9b09,Antonio Barragán,19,ESP,RB,33-037,90,0,0,0,0,0,0,0,0,108,0,1,0,0.0,0.0,0.0,2,0,92,107,86.0,8,52,0,0,0,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
4df0dff8,Daniel Martín,13,ESP,GK,22-011,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,18,22,81.8,0,8,0,0,0,Real Betis,2020-07-19 Valladolid-Betis,ESP-LALIGA,19-20,8a6da88b
