id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
89b2c8a9,Dries Mertens,14,BEL,FW,30-288,90,0,0,0,0,4,2,0,0,37,0,0,0,0.3,0.3,0.1,7,1,22,27,81.5,6,27,4,3,1,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
2f557579,Lorenzo Insigne,24,ITA,LW,26-259,90,0,0,0,0,4,0,0,0,92,3,1,2,0.2,0.2,0.1,7,0,66,77,85.7,3,67,5,5,3,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
78841da9,José Callejón,7,ESP,RW,31-007,85,0,1,0,0,1,1,0,0,52,3,0,0,0.3,0.3,0.7,7,1,34,45,75.6,4,35,1,0,0,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
b6b2b820,Marko Rog,30,CRO,RW,22-214,5,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
e6ad16b2,Marek Hamšík,17,SVK,LM,30-206,70,0,0,0,0,3,1,1,0,82,0,0,4,0.1,0.1,0.3,2,0,68,74,91.9,7,60,2,1,1,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
a5296e55,Piotr Zieliński,20,POL,LM,23-274,20,0,0,0,0,2,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,12,12,100.0,1,11,2,4,2,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
45db685d,Jorginho,8,ITA,CM,26-060,89,0,0,0,0,0,0,0,0,95,1,1,3,0.0,0.0,0.2,7,0,78,91,85.7,10,51,1,1,1,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
bf309d24,Amadou Diawara,42,GUI,CM,20-216,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,0,0,0,0,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
cc700722,Allan,5,BRA,RM,27-041,90,1,0,0,0,2,1,0,0,63,0,0,2,0.5,0.5,0.0,1,0,44,56,78.6,4,45,5,3,3,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
0b5a292a,Mário Rui,6,POR,LB,26-267,90,0,0,0,0,1,0,0,0,126,1,0,1,0.0,0.0,0.0,2,0,104,122,85.2,5,91,7,0,0,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
da974c7b,Kalidou Koulibaly,26,SEN,CB,26-243,90,0,0,0,0,1,0,0,0,105,0,0,0,0.0,0.0,0.0,1,0,92,99,92.9,5,76,4,1,1,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
4bd414c1,Raúl Albiol,33,ESP,CB,32-167,90,0,0,0,0,1,0,0,0,89,0,0,1,0.1,0.1,0.0,0,0,77,85,90.6,17,59,3,0,0,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
2f3452eb,Elseid Hysaj,23,ALB,RB,23-363,90,0,0,0,0,0,0,0,0,90,1,0,2,0.0,0.0,0.0,1,0,69,83,83.1,2,58,4,0,0,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
e358587b,Pepe Reina,25,ESP,GK,35-171,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,25,26,96.2,0,11,0,0,0,Napoli,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
43a2e16c,Mirco Antenucci,7,ITA,FW,33-163,81,0,0,0,0,1,0,0,0,26,1,0,0,0.0,0.0,0.1,2,0,13,16,81.3,1,16,1,2,2,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
b5cae4e6,Alberto Paloschi,43,ITA,FW,28-045,9,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
144607cc,Jasmin Kurtić,19,SVN,"FW,CM",29-039,90,0,0,0,0,1,0,1,0,38,2,0,2,0.0,0.0,0.0,0,0,22,34,64.7,0,23,2,0,0,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
6cc97b6a,Alberto Grassi,88,ITA,DM,22-348,74,0,0,0,0,0,0,0,0,22,1,2,2,0.0,0.0,0.0,0,0,12,13,92.3,1,10,0,2,1,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
df301450,Sergio Floccari,10,ITA,FW,36-098,16,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,1,0,4,6,66.7,0,5,0,0,0,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
2258c078,Federico Viviani,77,ITA,"DM,CM",25-331,90,0,0,0,0,1,1,0,0,64,1,4,3,0.0,0.0,0.0,2,0,45,56,80.4,8,32,0,0,0,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
bd84fc61,Pasquale Schiattarella,28,ITA,"DM,CM",30-264,90,0,0,0,0,1,0,0,0,37,4,1,0,0.0,0.0,0.0,0,0,26,30,86.7,2,16,2,0,0,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
a5cd894b,Boukary Dramé,85,SEN,WB,32-211,61,0,0,0,0,0,0,0,0,47,1,2,0,0.0,0.0,0.0,1,0,32,40,80.0,1,22,2,0,0,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
00528660,Filippo Costa,33,ITA,WB,22-273,29,0,0,0,0,0,0,1,0,10,0,1,0,0.0,0.0,0.0,0,0,7,8,87.5,2,5,1,0,0,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
02caf6e0,Manuel Lazzari,29,ITA,WB,24-081,90,0,0,0,0,0,0,0,0,53,3,0,1,0.0,0.0,0.0,1,0,30,40,75.0,1,36,3,8,5,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
8cea6319,Felipe dal Belo,27,BRA,CB,33-202,90,0,0,0,0,0,0,1,0,62,0,4,3,0.0,0.0,0.0,0,0,42,50,84.0,1,30,0,0,0,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
de045b15,Francesco Vicari,23,ITA,CB,23-199,90,0,0,0,0,0,0,0,0,52,2,3,2,0.0,0.0,0.0,0,0,33,39,84.6,4,27,0,1,1,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
9b30df1e,Bartosz Salamon,21,POL,CB,26-293,90,0,0,0,0,0,0,1,0,59,1,1,1,0.0,0.0,0.0,0,0,32,45,71.1,2,29,0,0,0,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
9413b19f,Alex Meret,97,ITA,GK,20-333,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,21,37,56.8,0,12,0,0,0,SPAL,2018-02-18 Napoli-SPAL,ITA-SERIA_A,17-18,8af24436
