id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
2cbb3202,Kyrylo Kovalets,6,UKR,FW,26-149,38,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,1,11,0,0,0,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
1144d8d7,Denys Bezborodko,9,UKR,FW,25-181,52,0,0,0,0,1,0,1,0,19,0,0,0,0.1,0.1,0.1,3,0,8,15,53.3,0,16,0,0,0,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
4d8cf390,Dmytro Shastal,23,UKR,LW,23-333,54,0,0,0,0,1,1,0,0,27,3,1,2,0.6,0.6,0.0,0,0,5,11,45.5,0,10,1,0,0,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
e410ade0,Maksym Tretyakov,10,UKR,LW,23-267,36,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.1,2,0,9,12,75.0,1,13,1,1,1,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
a0e9a73d,Valeriy Luchkevych,17,UKR,RW,23-321,85,0,0,0,0,0,0,0,0,31,2,0,0,0.0,0.0,0.1,1,0,17,23,73.9,2,19,3,4,3,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
40e236a8,Maksym Zaderaka,94,UKR,RW,25-082,5,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
a47e7ecd,Dmytro Hrechyshkin,27,UKR,LM,28-067,90,0,0,0,0,3,1,0,0,56,1,0,0,0.1,0.1,0.1,4,0,31,46,67.4,3,35,2,1,0,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
0d2b0b84,Andriy Zaporozhan,15,UKR,CM,36-252,90,0,0,0,0,0,0,0,0,45,0,2,0,0.0,0.0,0.0,1,0,28,39,71.8,2,20,0,1,1,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
6993fcc8,Yevhen Banada,44,UKR,RM,27-272,90,0,0,0,0,2,0,0,0,31,0,3,0,0.1,0.1,0.0,1,0,11,21,52.4,0,14,0,0,0,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
eada676e,Denys Miroshnichenko,11,UKR,LB,25-048,90,0,0,0,0,2,0,0,0,73,2,0,1,0.1,0.1,0.0,0,0,45,63,71.4,3,32,4,9,7,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
04a35432,Kaspars Dubra,90,LVA,CB,28-343,90,0,0,0,0,1,0,0,0,45,1,1,2,0.1,0.1,0.7,1,0,18,33,54.5,2,15,0,0,0,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
0a74011c,Vladyslav Babohlo,4,MDA,CB,21-014,90,0,0,0,0,0,0,0,0,32,1,1,1,0.0,0.0,0.0,0,0,17,24,70.8,0,14,0,0,0,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
485eaf31,Pavlo Pashayev,20,AZE,RB,31-328,90,0,0,0,0,1,0,1,0,73,0,2,0,0.0,0.0,0.0,0,0,43,63,68.3,8,34,2,0,0,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
213cd822,Yuriy Pankiv,79,UKR,GK,35-025,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,13,27,48.1,0,10,0,0,0,FC Oleksandriya,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
c4e87b8b,Wout Weghorst,9,NED,FW,27-113,90,1,0,1,1,3,1,0,0,38,0,0,2,0.9,0.1,0.0,4,1,14,24,58.3,2,23,1,0,0,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
b500b384,Admir Mehmedi,14,SUI,AM,28-257,79,0,0,0,0,1,0,0,0,50,0,0,2,0.4,0.4,0.2,6,0,31,40,77.5,6,39,0,1,0,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
aeda1f69,Felix Klaus,11,GER,AM,27-076,11,0,0,0,0,1,1,0,0,6,0,0,0,0.1,0.1,0.0,0,0,4,5,80.0,0,4,1,0,0,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
1a1033a1,João Victor Santos Sá,40,BRA,AM,25-246,60,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.1,3,0,15,21,71.4,1,18,2,2,2,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
dd669209,Renato Steffen,8,SUI,AM,28-025,30,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,2,0,12,14,85.7,0,12,0,1,1,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
86e119e0,Maximilian Arnold,27,GER,CM,25-185,90,0,0,0,0,0,0,0,0,63,1,1,1,0.0,0.0,0.1,3,1,45,57,78.9,6,39,0,0,0,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
e6c43eec,Josuha Guilavogui,23,FRA,CM,29-070,90,0,0,0,0,1,0,0,0,66,1,0,1,0.1,0.1,0.0,0,0,46,58,79.3,8,43,0,0,0,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
13203c45,Jérôme Roussillon,15,FRA,WB,26-326,90,0,0,0,0,3,2,1,0,55,0,2,1,0.1,0.1,0.0,0,0,26,41,63.4,5,36,3,3,0,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
d4d0a9ad,William,2,BRA,WB,24-239,89,0,0,0,0,1,1,1,0,83,3,1,1,0.0,0.0,0.4,1,0,48,67,71.6,4,46,2,5,2,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
493924a7,Kevin Mbabu,19,SUI,WB,24-223,1,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,1,0,3,5,60.0,1,2,0,0,0,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
e27da244,John Brooks,25,USA,CB,26-304,90,0,0,0,0,0,0,0,0,72,0,5,0,0.0,0.0,0.0,2,0,54,61,88.5,4,44,0,0,0,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
fbffc4b1,Jeffrey Bruma,5,NED,CB,28-015,90,0,0,0,0,0,0,1,0,49,0,1,0,0.0,0.0,0.0,1,0,34,40,85.0,0,31,0,0,0,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
45954ec7,Marcel Tisserand,32,COD,CB,26-322,90,0,0,0,0,2,0,0,0,83,2,2,1,0.1,0.1,0.0,0,0,48,66,72.7,4,54,0,2,2,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
db401046,Koen Casteels,1,BEL,GK,27-156,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,23,34,67.6,0,18,0,0,0,Wolfsburg,2019-11-28 FC Oleksandriya-Wolfsburg,UEL,19-20,8b9d372f
