id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f586779e,Tammy Abraham,9,ENG,FW,21-350,90,0,0,0,0,5,1,0,0,24,0,0,1,1.0,1.0,0.1,3,0,9,12,75.0,1,13,0,2,1,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
9674002f,Mason Mount,19,ENG,AM,20-250,15,0,0,0,0,0,0,0,0,8,2,1,1,0.0,0.0,0.1,1,0,3,4,75.0,0,2,0,0,0,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
3ca7254a,Pedro,11,ESP,"AM,WB",32-051,75,0,0,0,0,3,0,0,0,52,0,0,0,0.1,0.1,0.0,7,0,35,43,81.4,6,39,4,1,0,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
8b9ebd03,Willian,10,BRA,AM,31-039,90,0,0,0,0,4,1,0,0,52,1,0,1,0.6,0.6,0.2,12,0,26,40,65.0,8,31,6,11,9,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
79c0821a,Mateo Kovačić,17,CRO,CM,25-134,79,0,0,0,0,0,0,0,0,74,0,0,1,0.0,0.0,0.6,3,0,61,68,89.7,8,50,1,3,2,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
3a24769f,Ross Barkley,8,ENG,CM,25-286,11,0,0,0,1,1,0,0,0,7,0,0,0,0.8,0.0,0.0,2,0,3,5,60.0,2,3,1,0,0,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
45db685d,Jorginho,5,ITA,CM,27-271,90,0,0,0,0,1,0,1,0,102,3,2,1,0.1,0.1,0.0,3,0,90,96,93.8,21,77,8,1,1,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
f4290206,Marcos Alonso,3,ESP,WB,28-263,90,0,0,0,0,4,3,0,0,70,2,0,0,0.2,0.2,0.1,3,0,53,60,88.3,1,40,3,0,0,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
53cad200,César Azpilicueta,28,ESP,"WB,CB",30-020,90,0,0,0,0,0,0,0,0,83,1,2,2,0.0,0.0,0.8,3,0,61,77,79.2,4,49,4,0,0,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
7edfbb8a,Fikayo Tomori,29,ENG,CB,21-272,90,0,0,0,0,1,0,0,0,97,2,1,1,0.1,0.1,0.0,2,0,79,87,90.8,8,65,1,0,0,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
1cb49278,Andreas Christensen,4,DEN,CB,23-160,90,0,0,0,0,1,0,0,0,71,0,0,0,0.1,0.1,0.0,0,0,63,66,95.5,1,46,0,0,0,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
ce4246f5,Kurt Zouma,15,FRA,CB,24-325,72,0,0,0,0,0,0,0,0,59,0,0,2,0.0,0.0,0.0,0,0,50,57,87.7,9,42,1,0,0,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
16ceb862,Olivier Giroud,18,FRA,FW,32-352,18,0,0,0,0,1,1,1,0,4,0,0,0,0.1,0.1,0.0,1,0,3,3,100.0,0,1,1,1,1,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
28d596a0,Kepa Arrizabalaga,1,ESP,GK,24-349,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,25,26,96.2,0,14,0,0,0,Chelsea,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
42276181,Kévin Gameiro,9,FRA,FW,32-131,69,0,0,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,9,16,56.3,0,6,0,0,0,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
4c2e9442,Maxi Gómez,22,URU,FW,23-034,21,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,0,4,0,0,0,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
1fb1c435,Rodrigo,19,ESP,FW,28-195,89,1,0,0,0,3,1,0,0,51,0,0,0,0.5,0.5,0.0,3,0,31,39,79.5,3,29,1,3,1,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
8455ad90,Lee Kang-in,16,KOR,"LM,FW",18-210,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
0ac94a23,Denis Cheryshev,11,RUS,LM,28-265,89,0,0,0,0,1,0,0,0,29,1,0,0,0.0,0.0,0.0,1,0,12,22,54.5,1,11,2,1,1,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
d2110326,Mouctar Diakhaby,12,GUI,CB,22-272,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
7460ca0d,Daniel Parejo,10,ESP,CM,30-154,90,0,1,0,0,0,0,0,0,76,1,1,3,0.0,0.0,0.9,5,1,64,68,94.1,6,39,0,3,2,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
cce181df,Geoffrey Kondogbia,6,CTA,CM,26-214,90,0,0,0,0,0,0,0,0,67,4,3,3,0.0,0.0,0.0,0,0,48,54,88.9,0,31,0,1,1,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
a6951bf8,Francis Coquelin,17,FRA,RM,28-127,90,0,0,0,0,0,0,1,0,39,1,2,1,0.0,0.0,0.0,1,0,23,29,79.3,4,19,0,2,1,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
b05e2dbd,José Luis Gayà,14,ESP,LB,24-115,90,0,0,0,0,1,1,0,0,46,2,1,1,0.4,0.4,0.0,2,1,31,36,86.1,4,19,0,0,0,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
b7ca5c51,Gabriel Paulista,5,BRA,CB,28-295,90,0,0,0,0,0,0,0,0,54,2,0,2,0.0,0.0,0.0,0,0,41,45,91.1,1,30,0,0,0,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
ac3fb1be,Ezequiel Garay,24,ARG,CB,32-342,90,0,0,0,0,0,0,0,0,60,0,0,2,0.0,0.0,0.0,0,0,46,53,86.8,0,24,0,0,0,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
d83bbc54,Daniel Wass,18,DEN,RB,30-109,90,0,0,0,0,2,0,0,0,60,0,1,2,0.1,0.1,0.0,1,0,36,46,78.3,5,25,1,0,0,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
04ac8285,Jasper Cillessen,13,NED,GK,30-148,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,1,0,22,38,57.9,0,16,0,0,0,Valencia,2019-09-17 Chelsea-Valencia,UCL,19-20,8c3140a0
