id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
66116290,Radamel Falcao,9,COL,FW,32-189,90,0,0,0,1,3,0,0,0,42,3,0,0,1.1,0.3,0.0,2,0,23,29,79.3,3,30,3,1,1,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
7c2965bb,Rony Lopes,7,POR,LW,22-233,78,0,0,0,0,1,0,0,0,35,2,0,1,0.1,0.1,0.2,4,0,22,30,73.3,3,19,3,0,0,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
19053e31,Sofiane Diop,36,FRA,LW,18-070,12,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
4887118d,Jordi Mboula,22,ESP,RW,19-155,55,0,0,0,0,0,0,1,0,24,1,0,1,0.0,0.0,0.0,1,0,11,16,68.8,0,19,3,2,1,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
d2448564,Samuel Grandsir,29,FRA,RW,22-004,35,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.1,1,0,8,18,44.4,0,17,1,3,1,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
f36c432f,Stevan Jovetić,10,MNE,AM,28-289,82,0,0,0,0,2,0,0,0,35,0,0,1,0.1,0.1,0.0,1,0,21,30,70.0,3,24,2,2,0,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
9836e892,Willem Geubbels,13,FRA,AM,17-002,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,4,0,0,0,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
48b28bfd,Jean-Eudes Aholou,4,CIV,DM,24-151,90,0,0,0,0,1,0,0,0,45,1,2,0,0.0,0.0,0.0,2,0,33,37,89.2,3,30,1,2,2,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
56f7a928,Youri Tielemans,8,BEL,DM,21-103,90,0,0,0,0,1,0,0,0,60,3,0,1,0.0,0.0,0.0,5,0,41,54,75.9,10,37,2,3,2,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
6a189491,Antonio Barreca,3,ITA,LB,23-153,90,0,0,0,0,0,0,0,0,45,2,0,0,0.0,0.0,0.0,0,0,27,34,79.4,0,21,2,1,0,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
7cab69b5,Jemerson,5,BRA,CB,25-359,90,0,0,0,0,0,0,0,0,38,1,3,0,0.0,0.0,0.0,0,0,26,32,81.3,1,25,0,0,0,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
c6056d58,Kamil Glik,25,POL,CB,30-196,90,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,0.0,1,0,45,54,83.3,5,44,0,0,0,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
c8c60119,Almamy Touré,38,MLI,RB,22-112,90,0,0,0,0,1,0,0,0,67,8,2,1,0.0,0.0,0.0,2,0,35,51,68.6,5,37,1,2,2,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
b7e7937d,Diego Benaglio,16,SUI,GK,34-344,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,22,28,78.6,0,14,0,0,0,Monaco,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
3eaf8817,Lebo Mothiba,18,RSA,FW,22-202,90,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.1,2,0,14,18,77.8,0,19,1,0,0,Lille,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
b2bd0f6c,Jonathan Bamba,14,CIV,LW,22-145,90,0,0,0,0,0,0,0,0,54,1,1,2,0.0,0.0,0.1,6,0,35,47,74.5,4,50,6,3,2,Lille,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
57e3f0c7,Nicolas Pépé,19,CIV,RW,23-081,90,0,0,0,0,2,2,0,0,48,0,0,0,0.2,0.2,0.0,1,0,23,35,65.7,1,37,0,4,1,Lille,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
6fbde63a,Yassine Benzia,10,ALG,AM,23-344,71,0,0,0,0,4,1,0,0,50,1,0,0,0.1,0.1,0.1,5,0,38,44,86.4,12,43,2,0,0,Lille,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
91e58f66,Thiago Maia,20,BRA,DM,21-148,19,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.0,0,0,4,7,57.1,1,3,0,0,0,Lille,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
f3600c02,Xeka,8,POR,DM,23-281,90,0,0,0,0,3,0,1,0,60,2,1,1,0.1,0.1,0.0,2,0,42,50,84.0,6,52,2,2,0,Lille,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
c6e5d20f,Thiago Mendes,23,BRA,"DM,AM",26-156,79,0,0,0,0,1,0,1,0,44,1,0,2,0.0,0.0,0.2,6,0,34,37,91.9,6,26,1,0,0,Lille,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
42eaa028,Jonathan Ikone,12,FRA,AM,20-108,11,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,5,1,4,2,Lille,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
f449640d,Fodé Ballo-Touré,25,SEN,LB,21-227,79,0,0,0,0,0,0,0,0,46,1,1,1,0.0,0.0,0.0,0,0,25,40,62.5,2,28,2,0,0,Lille,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
3767b3b7,Edgar Ié,15,GNB,LB,24-109,11,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,4,0,0,0,Lille,2018-08-18 Monaco-Lille,FRA-L1,18-19,8c62cc39
