id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
aed3a70f,Ollie Watkins,11,ENG,FW,26-226,90,0,2,0,0,2,1,0,0,34,1,0,0,0.6,0.6,1.1,3,2,20,24,83.3,0,22,4,3,1,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
07802f7f,Danny Ings,9,ENG,FW,30-021,77,1,0,0,0,2,1,1,0,30,0,0,2,0.2,0.2,0.0,1,0,14,19,73.7,3,18,1,2,1,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
3a233281,Leon Bailey,31,JAM,"FW,LM",25-004,13,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.5,1,0,3,3,100.0,1,2,0,1,0,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
0ef89a37,Philippe Coutinho,23,BRA,AM,30-062,59,0,0,0,0,0,0,1,0,44,1,0,1,0.0,0.0,0.0,0,0,30,37,81.1,6,31,1,0,0,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
66b76d44,Emi Buendía,10,ARG,"AM,CM",25-231,31,1,0,0,0,2,1,0,0,30,1,0,0,1.1,1.1,0.1,4,1,21,26,80.8,6,22,1,0,0,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
1544f145,Jacob Ramsey,41,ENG,LM,21-077,89,0,0,0,0,0,0,0,0,79,1,3,2,0.0,0.0,0.1,1,0,59,62,95.2,6,55,5,4,2,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
be927d03,Ashley Young,18,ENG,"RB,LM",37-035,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
90f91999,John McGinn,7,SCO,RM,27-299,90,0,0,0,0,2,0,0,0,66,4,2,4,0.1,0.1,0.3,6,1,44,54,81.5,3,38,0,2,2,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
cc77354e,Boubacar Kamara,44,FRA,"DM,CM",22-263,90,0,0,0,0,0,0,0,0,87,2,2,3,0.0,0.0,0.0,2,0,62,76,81.6,10,52,1,2,1,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
1b84dbe1,Lucas Digne,27,FRA,LB,29-024,90,0,0,0,0,1,0,1,0,92,2,2,0,0.0,0.0,0.0,0,0,62,80,77.5,5,60,3,5,0,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
8397a50c,Tyrone Mings,5,ENG,CB,29-153,90,0,0,0,0,0,0,0,0,67,0,2,0,0.0,0.0,0.0,0,0,53,60,88.3,5,46,0,0,0,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
b4a014b1,Diego Carlos,3,BRA,CB,29-151,89,0,0,0,0,3,0,0,0,60,0,1,2,0.3,0.3,0.0,1,0,44,53,83.0,4,39,0,0,0,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
dc6f5bdd,Calum Chambers,16,ENG,CB,27-205,1,0,0,0,0,0,0,0,0,2,0,0,2,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
2389cdc2,Matty Cash,2,POL,RB,25-006,89,0,0,0,0,0,0,0,0,51,3,2,3,0.0,0.0,0.0,0,0,34,43,79.1,3,26,3,0,0,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
0313a347,Ezri Konsa,4,ENG,"CB,RB",24-294,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
7956236f,Emiliano Martínez,1,ARG,GK,29-345,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,12,17,70.6,0,12,0,0,0,Aston Villa,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
2bd83368,Anthony Gordon,10,ENG,"FW,LW",21-170,90,0,0,0,0,3,2,0,0,32,1,0,2,0.2,0.2,0.0,2,0,10,18,55.6,1,11,2,1,1,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
4468ec10,Demarai Gray,11,JAM,"LW,RW",26-046,80,0,0,0,0,2,1,0,0,35,0,0,0,0.2,0.2,0.0,2,0,19,22,86.4,3,19,2,4,1,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
828657ff,Amadou Onana,8,BEL,DM,20-362,10,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,4,6,66.7,1,5,1,3,2,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
fc15fb84,Dwight McNeil,7,ENG,RW,22-264,63,0,0,0,0,2,0,0,0,29,1,1,1,0.1,0.1,0.1,3,0,16,21,76.2,1,13,0,4,1,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
b318a643,Salomón Rondón,33,VEN,FW,32-331,27,0,0,0,0,1,1,0,0,8,0,0,0,0.5,0.5,0.1,2,0,5,7,71.4,1,3,0,0,0,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
30d4a2e5,Vitaliy Mykolenko,19,UKR,"LM,LB",23-076,90,0,0,0,0,0,0,0,0,61,0,2,2,0.0,0.0,0.1,4,0,35,53,66.0,4,33,2,1,0,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
6ca5ec4b,Alex Iwobi,17,NGA,"CM,RW",26-102,90,0,0,0,0,0,0,0,0,57,4,0,0,0.0,0.0,0.2,4,0,40,49,81.6,2,30,0,1,0,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
02b29014,Abdoulaye Doucouré,16,MLI,CM,29-224,34,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,0,4,0,0,0,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
9228b07c,Tom Davies,26,ENG,"CM,DM",24-044,56,0,0,0,0,1,0,1,0,33,2,0,0,0.2,0.2,0.0,1,0,24,27,88.9,6,11,0,0,0,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
230f0471,Nathan Patterson,3,SCO,"RM,RB",20-301,90,0,0,0,0,2,0,0,0,42,1,1,3,0.1,0.1,0.0,1,0,14,27,51.9,0,14,1,2,1,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
15ea812b,James Tarkowski,2,ENG,CB,29-267,90,0,0,0,0,1,0,0,0,60,2,1,0,0.1,0.1,0.1,1,0,41,50,82.0,0,22,0,0,0,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
2928dca2,Conor Coady,30,ENG,CB,29-169,80,0,0,0,0,0,0,0,0,61,1,0,1,0.0,0.0,0.0,1,0,46,54,85.2,0,37,0,1,0,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
cea4ee8f,Dele Alli,20,ENG,AM,26-124,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
d0042ab9,Mason Holgate,4,ENG,CB,25-295,90,0,0,0,0,2,0,0,0,51,4,2,1,0.1,0.1,0.1,2,0,28,37,75.7,5,20,1,1,1,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
4806ec67,Jordan Pickford,1,ENG,GK,28-159,90,0,0,0,0,0,0,0,0,36,0,1,0,0.0,0.0,0.0,1,0,21,32,65.6,0,18,0,0,0,Everton,2022-08-13 Aston Villa-Everton,ENG-EPL,22-23,8cd71c65
