id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
aed3a70f,Ollie Watkins,11,ENG,FW,27-344,90,0,0,0,0,3,1,0,0,30,1,1,1,0.2,0.2,0.0,1,0,5,13,38.5,1,17,1,2,0,Aston Villa,2023-12-09 Aston Villa-Arsenal,ENG-EPL,23-24,8cf29e50
56f7a928,Youri Tielemans,8,BEL,FW,26-216,55,0,0,0,0,0,0,0,0,24,2,0,1,0.0,0.0,0.0,2,1,12,16,75.0,4,13,0,2,1,Aston Villa,2023-12-09 Aston Villa-Arsenal,ENG-EPL,23-24,8cf29e50
1544f145,Jacob Ramsey,41,ENG,FW,22-195,35,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,1,0,6,10,60.0,0,5,0,3,0,Aston Villa,2023-12-09 Aston Villa-Arsenal,ENG-EPL,23-24,8cf29e50
90f91999,John McGinn,7,SCO,LM,29-052,90,1,0,0,0,2,1,1,0,35,5,2,0,0.2,0.2,0.0,4,0,11,17,64.7,4,23,4,7,3,Aston Villa,2023-12-09 Aston Villa-Arsenal,ENG-EPL,23-24,8cf29e50
6f7d826d,Douglas Luiz,6,BRA,CM,25-214,90,0,0,0,0,1,0,1,0,49,3,1,0,0.0,0.0,0.1,1,0,27,34,79.4,1,18,1,1,0,Aston Villa,2023-12-09 Aston Villa-Arsenal,ENG-EPL,23-24,8cf29e50
cc77354e,Boubacar Kamara,44,FRA,CM,24-016,66,0,0,0,0,0,0,0,0,34,1,2,3,0.0,0.0,0.0,0,0,19,24,79.2,2,16,1,1,0,Aston Villa,2023-12-09 Aston Villa-Arsenal,ENG-EPL,23-24,8cf29e50
5a7301ae,Leander Dendoncker,32,BEL,CM,28-238,24,0,0,0,0,1,0,0,0,9,2,0,0,0.0,0.0,0.0,0,0,1,5,20.0,0,2,0,0,0,Aston Villa,2023-12-09 Aston Villa-Arsenal,ENG-EPL,23-24,8cf29e50
3a233281,Leon Bailey,31,JAM,RM,26-122,45,0,1,0,0,0,0,0,0,15,2,0,0,0.0,0.0,0.1,1,1,7,10,70.0,0,10,0,3,0,Aston Villa,2023-12-09 Aston Villa-Arsenal,ENG-EPL,23-24,8cf29e50
aeed5c06,Moussa Diaby,19,FRA,RM,24-155,45,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.2,2,0,5,7,71.4,0,9,3,0,0,Aston Villa,2023-12-09 Aston Villa-Arsenal,ENG-EPL,23-24,8cf29e50
