id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
fd987f24,Steven Shpendi,7,ALB,FW,20-128,78,0,0,0,0,1,0,0,0,17,0,0,0,0.0,0.0,0.1,2,0,10,14,71.4,2,13,2,0,0,Empoli,2023-09-24 Empoli-Inter,ITA-SERIA_A,23-24,8d6212de
b6a1cdf9,Matteo Cancellieri,20,ITA,FW,21-224,12,0,0,0,0,1,0,0,0,7,0,0,1,0.1,0.1,0.0,0,0,2,4,50.0,1,4,1,0,0,Empoli,2023-09-24 Empoli-Inter,ITA-SERIA_A,23-24,8d6212de
91ff775f,Nicolò Cambiaghi,28,ITA,AM,22-270,78,0,0,0,0,2,0,0,0,27,2,0,0,0.1,0.1,0.0,1,0,11,15,73.3,2,21,1,1,0,Empoli,2023-09-24 Empoli-Inter,ITA-SERIA_A,23-24,8d6212de
d7d32194,Mattia Destro,23,ITA,AM,32-188,12,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,0,0,Empoli,2023-09-24 Empoli-Inter,ITA-SERIA_A,23-24,8d6212de
102e2599,Tommaso Baldanzi,35,ITA,AM,20-185,90,0,0,0,0,1,0,0,0,41,0,0,0,0.1,0.1,0.0,6,0,25,29,86.2,7,27,2,6,2,Empoli,2023-09-24 Empoli-Inter,ITA-SERIA_A,23-24,8d6212de
4c8845f7,Youssef Maleh,29,MAR,LM,25-033,90,0,0,0,0,0,0,1,0,45,2,0,2,0.0,0.0,0.0,0,0,25,30,83.3,2,27,1,0,0,Empoli,2023-09-24 Empoli-Inter,ITA-SERIA_A,23-24,8d6212de
d9ebed1c,Filippo Ranocchia,22,ITA,CM,22-133,68,0,0,0,0,1,1,0,0,40,1,0,1,0.0,0.0,0.0,1,0,26,28,92.9,2,20,0,1,1,Empoli,2023-09-24 Empoli-Inter,ITA-SERIA_A,23-24,8d6212de
6cc97b6a,Alberto Grassi,5,ITA,CM,28-201,22,0,0,0,0,0,0,0,0,21,1,0,1,0.0,0.0,0.0,0,0,15,18,83.3,3,12,1,0,0,Empoli,2023-09-24 Empoli-Inter,ITA-SERIA_A,23-24,8d6212de
7fac99d4,Răzvan Marin,18,ROU,RM,27-124,68,0,0,0,0,1,0,0,0,32,2,0,1,0.0,0.0,0.0,1,0,16,20,80.0,3,19,0,2,0,Empoli,2023-09-24 Empoli-Inter,ITA-SERIA_A,23-24,8d6212de
