id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
17611373,Rouwen Hennings,28,GER,FW,32-297,90,1,0,0,0,3,2,0,0,25,0,0,0,0.2,0.2,0.0,0,0,10,16,62.5,0,9,0,0,0,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
8f0f2230,Kenan Karaman,11,TUR,FW,26-107,90,0,0,0,0,1,0,0,0,29,2,0,0,0.1,0.1,0.0,0,0,9,23,39.1,1,13,1,0,0,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
d5575935,Valon Berisha,10,KVX,CM,27-134,79,0,1,0,0,1,0,0,0,37,0,0,1,0.0,0.0,0.0,1,1,26,27,96.3,4,16,1,0,0,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
58ce23e5,Steven Skrzybski,20,GER,CM,27-215,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,1,2,0,1,1,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
664590fa,Marcel Sobottka,31,GER,CM,26-056,45,0,0,0,0,1,0,0,0,12,0,1,0,0.1,0.1,0.0,0,0,8,10,80.0,2,5,0,0,0,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
bb8a42fa,Adam Bodzek,13,GER,CM,34-287,45,0,0,0,0,0,0,0,0,18,1,1,1,0.0,0.0,0.0,0,0,10,13,76.9,1,3,0,0,0,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
e5649a78,Kevin Stöger,22,AUT,CM,26-298,90,0,0,0,0,0,0,0,0,72,3,2,0,0.0,0.0,0.1,3,0,46,64,71.9,3,28,0,1,1,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
df8e7b62,Erik Thommy,15,GER,WB,25-305,90,0,0,0,0,2,0,0,0,48,3,1,1,0.1,0.1,0.1,3,0,24,36,66.7,1,23,3,1,1,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
e199d5b0,Matthias Zimmermann,25,GER,WB,28-004,67,0,0,0,0,0,0,0,0,41,1,0,3,0.0,0.0,0.0,2,0,22,32,68.8,7,25,4,2,1,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
912e63b5,Jean Zimmer,39,GER,WB,26-197,23,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,12,15,80.0,3,11,0,0,0,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
7242b495,Niko Gießelmann,23,GER,CB,28-268,79,0,0,0,0,0,0,1,0,70,1,0,1,0.0,0.0,0.0,1,0,59,66,89.4,5,38,2,1,1,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
7391c2d9,Markus Suttner,29,AUT,CB,33-065,11,0,0,0,0,0,0,0,0,22,1,0,1,0.0,0.0,0.0,1,0,12,18,66.7,2,11,0,0,0,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
34b306a1,André Hoffmann,3,GER,CB,27-113,67,0,0,0,0,0,0,0,0,60,3,0,0,0.0,0.0,0.0,0,0,51,56,91.1,3,40,0,0,0,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
0db5d2c8,Mathias Jørgensen,19,DEN,CB,30-058,23,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,18,19,94.7,0,13,0,0,0,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
2200181e,Kaan Ayhan,5,TUR,CB,25-223,90,0,0,0,0,0,0,0,0,89,0,1,1,0.0,0.0,0.0,0,0,74,86,86.0,9,48,0,0,0,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
dc2e4736,Florian Kastenmeier,33,GER,GK,22-358,90,0,0,0,0,0,0,0,0,39,0,1,0,0.0,0.0,0.1,1,0,23,37,62.2,0,16,0,1,1,Düsseldorf,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
d6862409,Florian Niederlechner,7,GER,FW,29-240,78,1,0,0,0,4,1,0,0,18,0,0,0,0.9,0.9,0.0,4,2,7,11,63.6,2,10,1,4,2,Augsburg,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
f9e7c4ac,Alfreð Finnbogason,27,ISL,FW,31-140,12,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,Augsburg,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
6ecbddf6,Ruben Vargas,16,SUI,"LW,LM",21-320,90,0,0,0,0,3,2,0,0,32,0,1,0,0.1,0.1,0.1,4,0,10,24,41.7,0,15,3,3,1,Augsburg,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
fbbc8e15,Noah Joel Sarenren Bazee,17,NGA,RW,23-304,67,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.4,2,0,6,10,60.0,0,6,0,1,0,Augsburg,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
cd82452e,André Hahn,28,GER,"RW,RM",29-312,23,0,0,0,0,0,0,0,0,14,0,1,1,0.0,0.0,0.2,1,0,6,9,66.7,0,8,1,1,0,Augsburg,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
f972644c,Marco Richter,23,GER,AM,22-209,88,0,0,0,0,2,0,0,0,29,0,0,0,0.2,0.2,0.0,1,0,11,17,64.7,2,18,3,3,2,Augsburg,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
c5224618,Marek Suchý,5,CZE,CB,32-083,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Augsburg,2020-06-20 Düsseldorf-Augsburg,GER-BL1,19-20,8dbf8a0b
