id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b561db50,Raúl Jiménez,9,MEX,"FW,RW",27-098,90,1,0,0,0,3,2,0,0,53,0,1,0,0.7,0.7,0.0,2,0,29,40,72.5,5,21,0,2,1,Wolverhampton Wanderers,2018-08-11 Wolves-Everton,ENG-EPL,18-19,8dc8eaeb
178ae8f8,Diogo Jota,18,POR,LW,21-250,90,0,0,0,0,1,0,0,0,44,0,1,1,0.0,0.0,0.0,3,1,26,35,74.3,4,29,6,4,2,Wolverhampton Wanderers,2018-08-11 Wolves-Everton,ENG-EPL,18-19,8dc8eaeb
f13d02a6,Hélder Costa,10,ANG,RW,24-211,70,0,0,0,0,2,1,0,0,29,2,0,3,0.1,0.1,0.0,0,0,12,18,66.7,0,15,2,2,1,Wolverhampton Wanderers,2018-08-11 Wolves-Everton,ENG-EPL,18-19,8dc8eaeb
da23d58d,Léo Bonatini,33,BRA,FW,24-136,20,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,8,0,1,1,Wolverhampton Wanderers,2018-08-11 Wolves-Everton,ENG-EPL,18-19,8dc8eaeb
e28868f3,Jonny Castro,19,ESP,LM,24-161,75,0,0,0,0,1,0,0,0,49,0,2,3,0.0,0.0,0.0,0,0,33,43,76.7,2,22,2,0,0,Wolverhampton Wanderers,2018-08-11 Wolves-Everton,ENG-EPL,18-19,8dc8eaeb
b937e490,Rúben Vinagre,29,POR,LM,19-124,15,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,1,1,10,15,66.7,0,9,2,2,1,Wolverhampton Wanderers,2018-08-11 Wolves-Everton,ENG-EPL,18-19,8dc8eaeb
44bfb6c5,Rúben Neves,8,POR,CM,21-151,90,1,1,0,0,3,1,0,0,105,1,1,0,0.2,0.2,0.3,3,1,77,95,81.1,12,71,2,3,1,Wolverhampton Wanderers,2018-08-11 Wolves-Everton,ENG-EPL,18-19,8dc8eaeb
f5a00fa4,João Moutinho,28,POR,CM,31-337,84,0,0,0,0,1,0,0,0,72,1,0,1,0.0,0.0,0.0,5,0,59,67,88.1,12,44,0,1,1,Wolverhampton Wanderers,2018-08-11 Wolves-Everton,ENG-EPL,18-19,8dc8eaeb
32f60ed8,Morgan Gibbs-White,17,ENG,CM,18-196,6,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,6,7,85.7,0,7,0,0,0,Wolverhampton Wanderers,2018-08-11 Wolves-Everton,ENG-EPL,18-19,8dc8eaeb
