id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
97bfa797,Jean-Kévin Augustin,29,FRA,FW,20-123,75,1,0,0,0,7,1,0,0,38,0,0,2,0.6,0.6,0.0,6,0,16,20,80.0,0,36,2,4,3,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
d2416c2e,Yussuf Poulsen,9,DEN,FW,23-124,15,0,0,0,0,1,1,0,0,19,0,0,0,0.1,0.1,0.0,0,0,6,13,46.2,0,13,2,0,0,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
e280527c,Marcel Sabitzer,7,AUT,"FW,RM",23-214,90,0,1,0,0,3,1,0,0,50,2,0,0,0.2,0.2,0.8,10,1,33,44,75.0,10,32,4,0,0,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
9a2e0ccc,Emil Forsberg,10,SWE,LM,25-359,89,1,0,0,0,3,1,0,0,54,1,0,2,0.6,0.6,0.0,7,1,31,41,75.6,2,36,5,9,7,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
17370b95,Bernardo,3,BRA,LM,22-156,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
f25c8e3a,Naby Keïta,8,GUI,CM,22-249,90,0,0,0,0,1,0,0,0,99,4,6,3,0.0,0.0,0.6,5,0,68,82,82.9,12,55,1,7,6,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
b825a650,Kevin Kampl,44,SVN,CM,27-008,90,0,0,0,0,0,0,0,0,82,3,4,2,0.0,0.0,0.0,2,0,63,74,85.1,11,48,1,2,1,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
5caa62a7,Bruma,17,POR,RM,22-358,74,0,0,0,0,4,1,0,0,46,1,0,0,0.5,0.5,0.1,3,1,21,32,65.6,3,37,4,4,1,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
49fe9070,Timo Werner,11,GER,FW,21-225,16,0,0,0,0,1,1,0,0,4,1,0,0,0.1,0.1,0.0,1,0,3,3,100.0,1,4,3,0,0,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
8ff2354e,Marcel Halstenberg,23,GER,LB,26-020,90,0,0,0,0,0,0,0,0,70,2,1,1,0.0,0.0,0.1,2,0,50,60,83.3,8,28,1,0,0,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
d248cd8f,Dayot Upamecano,5,FRA,CB,18-355,90,0,0,0,0,0,0,0,0,87,3,0,1,0.0,0.0,0.0,0,0,58,72,80.6,3,52,1,0,0,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
20030c06,Willi Orban,4,HUN,CB,24-348,90,1,0,0,0,1,1,1,0,67,1,0,1,0.4,0.4,0.0,0,0,45,61,73.8,5,37,0,0,0,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
ca8033cb,Lukas Klostermann,16,GER,RB,21-136,90,0,0,0,0,1,0,0,0,54,3,1,0,0.0,0.0,0.0,1,1,38,46,82.6,3,19,1,0,0,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
bcb2ccd8,Péter Gulácsi,32,HUN,GK,27-164,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,27,39,69.2,0,19,0,0,0,RB Leipzig,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
8637e09a,Vincent Aboubakar,9,CMR,FW,25-268,90,1,0,0,0,2,2,0,0,28,0,0,0,0.1,0.1,0.0,3,0,15,21,71.4,1,20,2,2,1,Porto,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
56b5d64e,Yacine Brahimi,8,ALG,LW,27-251,75,0,0,0,0,0,0,1,0,41,1,0,1,0.0,0.0,0.0,0,0,19,27,70.4,6,31,6,12,8,Porto,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
fb938d24,Jesús Corona,17,MEX,"LM,LW",24-284,15,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,1,0,3,5,60.0,1,5,2,2,2,Porto,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
05a84d52,Moussa Marega,11,MLI,"RW,FW",26-186,90,0,0,0,0,2,0,0,0,29,3,1,0,0.1,0.1,0.0,1,0,6,16,37.5,1,17,5,1,0,Porto,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
a8542814,Héctor Herrera,16,MEX,AM,27-181,80,0,1,0,0,0,0,0,0,39,2,1,1,0.0,0.0,0.8,2,1,22,31,71.0,1,16,0,0,0,Porto,2017-10-17 RB Leipzig-Porto,UCL,17-18,8ed0b9c6
