id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
a190d597,Diego Costa,29,ESP,FW,34-085,45,0,0,0,0,1,1,0,0,15,1,1,1,0.1,0.1,0.1,2,0,8,9,88.9,0,8,1,0,0,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
9a28eba4,Adama Traoré,37,ESP,RW,26-340,45,0,0,0,0,0,0,0,0,20,0,1,0,0.0,0.0,0.0,0,0,11,17,64.7,2,9,2,5,4,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
7fcc71d8,Daniel Podence,10,POR,LW,27-071,80,0,0,0,0,2,0,0,0,44,1,1,0,0.1,0.1,0.1,4,0,22,32,68.8,5,21,2,3,1,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
b561db50,Raúl Jiménez,9,MEX,LW,31-240,10,0,0,0,0,2,1,0,0,7,0,0,2,0.2,0.2,0.0,1,0,1,2,50.0,0,2,0,0,0,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
169fd162,Hwang Hee-chan,11,KOR,"FW,RW",26-339,90,0,0,0,0,0,0,0,0,31,3,1,2,0.0,0.0,0.0,2,0,19,22,86.4,2,13,0,3,2,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
f5a00fa4,João Moutinho,28,POR,"AM,RM",36-114,71,0,0,0,0,1,0,0,0,43,1,0,2,0.1,0.1,0.0,2,0,26,34,76.5,4,12,0,1,0,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
9b398aea,Rayan Aït-Nouri,3,ALG,LM,21-208,19,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,2,0,4,9,44.4,0,4,1,2,0,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
e6af02e0,Matheus Nunes,27,POR,"DM,LM,CM",24-126,90,0,0,0,0,0,0,0,0,50,3,2,2,0.0,0.0,0.1,1,0,31,37,83.8,2,30,0,2,1,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
44bfb6c5,Rúben Neves,8,POR,"CM,DM",25-293,90,0,0,0,0,3,1,0,0,70,2,2,0,0.1,0.1,0.0,0,0,38,59,64.4,3,25,0,3,2,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
bfc3b3a0,Hugo Bueno,64,ESP,LB,20-104,72,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,2,0,29,36,80.6,2,17,2,2,0,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
f0caab96,Toti Gomes,24,POR,CB,23-349,18,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,5,0,0,0,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
d0f72bf1,Max Kilman,23,ENG,CB,25-222,90,0,0,0,0,0,0,0,0,59,1,1,2,0.0,0.0,0.0,0,0,36,48,75.0,1,26,0,0,0,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
a8c19eb8,Nathan Collins,4,IRL,CB,21-245,90,0,0,0,0,1,0,0,0,47,1,2,2,0.0,0.0,0.0,2,0,30,37,81.1,1,19,2,2,1,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
d04b94db,Nélson Semedo,22,POR,RB,29-045,64,0,0,0,0,0,0,1,0,37,2,1,0,0.0,0.0,0.0,0,0,20,27,74.1,2,13,3,2,1,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
e28868f3,Jonny Castro,19,ESP,"RM,RB",28-303,26,0,0,0,0,0,0,0,0,30,0,2,1,0.0,0.0,0.1,1,0,19,25,76.0,1,9,1,2,1,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
903b6e8b,José Sá,1,POR,GK,29-348,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,30,38,78.9,0,24,0,0,0,Wolverhampton Wanderers,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
8b788c01,Anthony Martial,9,FRA,FW,27-026,80,0,0,0,0,2,0,0,0,30,0,1,0,0.6,0.6,0.1,1,0,19,23,82.6,1,21,0,1,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
50dc94ce,Donny van de Beek,34,NED,FW,25-257,10,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.1,1,0,4,6,66.7,1,4,1,1,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
7aa8adfe,Alejandro Garnacho,49,ARG,LW,18-183,45,0,0,0,0,2,1,0,0,23,0,1,1,0.3,0.3,0.0,1,0,10,13,76.9,1,16,5,3,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
a1d5bd30,Marcus Rashford,10,ENG,LW,25-061,45,1,0,0,0,2,2,1,0,22,0,1,1,0.3,0.3,0.0,2,1,13,14,92.9,1,14,0,4,1,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
99127249,Antony,21,BRA,RW,22-310,89,0,0,0,0,5,2,0,0,62,3,1,0,0.4,0.4,0.0,3,0,31,46,67.4,3,42,4,3,1,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
2fba6108,Anthony Elanga,36,SWE,RW,20-248,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
507c7bdf,Bruno Fernandes,8,POR,AM,28-114,89,0,1,0,0,3,1,0,0,67,3,1,2,0.3,0.3,0.3,7,1,44,54,81.5,13,42,0,1,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
d8931174,Harry Maguire,5,ENG,AM,29-301,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
4d224fe8,Casemiro,18,BRA,DM,30-311,90,0,0,0,0,2,0,1,0,72,4,1,2,0.1,0.1,0.0,3,0,45,58,77.6,5,34,0,1,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
980522ec,Christian Eriksen,14,DEN,DM,30-320,60,0,0,0,0,0,0,0,0,46,1,1,0,0.0,0.0,0.0,2,0,35,43,81.4,6,31,1,0,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
b853e0ad,Fred,17,BRA,DM,29-301,30,0,0,0,0,0,0,1,0,32,2,0,0,0.0,0.0,0.0,0,0,22,27,81.5,1,19,0,2,1,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
6b6c793c,Tyrell Malacia,12,NED,LB,23-136,90,0,0,0,0,0,0,0,0,74,2,2,0,0.0,0.0,0.1,1,0,52,61,85.2,7,38,0,1,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
9c94165b,Luke Shaw,23,ENG,CB,27-172,90,0,0,0,0,0,0,0,0,80,1,2,1,0.0,0.0,0.0,1,0,58,69,84.1,6,51,2,0,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
9f8e9423,Raphaël Varane,19,FRA,CB,29-250,90,0,0,0,0,0,0,0,0,58,0,0,3,0.0,0.0,0.0,0,0,36,43,83.7,3,28,1,2,1,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
9e525177,Aaron Wan-Bissaka,29,ENG,RB,25-035,90,0,0,0,0,0,0,0,0,51,1,4,1,0.0,0.0,0.1,2,0,35,43,81.4,4,28,2,0,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
7ba6d84e,David de Gea,1,ESP,GK,32-054,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,14,21,66.7,0,15,0,0,0,Manchester United,2022-12-31 Wolves-Manchester Utd,ENG-EPL,22-23,8ef80305
