id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4431aed2,Ciro Immobile,17,ITA,FW,28-278,90,0,0,0,0,5,2,0,0,40,0,0,1,0.3,0.3,0.2,8,0,24,28,85.7,3,30,1,5,1,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
5294a83f,Luis Alberto,10,ESP,FW,26-058,64,0,0,0,0,1,1,0,0,48,1,0,0,0.1,0.1,0.3,9,0,36,45,80.0,8,29,1,0,0,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
45b9b619,Joaquín Correa,11,ARG,"FW,AM",24-104,26,1,0,0,0,2,1,0,0,25,3,0,0,0.1,0.1,0.1,2,0,14,17,82.4,2,11,0,1,0,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
4e6dbac4,Sergej Milinković-Savić,21,SRB,DM,23-271,64,0,0,0,0,4,0,1,0,72,2,1,3,0.2,0.2,0.1,5,0,41,54,75.9,5,56,1,3,2,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
0cd0e21b,Jordan Lukaku,5,BEL,"WB,LB,DM",24-123,26,0,0,0,0,0,0,0,0,26,0,2,2,0.0,0.0,0.0,0,0,13,20,65.0,1,12,3,1,1,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
e8c930bb,Milan Badelj,25,CRO,DM,29-273,90,0,0,0,0,1,0,0,0,92,5,1,0,0.0,0.0,0.1,2,0,74,83,89.2,15,57,2,5,4,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
ed5886d2,Marco Parolo,16,ITA,"DM,RM",33-304,90,0,0,0,0,4,0,0,0,58,2,0,0,0.3,0.3,0.1,1,0,32,44,72.7,2,30,1,0,0,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
7fd58fe3,Senad Lulić,19,BIH,"WB,DM,LM",32-311,90,0,0,0,0,1,0,0,0,67,2,1,0,0.0,0.0,0.1,5,0,42,58,72.4,8,45,5,3,2,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
d4535821,Adam Marušić,77,MNE,"WB,RB",26-039,90,0,0,0,0,1,0,0,0,48,5,0,0,0.1,0.1,0.0,1,0,32,40,80.0,6,24,2,1,0,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
53de807a,Ștefan Radu,26,ROU,CB,32-034,81,0,0,0,0,0,0,0,0,63,2,6,1,0.0,0.0,0.0,1,0,48,51,94.1,4,32,1,2,2,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
93b891d1,Felipe Caicedo,20,ECU,"FW,CB",30-081,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,0,0,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
b96b595c,Francesco Acerbi,33,ITA,CB,30-288,90,0,0,0,0,0,0,0,0,78,0,0,2,0.0,0.0,0.0,0,0,67,72,93.1,7,55,2,0,0,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
d61b3354,Wallace,13,BRA,CB,24-042,90,0,0,0,0,2,1,0,0,71,0,1,0,0.1,0.1,0.0,1,0,57,64,89.1,4,52,1,0,0,Lazio,2018-11-25 Lazio-Milan,ITA-SERIA_A,18-19,8fe9c11b
