id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
bdedd861,Rachid Alioui,7,MAR,FW,26-271,90,0,0,0,0,4,1,0,0,34,0,0,0,0.5,0.5,0.0,3,0,19,25,76.0,0,13,2,2,1,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
beae3a73,Renaud Ripart,20,FRA,"RB,LW",26-002,90,0,0,0,0,1,0,1,0,61,1,0,2,0.3,0.3,0.1,2,0,37,49,75.5,4,33,5,2,1,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
0b0cbe5b,Denis Bouanga,10,GAB,"LW,RW",24-125,90,0,0,0,0,1,1,1,0,38,1,0,1,0.0,0.0,0.1,2,0,17,27,63.0,1,19,0,2,0,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
375622c5,Jordan Ferri,6,FRA,"DM,LM,RM",27-004,90,0,0,0,0,0,0,0,0,74,4,1,1,0.0,0.0,0.0,4,1,59,63,93.7,7,50,2,2,2,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
6bde367b,Téji Savanier,11,FRA,"DM,CM",27-084,90,1,1,1,1,2,0,1,0,100,5,0,0,0.8,0.1,0.6,6,1,53,84,63.1,10,54,6,2,1,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
c8090cb3,Theo Valls,18,FRA,"RM,AM,LM",23-088,66,0,0,0,0,2,0,1,0,21,0,1,0,0.1,0.1,0.0,3,0,15,17,88.2,2,14,3,0,0,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
6e2c94ad,Umut Bozok,19,TUR,AM,22-178,24,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,6,10,60.0,0,7,0,0,0,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
e54a9890,Faitout Maouassa,12,FRA,LB,20-253,90,0,0,0,0,0,0,0,0,76,3,0,0,0.0,0.0,0.1,3,1,52,70,74.3,5,46,8,1,1,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
08082af0,Loïck Landre,5,FRA,CB,26-315,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
dc709ab5,Hervé Lybohy,27,NIG,CB,35-236,84,1,0,0,0,3,1,0,0,56,1,1,1,0.4,0.4,0.0,1,0,40,45,88.9,2,35,1,0,0,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
16324e1d,Anthony Briançon,23,FRA,CB,24-108,90,0,0,0,0,1,0,0,0,74,1,2,0,0.3,0.3,0.0,1,0,63,70,90.0,3,47,1,0,0,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
5314e067,Sofiane Alakouch,29,MAR,RB,20-230,24,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,9,15,60.0,2,13,1,0,0,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
f4bc42b1,Sada Thioub,22,SEN,RW,23-288,66,0,0,0,0,1,0,0,0,40,0,0,4,0.1,0.1,0.0,3,0,22,34,64.7,2,28,4,1,1,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
28dabd43,Paul Bernardoni,30,FRA,GK,21-332,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,18,20,90.0,0,11,0,0,0,Nîmes,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
909222de,Nuno da Costa,29,CPV,"FW,RM,LM",28-034,84,0,1,0,0,1,0,1,0,31,3,1,0,0.0,0.0,0.4,2,2,11,19,57.9,3,13,1,4,1,Strasbourg,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
775185ae,Kévin Zohi,20,MLI,RM,22-087,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,1,0,Strasbourg,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
3eaf8817,Lebo Mothiba,12,RSA,FW,23-047,90,1,0,0,0,1,1,1,0,29,0,0,0,0.1,0.1,0.0,2,0,14,23,60.9,4,14,0,0,0,Strasbourg,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
5b5724d2,Lionel Carole,23,FRA,"LW,LB",27-338,76,0,0,0,0,0,0,1,0,35,0,2,2,0.0,0.0,0.0,0,0,16,24,66.7,1,9,0,0,0,Strasbourg,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
f7691f63,Dimitri Liénard,11,FRA,LM,31-031,14,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,Strasbourg,2019-03-16 Nîmes-Strasbourg,FRA-L1,18-19,8fef372a
