id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
30643ce2,Ari,9,RUS,FW,33-093,29,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,3,0,9,11,81.8,1,10,1,1,1,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
4fe7e935,Dmitry Stotsky,89,RUS,FW,29-103,61,0,0,0,0,3,0,0,0,39,2,0,1,0.1,0.1,0.0,1,1,20,27,74.1,0,17,0,0,0,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
fa73ccc7,Kristoffer Olsson,14,SWE,LW,23-257,90,0,0,0,0,1,0,0,0,51,2,1,2,0.0,0.0,0.1,2,0,34,42,81.0,5,44,2,0,0,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
5da33b33,Wanderson,7,BRA,RW,24-158,90,0,0,0,0,2,0,0,0,47,3,1,2,0.2,0.2,0.1,3,0,21,30,70.0,5,28,4,3,1,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
b3a712de,Viktor Claesson,16,SWE,LM,27-071,90,0,0,0,0,2,1,0,0,37,1,3,0,0.1,0.1,0.0,2,0,17,23,73.9,2,27,1,2,1,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
ecb68eea,Yuri Gazinskiy,8,RUS,CM,29-237,90,0,0,0,0,0,0,1,0,87,0,4,0,0.0,0.0,0.1,2,0,67,77,87.0,12,55,0,0,0,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
f45eb18d,Mauricio Pereyra,33,URU,RM,28-364,89,0,0,0,0,4,1,1,0,95,2,0,1,0.2,0.2,0.0,4,0,64,85,75.3,10,57,0,4,3,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
925e1359,Ivan Taranov,22,RUS,RM,32-265,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
8a1d7b51,Cristian Ramírez,6,ECU,LB,24-214,90,0,0,0,0,1,0,0,0,77,1,1,0,0.0,0.0,0.0,3,0,51,66,77.3,6,48,3,2,1,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
7b8ff0ac,Jón Guðni Fjóluson,3,ISL,CB,29-338,90,0,0,0,0,0,0,0,0,71,0,0,1,0.0,0.0,0.0,0,0,55,67,82.1,2,47,1,0,0,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
02ce2030,Uroš Spajić,5,SRB,CB,26-029,90,0,0,0,0,0,0,0,0,72,1,3,0,0.0,0.0,0.0,0,0,53,63,84.1,5,50,1,1,1,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
17145c90,Sergei Petrov,98,RUS,RB,28-071,74,0,0,0,0,0,0,0,0,54,0,1,0,0.0,0.0,0.0,1,0,39,51,76.5,0,33,2,0,0,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
d94653be,Magomed-Shapi Suleymanov,93,RUS,RB,19-088,16,1,0,0,0,1,1,0,0,12,1,0,0,0.0,0.0,0.0,1,0,5,7,71.4,0,5,0,0,0,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
d97b252e,Matvei Safonov,39,RUS,GK,20-017,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,31,40,77.5,0,27,0,0,0,Krasnodar,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
0b90bb97,Santi Mina,22,ESP,FW,23-097,69,0,0,0,0,2,0,0,0,27,1,0,0,0.2,0.2,0.7,3,0,14,17,82.4,2,15,0,0,0,Valencia,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
e6bc67d7,Gonçalo Guedes,7,POR,FW,22-105,21,1,0,0,0,1,1,1,0,10,0,0,0,0.2,0.2,0.0,1,1,6,6,100.0,1,7,0,3,1,Valencia,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
19b776e9,Rubén Sobrino,23,ESP,FW,26-286,56,0,0,0,0,0,0,0,0,20,0,2,3,0.0,0.0,0.0,1,0,11,14,78.6,1,8,1,2,2,Valencia,2019-03-14 Krasnodar-Valencia,UEL,18-19,900a4b95
