id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
79443529,Dušan Vlahović,9,SRB,FW,20-299,90,0,0,0,0,2,1,0,0,23,1,0,0,0.8,0.8,0.0,0,0,6,12,50.0,0,11,0,2,0,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
f61c7c4e,Franck Ribéry,7,FRA,LW,37-229,43,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.1,1,0,17,18,94.4,1,20,5,4,3,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
3bb7af3b,Riccardo Saponara,18,ITA,AM,28-337,47,0,0,0,0,0,0,0,0,31,2,1,0,0.0,0.0,0.0,1,0,23,26,88.5,0,19,0,0,0,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
58e933d2,Christian Kouamé,11,CIV,RW,22-352,54,0,0,0,0,1,1,0,0,27,1,1,0,0.1,0.1,0.0,0,0,15,19,78.9,1,14,0,0,0,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
a4fe8cda,Patrick Cutrone,63,ITA,RW,22-324,36,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
0728bebe,Gaetano Castrovilli,10,ITA,"LW,AM",23-279,90,0,0,0,0,0,0,0,0,49,2,0,2,0.0,0.0,0.0,2,0,23,39,59.0,3,34,4,2,2,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
528492ea,Alfred Duncan,8,GHA,DM,27-257,54,0,0,0,0,0,0,0,0,23,2,1,1,0.0,0.0,0.0,1,0,13,16,81.3,2,10,1,0,0,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
4611e028,Erick Pulgar,78,CHI,DM,26-312,36,0,0,0,0,1,0,0,0,41,0,0,1,0.1,0.1,0.0,1,0,32,36,88.9,2,22,2,0,0,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
5a2cb25d,Sofyan Amrabat,34,MAR,DM,24-093,71,0,0,0,0,0,0,0,0,63,1,0,0,0.0,0.0,0.0,1,0,56,61,91.8,7,45,3,2,2,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
0e21fc3c,Borja Valero,6,ESP,DM,35-315,19,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,22,23,95.7,3,19,1,0,0,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
9e1577aa,Cristiano Biraghi,3,ITA,LB,28-082,90,0,0,0,0,1,0,1,0,88,1,0,1,0.1,0.1,0.2,3,0,52,77,67.5,5,41,4,1,1,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
a4e85758,Igor,98,BRA,CB,22-289,56,0,0,0,0,0,0,0,0,49,0,1,1,0.0,0.0,0.0,0,0,43,46,93.5,6,37,1,0,0,Fiorentina,2020-11-22 Fiorentina-Benevento,ITA-SERIA_A,20-21,91f4fc0c
