id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5c2da10f,Loïc Rémy,9,FRA,FW,31-271,77,0,0,0,0,1,0,0,0,20,0,1,0,0.1,0.1,0.0,0,0,11,15,73.3,1,15,3,0,0,Lille,2018-09-30 Lille-Marseille,FRA-L1,18-19,92e492f5
20730eae,Rafael Leão,7,POR,FW,19-112,13,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,1,1,2,2,100.0,2,2,0,0,0,Lille,2018-09-30 Lille-Marseille,FRA-L1,18-19,92e492f5
b2bd0f6c,Jonathan Bamba,14,CIV,"LW,RW,AM",22-188,90,2,0,1,1,2,1,0,0,57,1,0,0,1.5,0.8,0.0,2,0,28,40,70.0,7,41,7,2,1,Lille,2018-09-30 Lille-Marseille,FRA-L1,18-19,92e492f5
57e3f0c7,Nicolas Pépé,19,CIV,"RW,AM",23-124,89,1,0,1,1,3,0,0,0,50,1,0,0,1.0,0.2,0.1,5,2,26,37,70.3,5,37,8,2,0,Lille,2018-09-30 Lille-Marseille,FRA-L1,18-19,92e492f5
67ac5bb8,Gabriel Magalhães,4,BRA,"AM,CB",20-285,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Lille,2018-09-30 Lille-Marseille,FRA-L1,18-19,92e492f5
42eaa028,Jonathan Ikone,12,FRA,AM,20-151,74,0,0,0,0,2,1,0,0,44,0,0,0,0.1,0.1,0.1,6,1,26,34,76.5,5,33,4,5,2,Lille,2018-09-30 Lille-Marseille,FRA-L1,18-19,92e492f5
3767b3b7,Edgar Ié,15,GNB,LB,24-152,16,0,0,0,0,0,0,0,0,11,2,2,0,0.0,0.0,0.0,3,1,6,7,85.7,1,6,0,1,1,Lille,2018-09-30 Lille-Marseille,FRA-L1,18-19,92e492f5
f3600c02,Xeka,8,POR,DM,23-324,90,0,0,0,0,3,0,1,0,53,0,0,1,0.1,0.1,0.0,5,0,36,48,75.0,13,35,2,0,0,Lille,2018-09-30 Lille-Marseille,FRA-L1,18-19,92e492f5
c6e5d20f,Thiago Mendes,23,BRA,DM,26-199,90,0,0,0,0,2,0,0,0,80,2,3,2,0.1,0.1,0.1,3,0,46,64,71.9,9,40,1,0,0,Lille,2018-09-30 Lille-Marseille,FRA-L1,18-19,92e492f5
f449640d,Fodé Ballo-Touré,25,SEN,"LB,LW",21-270,90,0,1,0,0,0,0,0,0,41,2,0,1,0.0,0.0,0.8,2,1,26,35,74.3,7,20,4,0,0,Lille,2018-09-30 Lille-Marseille,FRA-L1,18-19,92e492f5
