id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
aed3a70f,Ollie Watkins,11,ENG,FW,27-233,73,0,0,0,0,1,0,0,0,17,1,0,0,0.3,0.3,0.1,4,1,9,9,100.0,0,15,2,1,0,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
414184f7,Jhon Durán,24,COL,FW,19-250,17,1,0,0,0,1,1,0,0,12,1,0,0,0.5,0.5,0.0,2,1,7,9,77.8,0,5,1,1,1,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
90f91999,John McGinn,7,SCO,"LW,AM",28-306,90,1,0,0,0,1,1,0,0,43,1,0,0,0.6,0.6,0.0,3,0,24,30,80.0,9,33,4,7,4,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
3a233281,Leon Bailey,31,JAM,RW,26-011,62,1,1,0,0,2,1,0,0,35,0,0,0,0.3,0.3,0.6,4,2,25,31,80.6,2,25,5,2,2,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
56f7a928,Youri Tielemans,8,BEL,CM,26-105,28,0,0,0,0,0,0,0,0,32,0,0,2,0.0,0.0,0.0,0,0,29,30,96.7,3,23,0,0,0,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
aeed5c06,Moussa Diaby,19,FRA,AM,24-044,63,0,0,0,0,3,2,0,0,33,0,0,1,0.3,0.3,0.4,3,1,17,20,85.0,3,24,3,2,0,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
b4a014b1,Diego Carlos,3,BRA,CB,30-158,27,0,0,0,0,0,0,0,0,31,2,0,1,0.0,0.0,0.0,0,0,23,26,88.5,0,24,0,1,0,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
6f7d826d,Douglas Luiz,6,BRA,DM,25-103,63,1,0,1,1,0,0,1,0,50,0,1,1,0.8,0.0,0.1,3,0,41,43,95.3,4,27,2,1,1,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
0ef89a37,Philippe Coutinho,23,BRA,AM,31-069,21,0,0,0,0,2,1,0,0,19,0,0,0,0.1,0.1,0.0,1,0,13,15,86.7,4,20,2,4,3,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
05e8ca6d,Cameron Archer,35,ENG,AM,22-030,6,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,5,1,0,0,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
cc77354e,Boubacar Kamara,44,FRA,"DM,CM",23-270,90,0,0,0,0,1,0,0,0,60,1,1,1,0.0,0.0,0.0,0,0,47,55,85.5,4,47,1,1,0,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
1b84dbe1,Lucas Digne,12,FRA,"LB,WB",30-031,90,0,0,0,0,1,0,1,0,89,2,1,0,0.0,0.0,0.2,2,0,62,79,78.5,2,56,2,3,1,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
532e1e4f,Pau Torres,14,ESP,CB,26-216,90,0,0,0,0,0,0,0,0,82,0,0,0,0.0,0.0,0.0,0,0,71,79,89.9,4,67,0,0,0,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
0313a347,Ezri Konsa,4,ENG,CB,25-301,90,0,0,0,0,0,0,0,0,77,1,0,0,0.0,0.0,0.0,0,0,67,70,95.7,0,56,0,0,0,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
2389cdc2,Matty Cash,2,POL,"RB,WB",26-013,90,0,0,0,0,0,0,0,0,63,0,0,5,0.0,0.0,0.1,1,0,44,51,86.3,4,41,1,5,1,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
7956236f,Emiliano Martínez,1,ARG,GK,30-352,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,43,46,93.5,0,34,0,0,0,Aston Villa,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
59e6e5bf,Dominic Calvert-Lewin,9,ENG,FW,26-157,37,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,3,0,0,0,Everton,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
f08490a6,Arnaut Danjuma,10,NED,"LM,FW",26-201,53,0,0,0,0,4,1,0,0,29,0,0,0,0.2,0.2,0.0,4,0,16,18,88.9,0,18,2,3,2,Everton,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
6ca5ec4b,Alex Iwobi,17,NGA,"LM,RM",27-109,50,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.1,1,0,5,12,41.7,0,8,3,0,0,Everton,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
4bcf39f6,Neal Maupay,13,FRA,FW,27-006,40,0,0,0,0,1,1,0,0,21,0,0,1,0.1,0.1,0.0,1,0,14,17,82.4,0,11,0,0,0,Everton,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
828657ff,Amadou Onana,8,BEL,"CM,DM",22-004,90,0,0,0,0,0,0,0,0,53,1,0,3,0.0,0.0,0.0,0,0,35,42,83.3,5,32,0,0,0,Everton,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
02b29014,Abdoulaye Doucouré,16,MLI,"CM,FW",30-231,89,0,0,0,0,1,0,0,0,30,1,1,0,0.1,0.1,0.0,1,0,21,26,80.8,2,18,2,2,2,Everton,2023-08-20 Aston Villa-Everton,ENG-EPL,23-24,959b558d
