id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b0547a87,Nicolas de Préville,12,FRA,FW,26-280,73,0,1,0,0,1,0,1,0,24,1,0,1,0.1,0.1,0.1,3,2,10,15,66.7,2,12,0,3,2,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
e067808c,Alexandre Mendy,15,GNB,FW,23-209,17,0,0,0,0,2,0,0,0,6,0,0,0,0.2,0.2,0.0,1,0,0,4,0.0,0,5,1,0,0,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
81d3318f,François Kamano,11,GUI,LW,21-166,59,0,0,0,0,3,0,0,0,27,2,0,0,0.1,0.1,0.0,2,0,16,19,84.2,2,23,4,2,1,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
8d043f1d,Jonathan Cafu,22,BRA,LW,26-097,31,0,0,0,0,1,1,0,0,16,1,1,1,0.3,0.3,0.0,2,0,6,9,66.7,1,12,1,0,0,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
6853490f,Malcom,7,BRA,RW,20-231,90,1,0,0,0,5,1,0,0,65,0,0,0,0.3,0.3,0.2,7,0,30,53,56.6,6,50,12,6,4,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
c650629d,Younousse Sankharé,13,SEN,LM,28-035,67,0,0,0,0,1,0,0,0,27,1,3,1,0.0,0.0,0.0,5,0,17,20,85.0,2,17,1,0,0,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
dcf7cf44,Valentín Vada,23,ARG,LM,21-223,23,0,0,0,0,0,0,0,0,23,2,0,0,0.0,0.0,0.0,0,0,18,20,90.0,4,10,1,0,0,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
243f4a0b,Otávio,5,BRA,CM,23-164,90,0,0,0,0,1,0,0,0,54,6,1,1,0.0,0.0,0.1,3,0,38,46,82.6,2,33,0,0,0,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
1b82f8df,Lukas Lerager,19,DEN,RM,24-095,90,0,0,0,0,3,0,0,0,50,3,0,1,0.1,0.1,0.0,3,0,24,37,64.9,4,28,1,0,0,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
97fb4608,Théo Pellenard,21,FRA,LB,23-225,90,0,0,0,0,0,0,1,0,64,4,0,1,0.0,0.0,0.0,1,0,41,55,74.5,3,30,4,0,0,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
0eb03d5b,Vukašin Jovanović,4,SRB,CB,21-151,90,0,0,0,0,1,1,0,0,69,0,1,2,0.0,0.0,0.0,0,0,49,56,87.5,1,45,2,0,0,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
7adea561,Jérémy Toulalan,14,FRA,CB,34-035,90,0,0,0,0,0,0,0,0,62,2,0,2,0.0,0.0,0.0,2,0,42,48,87.5,4,34,0,1,1,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
6b9f2f3e,Igor Lewczuk,6,POL,RB,32-138,90,0,0,0,0,0,0,1,0,62,3,1,0,0.0,0.0,0.1,4,0,46,57,80.7,5,35,3,1,0,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
2434f24a,Benoît Costil,1,FRA,GK,30-104,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,32,39,82.1,0,27,0,0,0,Bordeaux,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
8e87af42,Préjuce Nakoulma,22,BFA,FW,30-177,90,1,0,0,0,3,1,0,0,36,0,0,0,0.5,0.5,0.0,4,0,23,26,88.5,2,30,2,1,0,Nantes,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
c76b7567,Adrien Thomasson,8,FRA,LW,23-309,80,0,0,0,0,0,0,1,0,42,4,1,1,0.0,0.0,0.1,3,0,24,33,72.7,3,31,3,0,0,Nantes,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
f352a2db,Jules Iloki,7,FRA,"LW,RW",25-274,10,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.1,1,0,5,7,71.4,1,4,1,0,0,Nantes,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
0f52f925,Lucas Lima,6,BRA,RW,26-005,73,0,0,0,0,3,3,0,0,42,2,1,3,0.1,0.1,0.1,2,0,14,24,58.3,3,24,1,2,1,Nantes,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
0049d544,Yassine El Ghanassy,14,BEL,"RW,LW",27-095,17,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,1,0,10,10,100.0,1,13,2,3,2,Nantes,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
ed45c4a5,Valentin Rongier,28,FRA,AM,22-312,86,0,0,0,0,0,0,0,0,52,0,1,1,0.0,0.0,0.2,5,0,42,45,93.3,6,42,0,2,1,Nantes,2017-10-15 Bordeaux-Nantes,FRA-L1,17-18,95b44ebc
