id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f7036e1c,Lautaro Martínez,10,ARG,FW,24-024,64,0,0,0,0,3,2,1,0,17,0,1,1,0.4,0.4,0.5,3,0,9,10,90.0,3,7,1,1,0,Internazionale,2021-09-15 Inter-Real Madrid,UCL,21-22,97f6140b
45b9b619,Joaquín Correa,19,ARG,FW,27-033,26,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,1,7,2,1,0,Internazionale,2021-09-15 Inter-Real Madrid,UCL,21-22,97f6140b
3bb7f478,Edin Džeko,9,BIH,FW,35-182,90,0,0,0,0,3,3,0,0,34,0,0,0,0.8,0.8,0.0,3,0,17,26,65.4,3,14,2,2,1,Internazionale,2021-09-15 Inter-Real Madrid,UCL,21-22,97f6140b
cd0fa27b,Hakan Çalhanoğlu,20,TUR,CM,27-219,64,0,0,0,0,0,0,0,0,56,0,0,1,0.0,0.0,0.2,4,0,46,52,88.5,7,30,4,1,1,Internazionale,2021-09-15 Inter-Real Madrid,UCL,21-22,97f6140b
67cdbc0e,Arturo Vidal,22,CHI,CM,34-116,26,0,0,0,0,1,0,0,0,15,1,0,0,0.1,0.1,0.0,1,0,12,12,100.0,1,7,0,0,0,Internazionale,2021-09-15 Inter-Real Madrid,UCL,21-22,97f6140b
33b8d077,Marcelo Brozović,77,CRO,CM,28-303,90,0,0,0,0,2,0,0,0,121,2,1,1,0.1,0.1,0.1,5,0,101,111,91.0,15,79,2,1,1,Internazionale,2021-09-15 Inter-Real Madrid,UCL,21-22,97f6140b
6928979a,Nicolò Barella,23,ITA,CM,24-220,83,0,0,0,0,1,0,0,0,58,2,0,0,0.0,0.0,0.2,5,0,42,50,84.0,10,42,6,2,0,Internazionale,2021-09-15 Inter-Real Madrid,UCL,21-22,97f6140b
44ac04e9,Matías Vecino,8,URU,CM,30-022,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,5,20.0,0,4,1,0,0,Internazionale,2021-09-15 Inter-Real Madrid,UCL,21-22,97f6140b
6fe90922,Ivan Perišić,14,CRO,WB,32-225,54,0,0,0,0,4,0,0,0,25,2,1,0,0.2,0.2,0.3,2,0,14,19,73.7,1,11,2,0,0,Internazionale,2021-09-15 Inter-Real Madrid,UCL,21-22,97f6140b
