id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
3260690c,Benjamin Šeško,30,SVN,FW,20-332,69,1,0,0,0,1,1,0,0,24,1,0,2,0.5,0.5,0.1,2,0,12,17,70.6,2,7,1,3,2,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
437f2b00,Christoph Baumgartner,14,AUT,"FW,RM",24-270,21,1,0,0,0,1,1,0,0,7,0,0,0,0.3,0.3,0.1,2,0,5,5,100.0,0,3,0,0,0,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
8652a85c,Loïs Openda,17,BEL,FW,24-071,87,1,1,0,0,3,2,0,0,32,0,0,0,0.8,0.8,0.5,7,1,16,19,84.2,0,13,3,2,0,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
ca8033cb,Lukas Klostermann,16,GER,CB,27-329,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
da4d670f,Xavi Simons,20,NED,"AM,FW",21-006,90,0,1,0,0,6,1,0,0,53,1,0,1,0.2,0.2,0.5,6,2,28,35,80.0,8,31,6,9,6,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
ae44e8e2,Dani Olmo,7,ESP,"AM,LM",25-356,90,0,0,0,0,5,0,0,0,49,4,2,0,0.2,0.2,0.3,5,0,25,33,75.8,3,24,6,7,5,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
8f056768,Xaver Schlager,24,AUT,DM,26-212,87,0,0,0,0,2,1,0,0,40,2,0,1,0.1,0.1,0.0,4,1,31,33,93.9,4,13,4,2,2,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
b825a650,Kevin Kampl,44,SVN,"CM,DM",33-201,3,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,4,4,100.0,0,2,0,0,0,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
92432bc6,Amadou Haidara,8,MLI,DM,26-087,87,0,0,0,0,1,0,0,0,35,3,0,0,0.1,0.1,0.0,3,2,25,27,92.6,7,14,0,0,0,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
28c6e925,Nicolas Seiwald,13,AUT,"CM,DM",22-359,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
7d450ed3,David Raum,22,GER,LB,26-005,90,0,0,0,0,0,0,0,0,56,2,1,1,0.0,0.0,0.1,2,0,35,50,70.0,5,20,0,0,0,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
5b9512c5,Castello Lukeba,23,FRA,CB,21-132,90,0,0,0,0,0,0,0,0,52,1,1,3,0.0,0.0,0.0,0,0,42,44,95.5,2,25,0,2,1,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
20030c06,Willi Orban,4,HUN,CB,31-176,90,0,0,0,0,1,0,0,0,53,2,0,0,0.1,0.1,0.0,1,0,41,45,91.1,3,24,0,0,0,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
fcb27134,Mohamed Simakan,2,FRA,RB,23-360,51,1,0,0,0,1,1,1,0,23,2,0,0,0.4,0.4,0.0,2,0,11,18,61.1,1,11,0,0,0,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
0a89e877,Benjamin Henrichs,39,GER,RB,27-064,39,0,1,0,0,0,0,0,0,19,2,0,2,0.0,0.0,0.3,2,1,12,13,92.3,3,3,0,0,0,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
bcb2ccd8,Péter Gulácsi,1,HUN,GK,33-357,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,21,27,77.8,0,6,0,0,0,RB Leipzig,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
4f16405e,Niclas Füllkrug,14,GER,FW,31-078,90,0,0,0,0,3,1,0,0,25,0,0,1,1.3,1.3,0.0,2,0,15,20,75.0,0,13,0,1,0,Dortmund,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
dbf053da,Jadon Sancho,10,ENG,"LW,WB",24-033,90,1,0,0,0,1,1,1,0,63,1,0,0,0.0,0.0,0.2,4,0,44,55,80.0,10,43,6,7,4,Dortmund,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
501055d8,Karim Adeyemi,27,GER,RW,22-100,45,0,0,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,0,0,11,12,91.7,0,10,1,0,0,Dortmund,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
36a3ff67,Marco Reus,11,GER,"RW,CM",34-332,45,0,0,0,0,1,1,0,0,30,0,0,1,0.0,0.0,0.0,4,0,25,28,89.3,5,22,1,1,0,Dortmund,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
091c86e2,Felix Nmecha,8,GER,CM,23-200,90,0,0,0,0,1,0,0,0,42,1,1,1,0.1,0.1,0.0,0,0,29,37,78.4,2,23,0,1,1,Dortmund,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
15413fa5,Salih Özcan,6,TUR,CM,26-107,62,0,0,0,0,0,0,0,0,39,1,1,1,0.0,0.0,0.0,1,1,31,34,91.2,1,16,0,0,0,Dortmund,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
10745192,Jamie Gittens,43,ENG,"WB,CM",19-263,28,0,0,0,0,3,0,0,0,10,2,0,0,0.1,0.1,0.0,0,0,0,3,0.0,0,7,2,3,1,Dortmund,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
a167537f,Julian Brandt,19,GER,CM,27-361,90,0,0,0,0,2,1,0,0,77,0,0,0,0.0,0.0,0.7,4,0,67,70,95.7,10,53,2,2,0,Dortmund,2024-04-27 RB Leipzig-Dortmund,GER-BL1,23-24,9813cba6
