id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
2c0f8e9e,Alexis Sánchez,70,CHI,FW,33-293,55,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,17,19,89.5,3,21,0,0,0,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
e7d59f4f,Amine Harit,77,MAR,AM,25-112,35,0,0,0,0,0,0,0,0,22,0,1,0,0.0,0.0,0.2,3,0,11,17,64.7,2,15,4,4,4,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
58ae47b2,Dimitri Payet,10,FRA,AM,35-193,56,1,0,1,1,1,0,0,0,31,0,0,0,0.8,0.0,0.0,1,0,17,28,60.7,4,19,0,0,0,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
1880614f,Cengiz Ünder,17,TUR,AM,25-086,34,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.0,2,0,12,16,75.0,2,12,0,0,0,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
8827bf46,Gerson,8,BRA,AM,25-141,55,0,0,0,0,1,1,0,0,45,1,1,0,0.0,0.0,0.1,2,1,34,39,87.2,9,36,1,1,0,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
eeba07f8,Luis Javier Suárez,11,COL,FW,24-310,35,0,0,0,0,1,0,0,0,10,1,1,0,0.0,0.0,0.0,0,0,2,3,66.7,1,6,1,0,0,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
7155e3e1,Pape Gueye,22,SEN,CM,23-257,45,0,0,0,0,0,0,0,0,42,1,0,0,0.0,0.0,0.0,0,0,29,38,76.3,3,31,2,1,0,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
4a56052c,Jordan Veretout,27,FRA,CM,29-221,45,0,0,0,0,0,0,0,0,36,0,3,0,0.0,0.0,0.3,1,0,26,33,78.8,7,31,2,1,1,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
ed45c4a5,Valentin Rongier,21,FRA,CM,27-305,90,0,0,0,0,0,0,0,0,65,1,1,1,0.0,0.0,0.0,1,0,52,61,85.2,5,48,1,1,1,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
a65c844b,Nuno Tavares,30,POR,WB,22-255,90,0,0,0,0,2,0,0,0,75,0,1,3,0.2,0.2,0.0,0,0,44,63,69.8,6,53,3,4,2,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
c066d1a5,Issa Kaboré,29,BFA,WB,21-149,76,0,0,0,0,0,0,0,0,57,2,0,2,0.0,0.0,0.0,1,0,33,49,67.3,2,40,3,2,0,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
40774c6b,Bamba Dieng,12,SEN,WB,22-199,14,0,0,0,0,3,0,0,0,10,0,0,1,0.6,0.6,0.0,1,0,3,4,75.0,0,4,1,0,0,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
41eebdf5,Samuel Gigot,4,FRA,CB,28-361,90,0,0,0,0,0,0,0,0,60,1,4,1,0.0,0.0,0.0,0,0,44,51,86.3,3,42,2,1,0,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
7c3ed041,Leonardo Balerdi,5,ARG,CB,23-255,90,0,0,0,0,0,0,0,0,86,3,4,2,0.0,0.0,0.0,0,0,59,72,81.9,2,57,0,0,0,Marseille,2022-10-08 Marseille-Ajaccio,FRA-L1,22-23,98ad4323
