id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b2fe86e5,Eli Junior Kroupi,22,FRA,FW,17-219,68,0,1,0,0,1,1,0,0,19,1,0,1,0.0,0.0,0.1,0,0,13,14,92.9,0,10,2,1,1,Lorient,2024-01-28 Lorient-Le Havre,FRA-L1,23-24,9bdf343f
d469252b,Mohamed Bamba,9,CIV,FW,22-049,22,1,0,0,0,1,1,0,0,7,0,0,0,0.3,0.3,0.0,1,0,4,4,100.0,0,5,1,0,0,Lorient,2024-01-28 Lorient-Le Havre,FRA-L1,23-24,9bdf343f
e546b2e3,Julien Ponceau,21,FRA,AM,23-061,90,0,0,0,0,3,1,1,0,39,2,0,0,0.2,0.2,0.0,7,2,24,28,85.7,4,32,1,3,2,Lorient,2024-01-28 Lorient-Le Havre,FRA-L1,23-24,9bdf343f
0e8d7b6c,Ayman Kari,44,FRA,AM,19-070,90,1,1,0,0,1,1,0,0,52,1,0,1,0.1,0.1,0.1,6,2,39,42,92.9,3,46,0,2,2,Lorient,2024-01-28 Lorient-Le Havre,FRA-L1,23-24,9bdf343f
e1df6989,Imran Louza,6,MAR,CM,24-272,90,1,1,0,0,2,1,1,0,66,0,0,3,0.1,0.1,0.5,4,1,47,56,83.9,4,47,1,0,0,Lorient,2024-01-28 Lorient-Le Havre,FRA-L1,23-24,9bdf343f
31626657,Laurent Abergel,19,FRA,CM,30-361,90,0,0,0,0,0,0,0,0,51,4,1,1,0.0,0.0,0.0,0,0,29,40,72.5,1,39,2,1,0,Lorient,2024-01-28 Lorient-Le Havre,FRA-L1,23-24,9bdf343f
afe39ca8,Théo Le Bris,37,FRA,WB,21-119,90,0,0,0,0,0,0,1,0,50,2,0,1,0.0,0.0,0.1,2,1,31,38,81.6,4,35,5,2,2,Lorient,2024-01-28 Lorient-Le Havre,FRA-L1,23-24,9bdf343f
c1597cf7,Panos Katseris,7,GRE,WB,22-207,78,0,0,0,0,2,1,1,0,44,1,0,2,0.1,0.1,0.1,3,0,24,30,80.0,3,23,3,3,2,Lorient,2024-01-28 Lorient-Le Havre,FRA-L1,23-24,9bdf343f
c55de1f5,Nathaniel Adjei,32,GHA,WB,21-160,12,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,1,3,0,0,0,Lorient,2024-01-28 Lorient-Le Havre,FRA-L1,23-24,9bdf343f
