id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
efc9e31f,Dany Mota,47,POR,FW,25-234,78,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,1,0,21,33,63.6,2,33,2,2,1,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
a14d0ab0,Samuele Vignato,80,ITA,FW,19-301,12,0,0,0,0,0,0,0,0,6,1,1,0,0.0,0.0,0.0,1,0,2,4,50.0,0,2,0,0,0,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
6499048c,Andrea Colpani,28,ITA,"FW,CM",24-225,60,0,0,0,0,3,1,0,0,19,0,1,1,0.3,0.3,0.1,3,0,9,13,69.2,1,9,3,0,0,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
707b98f1,Valentin Carboni,21,ARG,CM,18-292,30,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,0,15,0,0,0,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
fdf4b948,Jean-Daniel Akpa-Akpro,8,CIV,CM,31-072,90,0,0,0,0,0,0,1,0,40,4,2,0,0.0,0.0,0.1,2,0,23,29,79.3,1,21,0,0,0,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
780e3631,Matteo Pessina,32,ITA,CM,26-245,90,0,0,0,0,0,0,0,0,60,2,0,2,0.0,0.0,0.0,1,0,39,46,84.8,8,36,0,4,1,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
ce30bfc8,Roberto Gagliardini,6,ITA,CM,29-259,45,0,0,0,0,1,1,0,0,25,0,1,1,0.1,0.1,0.0,2,0,21,24,87.5,0,12,0,0,0,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
5de3866c,Patrick Ciurria,84,ITA,RB,28-316,45,0,0,0,0,1,0,0,0,22,0,0,1,0.0,0.0,0.2,1,0,15,20,75.0,0,11,1,1,1,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
0a483542,Giorgos Kyriakopoulos,77,GRE,LB,27-320,82,0,0,0,0,2,0,0,0,60,1,0,2,0.3,0.3,0.0,1,0,42,48,87.5,5,40,4,2,1,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
204ac005,Samuele Birindelli,19,ITA,LB,24-156,8,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,4,2,1,1,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
226008f1,Luca Caldirola,5,ITA,CB,32-324,90,0,0,0,0,0,0,0,0,82,1,3,1,0.0,0.0,0.0,0,0,61,72,84.7,1,49,0,0,0,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
aa54ec6f,Pablo Marí,22,ESP,CB,30-113,90,0,0,0,0,0,0,1,0,72,2,1,1,0.0,0.0,0.0,0,0,53,63,84.1,0,46,0,0,0,Monza,2023-12-22 Monza-Fiorentina,ITA-SERIA_A,23-24,9c0fc917
