id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d5dd5f1f,Pierre-Emerick Aubameyang,14,GAB,FW,28-266,90,1,1,0,0,4,2,0,0,22,1,0,2,1.3,1.3,0.1,4,3,8,10,80.0,0,12,1,2,1,Arsenal,2018-03-11 Arsenal-Watford,ENG-EPL,17-18,9eba55b6
6ca5ec4b,Alex Iwobi,17,NGA,LW,21-312,65,0,0,0,0,1,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,18,26,69.2,3,24,4,1,1,Arsenal,2018-03-11 Arsenal-Watford,ENG-EPL,17-18,9eba55b6
ce5143da,Danny Welbeck,23,ENG,LW,27-105,25,0,0,0,0,1,1,0,0,10,0,1,1,0.1,0.1,0.0,0,0,4,6,66.7,0,3,1,0,0,Arsenal,2018-03-11 Arsenal-Watford,ENG-EPL,17-18,9eba55b6
dd0daf32,Henrikh Mkhitaryan,7,ARM,RW,29-049,77,1,1,0,0,1,1,0,0,68,3,1,2,0.1,0.1,0.7,2,1,38,54,70.4,5,41,5,1,0,Arsenal,2018-03-11 Arsenal-Watford,ENG-EPL,17-18,9eba55b6
9c318325,Jack Wilshere,10,ENG,AM,26-069,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.1,1,0,3,5,60.0,1,3,0,0,0,Arsenal,2018-03-11 Arsenal-Watford,ENG-EPL,17-18,9eba55b6
16380240,Mesut Özil,11,GER,"AM,RW",29-147,90,0,1,0,0,1,1,0,0,69,1,0,0,0.6,0.6,0.4,5,1,49,62,79.0,6,49,5,5,3,Arsenal,2018-03-11 Arsenal-Watford,ENG-EPL,17-18,9eba55b6
e61b8aee,Granit Xhaka,29,SUI,DM,25-165,90,0,0,0,0,1,1,1,0,83,4,2,1,0.0,0.0,0.0,0,0,62,69,89.9,5,57,1,0,0,Arsenal,2018-03-11 Arsenal-Watford,ENG-EPL,17-18,9eba55b6
47a34c4f,Mohamed Elneny,35,EGY,DM,25-243,90,0,0,0,0,0,0,0,0,80,2,0,1,0.0,0.0,0.6,4,0,67,74,90.5,9,49,1,0,0,Arsenal,2018-03-11 Arsenal-Watford,ENG-EPL,17-18,9eba55b6
3935e52e,Sead Kolašinac,31,BIH,LB,24-264,90,0,0,0,0,1,0,0,0,60,2,0,0,0.0,0.0,0.3,2,0,44,52,84.6,4,36,2,1,0,Arsenal,2018-03-11 Arsenal-Watford,ENG-EPL,17-18,9eba55b6
