id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
a755db8c,Rodrigo Muniz,19,BRA,FW,22-359,84,1,0,0,0,3,2,0,0,24,2,0,0,0.7,0.7,0.0,3,0,6,11,54.5,1,20,0,1,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
97220da2,Armando Broja,9,ALB,FW,22-230,6,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,5,6,83.3,0,3,0,0,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
6ca5ec4b,Alex Iwobi,22,NGA,LW,27-360,90,0,0,0,0,0,0,0,0,43,2,0,0,0.0,0.0,0.1,1,0,25,34,73.5,2,24,2,3,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
0f7533cd,Bobby Reid,14,JAM,RW,31-085,67,0,0,0,0,3,0,0,0,25,2,1,1,0.2,0.2,0.0,0,0,7,11,63.6,2,11,0,1,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
8b9ebd03,Willian,20,BRA,RW,35-262,23,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,1,7,0,2,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
6639e500,Andreas Pereira,18,BRA,AM,28-117,84,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.2,3,1,18,28,64.3,2,11,1,1,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
c6dc9ecd,Harry Wilson,8,WAL,AM,27-036,6,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,2,3,66.7,0,3,0,0,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
a78ff07f,João Palhinha,26,POR,DM,28-293,67,0,0,0,0,0,0,0,0,57,5,1,0,0.0,0.0,0.2,2,0,37,46,80.4,7,16,0,1,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
c6e8cf1f,Saša Lukić,28,SRB,DM,27-258,23,0,0,0,0,0,0,0,0,20,3,0,0,0.0,0.0,0.1,1,0,15,17,88.2,2,10,0,0,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
803ae100,Harrison Reed,6,ENG,DM,29-091,84,0,0,0,0,1,0,0,0,51,2,0,1,0.1,0.1,0.0,1,0,38,44,86.4,2,16,0,0,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
a8748947,Tom Cairney,10,SCO,DM,33-098,6,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,1,3,0,0,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
289601e6,Antonee Robinson,33,USA,LB,26-263,90,0,0,0,0,0,0,0,0,68,1,2,1,0.0,0.0,0.0,0,0,37,55,67.3,1,24,1,1,1,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
a36524bf,Calvin Bassey,3,NGA,CB,24-118,90,0,0,0,0,0,0,0,0,80,3,1,0,0.0,0.0,0.0,2,0,59,72,81.9,0,44,0,0,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
a712ca2b,Issa Diop,31,FRA,CB,27-109,90,0,0,0,0,1,0,0,0,93,2,2,2,0.1,0.1,0.0,0,0,69,80,86.3,1,50,0,0,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
197640fd,Timothy Castagne,21,BEL,RB,28-144,90,0,1,0,0,0,0,0,0,75,1,1,0,0.0,0.0,0.6,2,1,54,70,77.1,2,32,5,2,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
2628fd2b,Bernd Leno,17,GER,GK,32-054,90,0,0,0,0,0,0,0,0,71,0,0,0,0.0,0.0,0.0,0,0,53,68,77.9,0,44,0,0,0,Fulham,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
50e6dc35,Jean-Philippe Mateta,14,FRA,FW,26-304,67,0,0,0,0,1,0,0,0,16,0,1,0,0.3,0.3,0.0,2,0,6,6,100.0,0,12,0,2,0,Crystal Palace,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
0562b7f1,Odsonne Édouard,22,FRA,FW,26-102,23,0,0,0,0,1,1,0,0,10,2,0,1,0.0,0.0,0.1,2,0,4,4,100.0,1,6,1,1,0,Crystal Palace,2024-04-27 Fulham-Crystal Palace,ENG-EPL,23-24,9fe4ec6e
