id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
877bc844,Philipp Hofmann,33,GER,FW,29-297,79,2,0,0,0,4,2,0,0,33,1,0,2,0.5,0.5,0.0,0,0,11,20,55.0,1,10,0,0,0,Bochum,2023-01-21 Bochum-Hertha BSC,GER-BL1,22-23,9fe9e678
6c731625,Silvère Ganvoula M'Boussy,35,CGO,FW,26-213,11,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,1,4,0,1,1,Bochum,2023-01-21 Bochum-Hertha BSC,GER-BL1,22-23,9fe9e678
0a3f6cde,Christopher Antwi-Adjei,22,GHA,LW,28-348,71,0,1,0,0,0,0,0,0,37,2,0,1,0.0,0.0,0.2,4,2,15,25,60.0,0,19,2,4,1,Bochum,2023-01-21 Bochum-Hertha BSC,GER-BL1,22-23,9fe9e678
2979c05a,Gerrit Holtmann,17,PHI,LW,27-302,19,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.1,1,0,4,7,57.1,1,3,0,1,0,Bochum,2023-01-21 Bochum-Hertha BSC,GER-BL1,22-23,9fe9e678
29f7cfd9,Simon Zoller,9,GER,RW,31-209,71,0,0,0,0,0,0,0,0,26,2,0,3,0.0,0.0,0.0,0,0,9,14,64.3,0,6,0,0,0,Bochum,2023-01-21 Bochum-Hertha BSC,GER-BL1,22-23,9fe9e678
13ddc856,Takuma Asano,11,JPN,RW,28-072,19,0,0,0,0,1,0,0,0,11,2,0,1,0.1,0.1,0.0,0,0,6,7,85.7,0,7,0,1,0,Bochum,2023-01-21 Bochum-Hertha BSC,GER-BL1,22-23,9fe9e678
e5649a78,Kevin Stöger,7,AUT,LM,29-147,80,0,0,0,0,2,0,0,0,63,3,0,0,0.2,0.2,0.0,5,1,38,55,69.1,5,23,1,0,0,Bochum,2023-01-21 Bochum-Hertha BSC,GER-BL1,22-23,9fe9e678
9662c9ec,Patrick Osterhage,6,GER,LM,22-354,10,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,1,1,Bochum,2023-01-21 Bochum-Hertha BSC,GER-BL1,22-23,9fe9e678
07c7eb0c,Anthony Losilla,8,FRA,CM,36-317,90,0,0,0,0,1,0,0,0,57,3,1,0,0.0,0.0,0.0,2,0,27,39,69.2,4,14,0,3,1,Bochum,2023-01-21 Bochum-Hertha BSC,GER-BL1,22-23,9fe9e678
76fa965f,Philipp Förster,10,GER,RM,27-351,58,0,2,0,0,1,0,0,0,26,1,0,1,0.1,0.1,0.9,2,2,17,22,77.3,2,7,2,0,0,Bochum,2023-01-21 Bochum-Hertha BSC,GER-BL1,22-23,9fe9e678
