id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
536cebe5,Ante Rebić,4,CRO,FW,25-162,45,0,0,0,0,0,0,0,0,24,3,0,2,0.0,0.0,0.1,2,0,7,14,50.0,1,14,2,3,1,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
4d8cd038,Luka Jović,8,SRB,"FW,LW",21-069,45,0,0,0,0,3,2,0,0,18,0,0,0,0.4,0.4,0.0,2,0,7,11,63.6,1,16,2,2,1,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
ba115a40,Sébastien Haller,9,CIV,"FW,RW",24-253,90,1,1,0,0,1,1,0,0,48,1,0,1,0.1,0.1,0.5,3,2,28,34,82.4,3,28,2,4,2,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
16daec92,Mijat Gaćinović,11,SRB,"AM,RM",24-022,90,0,1,0,0,3,0,0,0,56,4,0,3,0.5,0.5,0.1,6,1,28,33,84.8,4,28,2,4,3,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
e12b0b5b,Sebastian Rode,17,GER,CM,28-142,79,0,0,0,0,2,1,0,0,50,2,2,2,0.2,0.2,0.2,6,0,35,39,89.7,6,30,2,3,3,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
962e54cb,Gonçalo Paciência,39,POR,FW,24-213,11,1,0,0,0,3,2,0,0,5,0,0,0,0.6,0.6,0.0,0,0,1,1,100.0,1,2,0,0,0,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
9ab16552,Makoto Hasebe,20,JPN,CM,35-043,90,0,0,0,0,1,1,0,0,60,3,2,1,0.0,0.0,0.1,5,1,38,46,82.6,11,28,4,0,0,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
b1cd37e6,Filip Kostić,10,SRB,"WB,LM",26-121,90,1,0,0,0,4,3,0,0,78,3,0,3,0.3,0.3,0.7,5,0,31,55,56.4,9,43,10,5,3,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
5ddb8f9f,Danny da Costa,24,GER,"WB,RB",25-232,90,0,0,0,0,0,0,0,0,55,3,1,1,0.0,0.0,0.0,2,1,31,44,70.5,5,19,4,0,0,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
441197b8,Obite N'Dicka,2,CIV,CB,19-194,90,0,0,0,0,1,0,0,0,60,2,1,0,0.0,0.0,0.0,2,0,42,51,82.4,10,31,3,0,0,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
080440a4,Martin Hinteregger,13,AUT,CB,26-176,90,0,0,0,0,1,0,0,0,52,2,0,3,0.2,0.2,0.0,1,0,33,43,76.7,1,31,1,0,0,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
c8c60119,Almamy Touré,18,MLI,CB,22-308,68,0,0,0,0,0,0,0,0,41,4,1,1,0.0,0.0,0.0,0,0,18,30,60.0,2,23,1,0,0,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
9050ddc4,Jetro Willems,15,NED,LB,24-337,22,0,0,0,0,0,0,0,0,29,3,0,0,0.0,0.0,0.1,3,1,18,27,66.7,3,16,4,1,1,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
ce17b5eb,Kevin Trapp,31,GER,GK,28-237,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,36,39,92.3,0,27,0,0,0,Eintracht Frankfurt,2019-03-02 Eint Frankfurt-Hoffenheim,GER-BL1,18-19,a007612d
