id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
16ceb862,Olivier Giroud,9,FRA,FW,37-218,90,1,0,0,0,5,1,0,0,21,1,0,0,1.0,1.0,0.0,1,0,8,12,66.7,0,5,0,0,0,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
20730eae,Rafael Leão,10,POR,LW,24-330,66,0,0,0,0,4,1,0,0,40,0,0,1,0.3,0.3,0.0,5,0,25,30,83.3,2,17,1,2,1,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
ca607d59,Noah Okafor,17,SUI,"FW,LW",23-347,24,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.5,1,0,2,4,50.0,1,4,1,1,0,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
b8a642fc,Samuel Chukwueze,21,NGA,RW,24-349,80,0,1,0,0,1,0,0,0,37,1,0,0,0.0,0.0,1.1,8,2,18,26,69.2,1,26,3,5,3,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
ff5ea0bf,Malick Thiaw,28,GER,CB,22-271,10,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,1,6,0,0,0,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
1bf33a9a,Christian Pulisic,11,USA,AM,25-230,90,0,1,0,0,3,1,0,0,45,0,0,0,0.1,0.1,0.2,8,1,27,33,81.8,6,25,5,5,2,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
afb61630,Tijjani Reijnders,14,NED,"DM,CM",25-281,90,0,0,0,0,2,0,1,0,71,1,2,0,0.1,0.1,0.1,6,1,55,65,84.6,10,34,4,1,1,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
db092d3b,Ismaël Bennacer,4,ALG,DM,26-156,79,0,0,0,0,1,0,0,0,68,1,0,0,0.1,0.1,0.0,4,0,59,62,95.2,11,34,0,1,1,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
26777636,Yacine Adli,7,FRA,CM,23-281,11,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.2,2,0,9,13,69.2,1,7,0,0,0,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
d4c9725f,Theo Hernández,19,FRA,"LB,WB",26-212,90,0,0,0,0,5,2,0,0,83,2,1,0,0.5,0.5,0.0,5,0,60,70,85.7,4,44,7,4,2,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
7edfbb8a,Fikayo Tomori,23,ENG,CB,26-138,90,0,0,0,0,0,0,0,0,93,3,1,2,0.0,0.0,0.0,1,0,73,82,89.0,3,37,1,0,0,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
c235e803,Matteo Gabbia,46,ITA,CB,24-197,90,1,0,0,0,2,1,0,0,83,3,0,1,0.1,0.1,0.0,0,0,64,74,86.5,9,39,3,0,0,Milan,2024-05-05 Milan-Genoa,ITA-SERIA_A,23-24,a1381aec
