id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9dbb75ca,Alexandre Lacazette,9,FRA,FW,29-325,69,0,0,0,0,2,0,0,0,28,0,0,1,0.1,0.1,0.5,2,0,18,25,72.0,4,15,0,1,0,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
a53649b7,Eddie Nketiah,30,ENG,FW,21-323,21,1,0,0,0,3,1,0,0,9,0,0,0,0.8,0.8,0.1,1,0,4,4,100.0,0,4,0,0,0,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
48a5a5d6,Gabriel Martinelli,35,BRA,"LW,RW",19-304,90,0,0,0,0,4,2,0,0,42,1,0,1,1.1,1.1,0.5,6,0,24,28,85.7,0,27,9,5,5,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
bc7dc64d,Bukayo Saka,7,ENG,"RW,RB",19-225,90,0,0,0,0,2,0,0,0,61,0,0,0,0.0,0.0,0.2,6,0,43,55,78.2,3,39,4,6,4,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
17695062,Emile Smith Rowe,32,ENG,AM,20-264,90,0,0,0,0,2,0,0,0,61,0,0,0,0.1,0.1,0.5,3,0,52,55,94.5,3,43,5,4,1,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
c0617e2b,Dani Ceballos,8,ESP,DM,24-254,90,0,0,0,0,1,1,0,0,82,2,2,2,0.1,0.1,0.1,7,1,56,72,77.8,4,51,2,1,0,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
47a34c4f,Mohamed Elneny,25,EGY,DM,28-281,67,0,0,0,0,0,0,0,0,56,3,2,0,0.0,0.0,0.0,0,0,43,51,84.3,4,35,0,0,0,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
529f49ab,Thomas Partey,18,GHA,DM,27-309,23,0,0,0,0,0,0,0,0,23,3,0,0,0.0,0.0,0.0,0,0,17,21,81.0,3,11,1,0,0,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
e61b8aee,Granit Xhaka,34,SUI,LB,28-203,90,0,0,0,0,1,0,0,0,120,4,0,0,0.0,0.0,0.0,2,0,105,113,92.9,14,81,3,0,0,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
67ac5bb8,Gabriel Magalhães,6,BRA,CB,23-120,90,0,0,0,0,1,0,0,0,82,2,2,1,0.1,0.1,0.0,0,0,65,74,87.8,6,59,0,0,0,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
d79a8c87,Rob Holding,16,ENG,CB,25-210,90,0,0,0,0,0,0,0,0,98,1,0,1,0.0,0.0,0.0,1,0,82,92,89.1,5,74,1,1,1,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
f874dd44,Héctor Bellerín,2,ESP,RB,26-030,67,0,0,0,0,1,0,0,0,69,2,2,0,0.2,0.2,0.0,0,0,49,63,77.8,8,43,1,1,0,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
57e3f0c7,Nicolas Pépé,19,CIV,LW,25-324,23,0,0,0,0,1,1,0,0,17,0,0,0,0.3,0.3,0.0,1,0,10,15,66.7,0,12,1,1,0,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
4535e4bb,Mathew Ryan,33,AUS,GK,29-010,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.1,1,0,19,21,90.5,0,14,0,0,0,Arsenal,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
979b811d,Ivan Cavaleiro,17,POR,"FW,LM",27-182,83,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,9,15,60.0,3,11,2,3,3,Fulham,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
af69e7f0,Joe Bryan,23,ENG,LM,27-213,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,Fulham,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
bc0bfc64,Josh Maja,27,NGA,FW,22-112,76,1,0,1,1,1,0,0,0,16,0,1,0,0.8,0.1,0.0,0,0,7,8,87.5,0,9,0,2,1,Fulham,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
e97fd090,Ruben Loftus-Cheek,15,ENG,FW,25-085,14,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,0,7,0,1,0,Fulham,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
7c104bb7,Ademola Lookman,19,NGA,LM,23-180,68,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,1,0,16,20,80.0,0,19,2,4,2,Fulham,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
803ae100,Harrison Reed,21,ENG,DM,26-081,22,0,0,0,0,0,0,0,0,11,1,2,1,0.0,0.0,0.0,0,0,6,8,75.0,1,5,0,0,0,Fulham,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
2b471f99,Mario Lemina,18,GAB,CM,27-229,90,0,0,0,0,0,0,0,0,38,4,3,3,0.0,0.0,0.0,1,1,17,24,70.8,1,16,1,2,0,Fulham,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
6bb2c084,Andre-Frank Zambo Anguissa,29,CMR,CM,25-153,90,0,0,0,0,0,0,0,0,37,0,1,2,0.0,0.0,0.0,0,0,22,24,91.7,3,18,1,5,2,Fulham,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
0f7533cd,Bobby Reid,14,JAM,RM,28-075,90,0,0,0,0,1,0,1,0,32,3,0,0,0.0,0.0,0.0,1,0,13,21,61.9,2,18,1,0,0,Fulham,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
289601e6,Antonee Robinson,33,USA,LB,23-253,90,0,0,0,0,0,0,0,0,38,1,1,0,0.0,0.0,0.0,0,0,19,31,61.3,2,19,3,3,2,Fulham,2021-04-18 Arsenal-Fulham,ENG-EPL,20-21,a19ff865
