id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d1491e00,Diego Rolán,24,URU,"FW,RM",25-008,90,0,0,0,0,2,0,0,0,41,0,0,1,0.1,0.1,0.1,5,2,25,32,78.1,3,27,6,5,3,Málaga,2018-04-01 Málaga-Villarreal,ESP-LALIGA,17-18,a54aeb3c
04e17fd5,Youssef En-Nesyri,26,MAR,FW,20-304,90,0,0,0,0,7,2,0,0,45,2,0,2,0.5,0.5,0.0,2,0,10,18,55.6,1,24,2,2,1,Málaga,2018-04-01 Málaga-Villarreal,ESP-LALIGA,17-18,a54aeb3c
8cc3d96e,Chory Castro,11,URU,"LM,RM",33-199,74,1,0,1,1,1,0,0,0,45,3,1,1,0.9,0.1,0.1,4,0,21,36,58.3,7,21,4,1,1,Málaga,2018-04-01 Málaga-Villarreal,ESP-LALIGA,17-18,a54aeb3c
ac290817,Maxime Lestienne,22,BEL,"LM,RM",25-288,16,0,0,0,0,1,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,0,3,1,0,0,Málaga,2018-04-01 Málaga-Villarreal,ESP-LALIGA,17-18,a54aeb3c
a3a306f6,Mehdi Lacen,25,ALG,CM,34-017,78,0,0,0,0,1,0,1,0,52,4,4,0,0.1,0.1,0.0,3,0,31,37,83.8,3,20,0,2,1,Málaga,2018-04-01 Málaga-Villarreal,ESP-LALIGA,17-18,a54aeb3c
57ebd662,Adrián González,8,ESP,CM,29-311,12,0,0,0,0,0,0,0,0,11,2,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,3,0,0,0,Málaga,2018-04-01 Málaga-Villarreal,ESP-LALIGA,17-18,a54aeb3c
000b3da6,Manuel Iturra,7,CHI,CM,33-282,90,0,0,0,0,0,0,0,0,38,3,0,1,0.0,0.0,0.1,2,0,24,30,80.0,2,17,0,2,1,Málaga,2018-04-01 Málaga-Villarreal,ESP-LALIGA,17-18,a54aeb3c
f573a8bf,Isaac Success,17,NGA,RM,22-084,65,0,0,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.1,3,0,13,20,65.0,2,18,4,2,2,Málaga,2018-04-01 Málaga-Villarreal,ESP-LALIGA,17-18,a54aeb3c
9b878773,Alberto Bueno,19,ESP,"LM,FW",30-012,25,0,0,0,0,0,0,0,0,17,0,0,1,0.0,0.0,0.0,1,0,11,15,73.3,1,8,0,0,0,Málaga,2018-04-01 Málaga-Villarreal,ESP-LALIGA,17-18,a54aeb3c
