id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
66116290,Radamel Falcao,3,COL,FW,36-002,90,0,0,0,0,3,2,0,0,38,0,0,1,0.4,0.4,0.0,1,0,21,27,77.8,4,15,1,0,0,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
90bbd822,Álvaro García,18,ESP,"LW,LB",29-108,90,0,0,0,0,3,0,1,0,45,0,0,0,0.1,0.1,0.2,3,0,19,35,54.3,2,28,6,1,0,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
49dbab27,Isaac Palazón Camacho,7,ESP,RW,27-047,45,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,7,15,46.7,0,8,0,0,0,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
e5ec95f8,Mamadou Sylla,11,SEN,RW,27-329,45,0,0,0,0,0,0,0,0,27,0,0,1,0.0,0.0,0.0,0,0,9,21,42.9,0,9,2,2,1,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
a6103274,Randy Nteka,9,ANG,AM,24-068,73,0,0,0,0,4,1,0,0,38,1,1,2,0.4,0.4,0.1,3,0,18,24,75.0,2,11,0,1,1,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
d8712bf9,Bebé,10,CPV,LW,31-215,17,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,6,3,1,1,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
5ae499d0,Santi Comesaña,6,ESP,DM,25-130,80,0,0,0,0,0,0,0,0,53,2,1,2,0.0,0.0,0.1,1,0,33,45,73.3,3,23,0,1,1,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
9a0408b6,Pathé Ciss,21,SEN,DM,27-333,10,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,14,16,87.5,5,12,0,1,0,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
592f3158,Óscar Valentín,23,ESP,"CB,DM",27-176,90,0,0,0,0,0,0,0,0,70,1,1,1,0.0,0.0,0.0,0,0,47,57,82.5,7,37,1,2,1,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
f1bed920,Kévin Rodrigues,19,POR,LB,27-344,73,0,0,0,0,0,0,0,0,51,3,3,1,0.0,0.0,0.0,2,0,28,40,70.0,3,14,0,1,0,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
32974271,Sergi Guardiola,16,ESP,AM,30-259,17,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,1,7,0,1,1,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
274ab13c,Catena,5,ESP,CB,27-107,90,0,0,0,0,0,0,0,0,64,1,3,0,0.0,0.0,0.0,2,0,37,51,72.5,5,30,0,0,0,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
79f2a5f5,Esteban Saveljich,24,MNE,CB,30-268,45,0,0,0,0,0,0,1,0,18,1,2,0,0.0,0.0,0.0,0,0,8,13,61.5,0,8,0,0,0,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
fc647b34,Óscar Trejo,8,ARG,DM,33-292,45,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,28,39,71.8,3,25,1,4,3,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
cee88597,Iván Balliu,20,ALB,RB,30-042,90,0,0,0,0,0,0,0,0,71,1,2,0,0.0,0.0,0.3,3,0,38,59,64.4,3,22,2,2,1,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
fc70e345,Stole Dimitrievski,13,MKD,GK,28-049,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,27,39,69.2,0,17,0,0,0,Rayo Vallecano,2022-02-12 Rayo Vallecano-Osasuna,ESP-LALIGA,21-22,a6820958
