id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
c17bfb65,Joelinton,34,BRA,FW,22-109,90,0,0,0,0,4,2,0,0,42,1,0,1,0.5,0.5,0.0,8,0,21,23,91.3,6,34,4,5,3,Hoffenheim,2018-12-01 Hoffenheim-Schalke 04,GER-BL1,18-19,a805dead
ff182fdc,Ishak Belfodil,19,ALG,FW,26-323,79,0,0,0,0,2,0,1,0,34,0,1,0,0.1,0.1,0.2,7,1,17,29,58.6,3,19,5,3,3,Hoffenheim,2018-12-01 Hoffenheim-Schalke 04,GER-BL1,18-19,a805dead
53e07d0b,Ádám Szalai,28,HUN,FW,30-357,11,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.1,0.0,0,0,1,2,50.0,1,1,0,0,0,Hoffenheim,2018-12-01 Hoffenheim-Schalke 04,GER-BL1,18-19,a805dead
b6a6e0a7,Steven Zuber,17,SUI,LW,27-106,69,0,0,0,0,3,1,0,0,63,4,1,2,0.1,0.1,0.1,3,0,32,48,66.7,4,34,3,4,3,Hoffenheim,2018-12-01 Hoffenheim-Schalke 04,GER-BL1,18-19,a805dead
fa274d97,Nico Schulz,16,GER,LW,25-244,21,0,0,0,0,0,0,0,0,18,2,0,1,0.0,0.0,0.0,1,0,6,13,46.2,0,7,1,2,2,Hoffenheim,2018-12-01 Hoffenheim-Schalke 04,GER-BL1,18-19,a805dead
79c90e45,Pavel Kadeřábek,3,CZE,RW,26-220,90,0,0,0,0,1,0,0,0,48,3,0,0,0.1,0.1,0.0,0,0,29,37,78.4,3,18,3,0,0,Hoffenheim,2018-12-01 Hoffenheim-Schalke 04,GER-BL1,18-19,a805dead
603cb947,Andrej Kramarić,27,CRO,CM,27-165,63,1,0,1,1,3,1,1,0,38,0,0,1,0.9,0.1,0.0,4,0,23,32,71.9,3,19,3,1,1,Hoffenheim,2018-12-01 Hoffenheim-Schalke 04,GER-BL1,18-19,a805dead
c5bdb6e3,Reiss Nelson,9,ENG,CM,18-356,27,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,2,0,7,10,70.0,0,10,4,3,3,Hoffenheim,2018-12-01 Hoffenheim-Schalke 04,GER-BL1,18-19,a805dead
54b4dc4e,Kerem Demirbay,10,GER,CM,25-151,90,0,0,0,0,4,2,0,0,63,3,2,0,0.6,0.6,0.1,8,0,38,49,77.6,5,39,2,0,0,Hoffenheim,2018-12-01 Hoffenheim-Schalke 04,GER-BL1,18-19,a805dead
