id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
21a66f6a,Harry Kane,10,ENG,FW,28-127,90,0,0,0,0,2,1,0,0,42,0,0,1,0.2,0.2,0.4,7,1,24,33,72.7,5,25,4,3,2,Tottenham Hotspur,2021-12-02 Tottenham-Brentford,ENG-EPL,21-22,a80b3790
92e7e919,Son Heung-min,7,KOR,"AM,FW",29-147,86,1,0,0,0,2,2,0,0,40,0,1,2,0.9,0.9,0.3,2,0,17,30,56.7,1,20,3,2,1,Tottenham Hotspur,2021-12-02 Tottenham-Brentford,ENG-EPL,21-22,a80b3790
a29b1131,Steven Bergwijn,23,NED,FW,24-055,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,Tottenham Hotspur,2021-12-02 Tottenham-Brentford,ENG-EPL,21-22,a80b3790
2b622f01,Lucas Moura,27,BRA,AM,29-111,76,0,0,0,0,1,1,0,0,34,0,0,0,0.1,0.1,0.0,0,0,15,29,51.7,1,21,1,4,3,Tottenham Hotspur,2021-12-02 Tottenham-Brentford,ENG-EPL,21-22,a80b3790
2f7acede,Harry Winks,8,ENG,CM,25-303,14,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,11,0,1,0,Tottenham Hotspur,2021-12-02 Tottenham-Brentford,ENG-EPL,21-22,a80b3790
8b04d6c1,Pierre Højbjerg,5,DEN,CM,26-119,90,0,0,0,0,2,1,0,0,76,2,2,2,0.3,0.3,0.1,3,0,58,68,85.3,2,48,2,2,2,Tottenham Hotspur,2021-12-02 Tottenham-Brentford,ENG-EPL,21-22,a80b3790
6250083a,Oliver Skipp,29,ENG,CM,21-077,90,0,0,0,0,0,0,0,0,57,1,1,1,0.0,0.0,0.2,3,0,41,49,83.7,4,35,1,0,0,Tottenham Hotspur,2021-12-02 Tottenham-Brentford,ENG-EPL,21-22,a80b3790
3353737a,Sergio Reguilón,3,ESP,"WB,LB",24-351,90,0,1,0,0,1,0,0,0,54,1,2,0,0.1,0.1,1.0,4,1,30,44,68.2,2,36,5,1,0,Tottenham Hotspur,2021-12-02 Tottenham-Brentford,ENG-EPL,21-22,a80b3790
df8b52a5,Emerson,12,BRA,"WB,RB",22-322,82,0,0,0,0,0,0,0,0,61,2,2,3,0.0,0.0,0.0,0,0,37,44,84.1,1,31,0,1,0,Tottenham Hotspur,2021-12-02 Tottenham-Brentford,ENG-EPL,21-22,a80b3790
e9971f2d,Japhet Tanganga,25,ENG,RB,22-246,8,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,2,1,0,0,Tottenham Hotspur,2021-12-02 Tottenham-Brentford,ENG-EPL,21-22,a80b3790
