id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
21a66f6a,Harry Kane,10,ENG,FW,25-249,90,0,0,0,0,7,2,0,0,34,0,0,0,0.9,0.9,0.0,4,0,13,16,81.3,3,20,3,2,1,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
89d10e53,Danny Rose,3,ENG,LW,28-275,68,0,0,0,0,0,0,0,0,73,3,1,1,0.0,0.0,0.1,5,0,35,60,58.3,8,45,5,5,2,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
2f7acede,Harry Winks,8,ENG,"DM,LM",23-060,22,0,0,0,0,0,0,0,0,18,0,1,1,0.0,0.0,0.0,0,0,17,18,94.4,1,17,2,1,1,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
980522ec,Christian Eriksen,23,DEN,"RW,AM",27-048,90,1,1,0,0,6,2,0,0,77,0,0,3,0.3,0.3,0.6,9,1,52,63,82.5,8,49,3,1,1,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
92e7e919,Son Heung-min,7,KOR,"AM,RW,LW",26-269,89,1,0,0,0,4,3,0,0,43,0,0,1,0.2,0.2,0.1,4,1,28,32,87.5,4,29,9,7,5,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
e0900238,Victor Wanyama,12,KEN,CM,27-282,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
cea4ee8f,Dele Alli,20,ENG,"DM,AM",22-357,81,0,0,0,0,2,1,1,0,96,1,1,1,0.2,0.2,0.4,3,0,74,86,86.0,10,64,1,1,1,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
2b622f01,Lucas Moura,27,BRA,RW,26-233,9,0,0,0,0,1,1,0,0,6,0,0,0,0.3,0.3,0.0,1,0,3,4,75.0,0,5,1,2,2,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
2acd49b9,Moussa Sissoko,17,FRA,DM,29-230,90,0,0,0,0,0,0,0,0,81,2,1,1,0.0,0.0,0.0,1,0,56,69,81.2,6,43,7,2,2,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
44781702,Ben Davies,33,WAL,LB,25-344,90,0,0,0,0,1,0,0,0,116,6,1,0,0.0,0.0,0.0,4,1,86,101,85.1,9,66,5,0,0,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
ba23a904,Jan Vertonghen,5,BEL,CB,31-344,90,0,0,0,0,2,1,0,0,96,1,1,0,0.1,0.1,0.0,2,0,83,89,93.3,7,68,5,1,1,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
f7d50789,Toby Alderweireld,4,BEL,CB,30-032,90,0,0,0,0,2,0,0,0,85,0,0,0,0.2,0.2,0.0,3,0,77,81,95.1,6,67,0,0,0,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
21512407,Kieran Trippier,2,ENG,RB,28-196,90,0,0,0,0,1,0,0,0,95,3,1,3,0.0,0.0,0.4,4,0,70,84,83.3,10,54,6,1,1,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
8f62b6ee,Hugo Lloris,1,FRA,GK,32-098,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,33,33,100.0,0,14,0,0,0,Tottenham Hotspur,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
2973d8ff,Michy Batshuayi,23,BEL,FW,25-183,80,0,0,0,0,1,0,0,0,24,0,0,1,0.0,0.0,0.0,1,0,11,17,64.7,1,11,2,1,1,Crystal Palace,2019-04-03 Tottenham-Crystal Palace,ENG-EPL,18-19,a87fd710
