id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8b303bcb,Gennaro Tutino,66,ITA,FW,23-005,86,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,13,22,59.1,0,18,0,2,0,Hellas Verona,2019-08-25 Hellas Verona-Bologna,ITA-SERIA_A,19-20,a8b82bb0
f1f1f238,Koray Günter,21,GER,FW,25-009,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Hellas Verona,2019-08-25 Hellas Verona-Bologna,ITA-SERIA_A,19-20,a8b82bb0
d85c238b,Mattia Zaccagni,20,ITA,AM,24-070,15,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,3,0,0,0,Hellas Verona,2019-08-25 Hellas Verona-Bologna,ITA-SERIA_A,19-20,a8b82bb0
faa1b07d,Salvatore Bocchetti,15,ITA,CB,32-268,75,0,0,0,0,0,0,0,0,36,4,5,1,0.0,0.0,0.0,0,0,14,18,77.8,1,7,0,0,0,Hellas Verona,2019-08-25 Hellas Verona-Bologna,ITA-SERIA_A,19-20,a8b82bb0
33ecf462,Valerio Verre,14,ITA,AM,25-226,48,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,4,0,0,0,Hellas Verona,2019-08-25 Hellas Verona-Bologna,ITA-SERIA_A,19-20,a8b82bb0
5a2cb25d,Sofyan Amrabat,34,MAR,AM,23-004,42,0,0,0,0,1,1,0,0,20,1,1,0,0.0,0.0,0.0,0,0,6,11,54.5,1,12,1,1,0,Hellas Verona,2019-08-25 Hellas Verona-Bologna,ITA-SERIA_A,19-20,a8b82bb0
ab1ca213,Miguel Veloso,4,POR,CM,33-106,90,1,0,0,0,1,1,0,0,45,1,3,0,0.1,0.1,0.0,1,0,25,37,67.6,2,15,1,1,1,Hellas Verona,2019-08-25 Hellas Verona-Bologna,ITA-SERIA_A,19-20,a8b82bb0
d7918b13,Liam Henderson,8,SCO,CM,23-122,90,0,0,0,0,1,0,1,0,27,1,0,0,0.0,0.0,0.0,0,0,8,17,47.1,0,13,0,0,0,Hellas Verona,2019-08-25 Hellas Verona-Bologna,ITA-SERIA_A,19-20,a8b82bb0
5128bde4,Darko Lazović,88,SRB,WB,28-344,90,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,6,16,37.5,1,12,1,1,0,Hellas Verona,2019-08-25 Hellas Verona-Bologna,ITA-SERIA_A,19-20,a8b82bb0
