id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0e6bc38c,Eric Maxim Choupo-Moting,13,CMR,FW,33-207,65,1,1,0,0,1,1,0,0,23,0,0,0,0.2,0.2,0.1,2,1,16,18,88.9,6,19,2,3,3,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
2c0558b8,Jamal Musiala,42,GER,"AM,FW",19-232,25,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,1,0,5,8,62.5,2,7,0,0,0,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
c691bfe2,Sadio Mané,17,SEN,"LW,FW",30-189,90,1,0,0,0,3,1,0,0,46,1,0,2,0.5,0.5,0.0,5,0,24,30,80.0,1,36,6,5,2,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
88e357ef,Serge Gnabry,7,GER,RW,27-094,90,1,1,0,0,4,3,0,0,49,0,1,0,0.6,0.6,0.4,3,1,33,42,78.6,4,35,7,1,0,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
2b114be3,Leroy Sané,10,GER,AM,26-278,75,1,1,0,0,4,2,0,0,52,0,1,0,0.3,0.3,0.5,4,3,32,42,76.2,9,36,3,4,2,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
829aa60c,Mathys Tel,39,FRA,LW,17-172,15,0,0,0,0,1,0,0,0,9,0,0,1,0.1,0.1,0.0,0,0,5,6,83.3,0,7,0,0,0,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
cc86b9a3,Leon Goretzka,8,GER,DM,27-252,75,0,0,0,0,0,0,0,0,54,2,0,0,0.0,0.0,0.1,3,0,41,49,83.7,4,35,2,0,0,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
e280527c,Marcel Sabitzer,18,AUT,DM,28-213,15,1,0,0,0,1,1,0,0,8,1,0,0,0.4,0.4,0.0,0,0,5,5,100.0,2,4,0,0,0,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
49296448,Joshua Kimmich,6,GER,DM,27-250,90,0,0,0,0,1,0,0,0,105,0,0,1,0.0,0.0,0.0,2,1,83,94,88.3,14,74,0,2,1,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
d781d855,Alphonso Davies,19,CAN,LB,21-348,90,0,0,0,0,1,0,0,0,90,2,1,0,0.1,0.1,0.2,1,0,75,81,92.6,5,57,1,1,1,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
d6e53a3a,Matthijs de Ligt,4,NED,CB,23-065,75,0,0,0,0,0,0,0,0,60,0,0,1,0.0,0.0,0.0,0,0,52,56,92.9,2,47,0,0,0,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
45a03961,Benjamin Pavard,5,FRA,CB,26-202,15,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,20,20,100.0,0,19,0,0,0,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
d248cd8f,Dayot Upamecano,2,FRA,CB,23-354,90,0,0,0,0,0,0,0,0,93,1,0,1,0.0,0.0,0.0,2,1,77,85,90.6,3,72,1,1,1,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
b74277a0,Noussair Mazraoui,40,MAR,RB,24-336,78,0,0,0,0,0,0,0,0,57,1,0,1,0.0,0.0,0.0,1,0,38,49,77.6,2,23,0,2,0,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
7ed08d5c,Josip Stanišić,44,CRO,RB,22-197,12,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,13,13,100.0,1,10,0,0,0,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
7d3e7da6,Sven Ulreich,26,GER,GK,34-074,90,0,0,0,0,0,0,0,0,55,1,0,0,0.0,0.0,0.0,0,0,46,54,85.2,0,44,0,0,0,Bayern Munich,2022-10-16 Bayern Munich-Freiburg,GER-BL1,22-23,a8e87a05
