id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
129af0db,Álvaro Morata,9,ESP,FW,29-144,85,0,0,0,0,4,2,0,0,27,1,0,1,0.7,0.7,0.2,5,0,16,19,84.2,2,8,0,0,0,Juventus,2022-03-16 Juventus-Villarreal,UCL,21-22,a918bfe1
3d50bcdb,Moise Kean,18,ITA,FW,22-016,5,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,3,0,0,0,Juventus,2022-03-16 Juventus-Villarreal,UCL,21-22,a918bfe1
79443529,Dušan Vlahović,7,SRB,FW,22-047,90,0,0,0,0,3,2,0,0,27,0,0,0,0.5,0.5,0.0,0,0,11,17,64.7,1,17,2,1,1,Juventus,2022-03-16 Juventus-Villarreal,UCL,21-22,a918bfe1
8794e251,Adrien Rabiot,25,FRA,"CM,LM",26-347,90,0,0,0,0,2,1,0,0,76,3,2,2,0.1,0.1,0.0,2,0,56,63,88.9,11,55,6,0,0,Juventus,2022-03-16 Juventus-Villarreal,UCL,21-22,a918bfe1
48b3dd60,Arthur Melo,5,BRA,"CM,DM",25-216,90,0,0,0,0,0,0,0,0,118,2,2,2,0.0,0.0,0.0,2,0,105,112,93.8,14,83,2,0,0,Juventus,2022-03-16 Juventus-Villarreal,UCL,21-22,a918bfe1
a8a874f1,Manuel Locatelli,27,ITA,"CM,RM",24-067,82,0,0,0,0,2,0,0,0,44,0,1,2,0.1,0.1,0.0,0,0,28,34,82.4,3,25,1,1,0,Juventus,2022-03-16 Juventus-Villarreal,UCL,21-22,a918bfe1
ee93c1a9,Federico Bernardeschi,20,ITA,RM,28-028,8,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,1,7,1,1,0,Juventus,2022-03-16 Juventus-Villarreal,UCL,21-22,a918bfe1
ae4e2852,Mattia De Sciglio,2,ITA,"WB,LB",29-147,90,0,0,0,0,0,0,0,0,76,4,1,0,0.0,0.0,0.1,2,0,57,68,83.8,1,34,4,1,0,Juventus,2022-03-16 Juventus-Villarreal,UCL,21-22,a918bfe1
0ab1f153,Juan Cuadrado,11,COL,"WB,RB",33-294,90,0,0,0,0,1,0,0,0,88,2,0,0,0.0,0.0,0.8,8,0,61,79,77.2,2,65,5,5,4,Juventus,2022-03-16 Juventus-Villarreal,UCL,21-22,a918bfe1
