id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
129af0db,Álvaro Morata,19,ESP,FW,30-295,57,1,0,0,0,3,2,1,0,13,1,0,0,1.0,1.0,0.0,0,0,6,6,100.0,1,11,0,0,0,Atlético Madrid,2023-08-14 Atlético Madrid-Granada,ESP-LALIGA,23-24,a96e4e26
8f696594,Memphis,9,NED,FW,29-182,33,1,0,0,0,4,1,0,0,24,0,0,0,1.0,1.0,0.0,0,0,8,13,61.5,0,17,2,2,1,Atlético Madrid,2023-08-14 Atlético Madrid-Granada,ESP-LALIGA,23-24,a96e4e26
df69b544,Antoine Griezmann,7,FRA,FW,32-146,76,0,0,0,0,1,0,0,0,47,0,1,0,0.0,0.0,0.6,4,0,30,36,83.3,2,24,0,1,0,Atlético Madrid,2023-08-14 Atlético Madrid-Granada,ESP-LALIGA,23-24,a96e4e26
c14bc029,Saúl Ñíguez,8,ESP,FW,28-266,14,0,0,0,0,1,1,0,0,17,2,1,0,0.0,0.0,0.0,0,0,11,12,91.7,0,7,0,0,0,Atlético Madrid,2023-08-14 Atlético Madrid-Granada,ESP-LALIGA,23-24,a96e4e26
4dbd0916,Thomas Lemar,11,FRA,CM,27-275,58,0,0,0,0,1,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,26,33,78.8,5,27,2,1,0,Atlético Madrid,2023-08-14 Atlético Madrid-Granada,ESP-LALIGA,23-24,a96e4e26
21166ff4,Çağlar Söyüncü,4,TUR,CB,27-083,32,0,0,0,0,0,0,0,0,17,0,1,0,0.0,0.0,0.0,2,1,8,10,80.0,3,8,1,1,1,Atlético Madrid,2023-08-14 Atlético Madrid-Granada,ESP-LALIGA,23-24,a96e4e26
162efffd,Rodrigo De Paul,5,ARG,CM,29-082,77,0,0,0,0,1,0,0,0,58,1,0,0,0.2,0.2,0.0,4,1,42,52,80.8,6,34,5,2,1,Atlético Madrid,2023-08-14 Atlético Madrid-Granada,ESP-LALIGA,23-24,a96e4e26
01eb744d,Ángel Correa,10,ARG,CM,28-158,13,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,1,1,7,9,77.8,2,10,0,5,2,Atlético Madrid,2023-08-14 Atlético Madrid-Granada,ESP-LALIGA,23-24,a96e4e26
55126f3b,Koke,6,ESP,CM,31-218,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,0,0,Atlético Madrid,2023-08-14 Atlético Madrid-Granada,ESP-LALIGA,23-24,a96e4e26
45736cec,Pablo Barrios,24,ESP,CM,20-060,84,0,0,0,0,0,0,0,0,39,1,5,2,0.0,0.0,0.0,2,0,25,32,78.1,3,26,2,2,2,Atlético Madrid,2023-08-14 Atlético Madrid-Granada,ESP-LALIGA,23-24,a96e4e26
