id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f586779e,Tammy Abraham,9,ENG,FW,24-022,85,0,0,0,0,2,0,1,0,28,1,0,0,0.5,0.5,0.0,2,0,15,20,75.0,2,16,3,2,2,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
57469b2d,Eldor Shomurodov,14,UZB,FW,26-117,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
dd0daf32,Henrikh Mkhitaryan,77,ARM,LW,32-276,65,0,0,0,0,1,1,0,0,21,0,1,0,0.0,0.0,0.0,0,0,10,12,83.3,1,12,3,3,1,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
d3aaad90,Stephan El Shaarawy,92,ITA,LW,28-362,25,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,0,0,2,6,33.3,0,5,2,1,1,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
9907b1c8,Nicolò Zaniolo,22,ITA,RW,22-114,90,0,0,0,0,2,0,0,0,49,0,4,0,0.1,0.1,0.0,4,0,15,28,53.6,3,29,7,12,5,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
4a5a45c7,Lorenzo Pellegrini,7,ITA,AM,25-127,90,0,0,0,0,4,0,0,0,39,1,2,0,0.3,0.3,0.4,5,0,20,25,80.0,4,19,3,5,4,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
4a56052c,Jordan Veretout,17,FRA,DM,28-237,90,0,0,0,0,0,0,1,0,38,1,3,0,0.0,0.0,0.1,4,0,27,33,81.8,1,22,1,0,0,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
16657b95,Bryan Cristante,4,ITA,DM,26-235,90,0,0,0,0,1,0,0,0,54,4,0,1,0.0,0.0,0.4,1,0,39,45,86.7,8,26,0,3,2,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
08eb3b58,Matías Viña,5,URU,LB,23-349,90,0,0,0,0,0,0,0,0,45,3,1,0,0.0,0.0,0.0,0,0,22,34,64.7,1,16,1,1,1,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
82efe6fa,Roger Ibanez,3,BRA,CB,22-335,90,0,0,0,0,1,0,0,0,47,4,1,3,0.1,0.1,0.0,1,0,29,34,85.3,2,24,2,0,0,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
5aa53281,Gianluca Mancini,23,ITA,CB,25-190,90,0,0,0,0,1,0,1,0,48,1,1,5,0.3,0.3,0.0,0,0,29,35,82.9,0,23,0,0,0,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
9f84febe,Rick Karsdorp,2,NED,RB,26-255,90,0,0,0,0,0,0,1,0,57,2,3,3,0.0,0.0,0.5,4,0,35,45,77.8,3,24,1,1,1,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
79b0d6a0,Rui Patrício,1,POR,GK,33-251,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,24,33,72.7,0,10,0,0,0,Roma,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
8c90fd7a,Victor Osimhen,9,NGA,FW,22-299,90,0,0,0,0,4,0,0,0,25,0,0,0,0.5,0.5,0.0,1,0,8,12,66.7,0,16,1,3,2,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
2f557579,Lorenzo Insigne,24,ITA,LW,30-142,80,0,0,0,0,2,1,0,0,55,2,1,1,0.1,0.1,0.0,3,0,31,47,66.0,6,44,1,4,2,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
89b2c8a9,Dries Mertens,14,BEL,LW,34-171,10,0,0,0,0,0,0,1,0,8,1,0,0,0.0,0.0,0.0,0,0,4,7,57.1,1,2,0,0,0,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
5e861944,Matteo Politano,21,ITA,RW,28-082,69,0,0,0,0,1,0,0,0,38,1,0,0,0.0,0.0,0.0,1,0,25,32,78.1,4,18,2,1,0,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
a69e4806,Hirving Lozano,11,MEX,RW,26-086,21,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,2,5,1,3,2,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
a5296e55,Piotr Zieliński,20,POL,AM,27-157,69,0,0,0,0,1,0,0,0,47,2,1,0,0.0,0.0,0.1,2,0,32,40,80.0,4,31,3,1,0,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
cf007308,Elif Elmas,7,MKD,AM,22-030,21,0,0,0,0,1,1,0,0,10,0,0,0,0.0,0.0,0.0,1,0,8,9,88.9,0,9,0,1,1,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
c0c7ff58,Fabián Ruiz Peña,8,ESP,DM,25-204,90,0,0,0,0,1,0,0,0,87,2,1,1,0.0,0.0,0.0,4,0,73,78,93.6,15,51,2,0,0,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
6bb2c084,Andre-Frank Zambo Anguissa,99,CMR,DM,25-342,90,0,0,0,0,0,0,0,0,59,2,0,1,0.0,0.0,0.0,2,0,44,48,91.7,3,33,2,8,7,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
0b5a292a,Mário Rui,6,POR,LB,30-150,90,0,0,0,0,1,0,0,0,73,4,0,0,0.1,0.1,0.1,3,0,53,62,85.5,4,33,1,0,0,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
da974c7b,Kalidou Koulibaly,26,SEN,CB,30-126,90,0,0,0,0,0,0,0,0,84,1,2,5,0.0,0.0,0.0,0,0,60,70,85.7,8,59,5,1,0,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
4b3e1a38,Amir Rrahmani,13,KVX,CB,27-242,90,0,0,0,0,0,0,0,0,68,0,1,2,0.0,0.0,0.0,1,0,56,62,90.3,3,48,0,0,0,Napoli,2021-10-24 Roma-Napoli,ITA-SERIA_A,21-22,a99dbfea
