id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
21a66f6a,Harry Kane,10,ENG,FW,27-226,83,2,0,0,0,3,2,0,0,37,0,0,1,0.9,0.9,0.1,5,0,22,32,68.8,5,31,1,2,2,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
8b529245,Carlos Vinícius,45,BRA,FW,25-351,7,0,0,0,0,1,1,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
92e7e919,Son Heung-min,7,KOR,LW,28-246,63,0,0,0,0,0,0,0,0,40,1,0,1,0.0,0.0,0.0,1,0,24,33,72.7,2,30,2,2,1,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
a29b1131,Steven Bergwijn,23,NED,AM,23-154,27,0,0,0,0,2,1,0,0,14,0,0,0,0.1,0.1,0.2,2,0,9,11,81.8,1,13,2,1,1,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
abe66106,Érik Lamela,11,ARG,RW,29-007,63,0,1,0,0,1,0,0,0,44,4,0,2,0.3,0.3,0.0,1,1,26,32,81.3,5,23,2,4,2,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
a58bb1e1,Gareth Bale,9,WAL,RW,31-238,27,0,0,0,0,2,1,0,0,16,0,0,0,0.2,0.2,0.1,2,1,8,10,80.0,0,11,0,2,1,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
cea4ee8f,Dele Alli,20,ENG,AM,24-334,63,0,0,0,0,0,0,0,0,48,1,0,0,0.0,0.0,0.0,2,0,33,38,86.8,1,34,1,2,0,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
2b622f01,Lucas Moura,27,BRA,LW,28-210,27,0,0,0,0,0,0,0,0,17,3,0,0,0.0,0.0,0.0,0,0,8,10,80.0,0,13,2,2,1,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
5cdddffa,Tanguy Ndombele,28,FRA,DM,24-073,71,0,0,0,0,0,0,0,0,89,0,1,1,0.0,0.0,0.0,2,1,75,81,92.6,6,74,4,9,6,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
8b04d6c1,Pierre Højbjerg,5,DEN,DM,25-218,19,0,0,0,0,0,0,1,0,15,0,0,1,0.0,0.0,0.0,0,0,10,14,71.4,0,8,0,0,0,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
2acd49b9,Moussa Sissoko,17,FRA,DM,31-207,90,0,0,0,0,0,0,0,0,97,0,2,1,0.0,0.0,0.0,1,0,82,87,94.3,15,76,0,4,2,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
44781702,Ben Davies,33,WAL,LB,27-321,90,0,0,0,0,2,0,0,0,82,2,2,3,0.0,0.0,0.3,3,0,58,73,79.5,5,32,2,0,0,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
ac861941,Eric Dier,15,ENG,CB,27-055,90,0,0,0,0,0,0,1,0,77,0,1,1,0.0,0.0,0.0,0,0,66,75,88.0,9,57,2,0,0,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
da7b447d,Davinson Sánchez,6,COL,CB,24-272,90,0,0,0,0,0,0,1,0,78,4,3,0,0.0,0.0,0.0,0,0,59,68,86.8,5,49,0,0,0,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
5c2b4f07,Serge Aurier,24,CIV,RB,28-077,90,0,0,0,0,1,0,0,0,84,4,4,1,0.0,0.0,0.0,1,0,55,71,77.5,1,44,2,2,1,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
8f62b6ee,Hugo Lloris,1,FRA,GK,34-075,90,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,0,6,0,0,0,Tottenham Hotspur,2021-03-11 Tottenham-Dinamo Zagreb,UEL,20-21,aae446a1
