id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
bdb624a3,Oihan Sancet,8,ESP,FW,21-241,62,1,0,0,0,3,1,0,0,21,0,0,0,0.1,0.1,0.1,3,0,15,17,88.2,3,14,2,1,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
b418dbd4,Raúl García,22,ESP,FW,35-164,28,0,0,0,0,1,0,0,0,12,4,1,0,0.0,0.0,0.0,0,0,7,9,77.8,3,4,0,1,1,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
6a99e0b1,Iñaki Williams,9,GHA,FW,27-190,90,0,0,0,0,2,0,0,0,30,0,0,0,0.1,0.1,0.3,1,0,16,25,64.0,2,12,2,0,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
c05dfb74,Iker Muniain,10,ESP,LM,29-003,83,0,0,0,0,0,0,0,0,69,0,2,2,0.0,0.0,0.2,7,0,51,61,83.6,10,42,3,2,1,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
2ad0e5e5,Nicolás Serrano,33,ESP,LM,18-292,7,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,4,1,0,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
240d3a0b,Dani García,14,ESP,CM,31-212,90,0,0,0,0,1,0,0,0,58,2,1,0,0.1,0.1,0.0,2,1,45,53,84.9,7,25,1,0,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
4112ace5,Unai Vencedor Paris,16,ESP,CM,21-037,90,0,0,0,0,1,0,1,0,80,1,1,1,0.1,0.1,0.0,3,0,69,76,90.8,16,58,4,0,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
968a1c2f,Oier Zarraga,19,ESP,RM,22-352,56,0,0,0,0,0,0,0,0,26,0,2,0,0.0,0.0,0.0,0,0,17,22,77.3,0,13,0,0,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
afdc14d7,Nico Williams,30,ESP,RM,19-163,34,0,0,0,0,2,1,0,0,19,0,0,0,0.4,0.4,0.0,1,0,6,11,54.5,0,13,3,1,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
1fe67e86,Mikel Balenziaga,24,ESP,LB,33-296,62,0,0,0,0,3,0,1,0,37,0,1,0,0.1,0.1,0.1,2,0,24,28,85.7,3,17,0,0,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
59b7d823,Iñigo Lekue,15,ESP,LB,28-232,28,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,2,0,18,22,81.8,2,14,3,1,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
be170419,Unai Núñez,3,ESP,CB,24-326,90,0,0,0,0,1,0,0,0,43,0,2,1,0.1,0.1,0.0,0,0,33,36,91.7,1,20,1,0,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
3ecc11d8,Yeray Álvarez,5,ESP,CB,26-332,90,0,0,0,0,1,0,0,0,38,0,2,0,0.0,0.0,0.0,0,0,32,34,94.1,4,23,1,0,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
9f323c71,Óscar de Marcos,18,ESP,RB,32-252,90,0,1,0,0,0,0,0,0,59,0,1,0,0.0,0.0,0.1,3,1,44,55,80.0,3,34,5,0,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
a2c1a8d3,Julen Agirrezabala,26,ESP,GK,20-361,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,14,16,87.5,0,7,0,0,0,Athletic Club,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
70d74ece,Karim Benzema,9,FRA,FW,34-003,89,2,0,0,0,2,2,0,0,56,0,0,0,0.3,0.3,0.1,1,0,46,50,92.0,10,32,2,0,0,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
4d8cd038,Luka Jović,16,SRB,FW,23-364,1,0,0,0,0,1,0,0,0,4,0,1,0,0.2,0.2,0.0,0,0,1,1,100.0,0,1,0,0,0,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
7111d552,Vinicius Júnior,20,BRA,LW,21-163,84,0,0,0,0,0,0,1,0,53,0,0,0,0.0,0.0,0.1,4,1,44,45,97.8,4,42,5,1,1,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
5c4dc0ff,Mariano,24,DOM,RW,28-143,6,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.2,1,0,2,4,50.0,1,2,0,0,0,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
a39bb753,Eden Hazard,7,BEL,RW,30-349,85,0,0,0,0,1,1,0,0,59,1,1,0,0.1,0.1,0.1,2,0,47,54,87.0,3,43,5,3,3,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
1ccd3dae,Peter Federico,44,DOM,"LW,RW",19-150,5,0,0,0,0,1,1,0,0,4,0,0,0,0.0,0.0,0.2,1,0,1,1,100.0,0,2,1,0,0,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
6ce1f46f,Toni Kroos,8,GER,LM,31-352,90,0,1,0,0,4,2,0,0,112,2,2,0,0.4,0.4,0.0,4,1,95,103,92.2,9,68,2,0,0,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
7b9c2d84,Eduardo Camavinga,25,FRA,CM,19-042,90,0,0,0,0,2,1,1,0,92,6,0,1,0.1,0.1,0.0,2,0,72,79,91.1,3,58,1,3,3,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
0959c2a2,Federico Valverde,15,URU,RM,23-153,90,0,0,0,0,1,0,0,0,81,1,1,2,0.0,0.0,0.0,3,0,66,73,90.4,3,58,3,5,4,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
3cefcaef,Ferland Mendy,23,FRA,LB,26-197,90,0,0,0,0,0,0,0,0,73,1,1,0,0.0,0.0,0.0,1,0,62,67,92.5,1,53,1,4,3,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
2946f9a1,Nacho,6,ESP,CB,31-338,90,0,0,0,0,0,0,0,0,54,1,3,4,0.0,0.0,0.0,0,0,42,42,100.0,1,27,0,0,0,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
2784f898,Éder Militão,3,BRA,CB,23-338,90,0,0,0,0,0,0,0,0,70,2,2,1,0.0,0.0,0.0,0,0,54,62,87.1,2,38,0,0,0,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
fd51b456,Lucas Vázquez,17,ESP,RB,30-174,90,0,0,0,0,0,0,0,0,84,1,1,2,0.0,0.0,0.0,3,0,64,75,85.3,5,55,6,2,2,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
1840e36d,Thibaut Courtois,1,BEL,GK,29-225,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,21,32,65.6,0,18,0,0,0,Real Madrid,2021-12-22 Athletic Club-Real Madrid,ESP-LALIGA,21-22,ac9afdba
