id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f9f92b5f,Florian Krüger,18,GER,FW,22-196,71,0,0,0,0,2,1,0,0,21,1,0,0,0.1,0.1,0.0,0,0,10,17,58.8,0,12,1,1,1,Arminia,2021-08-28 Arminia-Eint Frankfurt,GER-BL1,21-22,af8e306b
ebac0ace,Bryan Lasme,10,FRA,FW,22-287,19,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.1,1,0,4,8,50.0,0,8,0,1,1,Arminia,2021-08-28 Arminia-Eint Frankfurt,GER-BL1,21-22,af8e306b
e21042ae,Fabian Klos,9,GER,FW,33-269,90,0,1,0,0,2,1,0,0,34,0,0,1,0.1,0.1,0.1,3,2,12,26,46.2,4,19,0,0,0,Arminia,2021-08-28 Arminia-Eint Frankfurt,GER-BL1,21-22,af8e306b
0174ba21,Robin Hack,21,GER,LM,23-001,90,0,0,0,0,3,0,0,0,41,1,1,0,0.2,0.2,0.0,3,0,20,30,66.7,4,27,0,4,1,Arminia,2021-08-28 Arminia-Eint Frankfurt,GER-BL1,21-22,af8e306b
901c0f97,Manuel Prietl,19,AUT,CM,30-025,90,0,0,0,0,0,0,0,0,28,1,1,0,0.0,0.0,0.0,2,0,14,21,66.7,3,17,0,4,4,Arminia,2021-08-28 Arminia-Eint Frankfurt,GER-BL1,21-22,af8e306b
d25fee56,Fabian Kunze,16,GER,CM,23-075,80,0,0,0,0,1,0,0,0,28,0,1,1,0.0,0.0,0.0,2,0,15,22,68.2,3,11,1,0,0,Arminia,2021-08-28 Arminia-Eint Frankfurt,GER-BL1,21-22,af8e306b
cb11b429,Patrick Wimmer,20,AUT,CM,20-090,10,1,0,0,0,4,2,0,0,9,0,0,0,0.2,0.2,0.0,2,0,0,3,0.0,0,5,0,4,3,Arminia,2021-08-28 Arminia-Eint Frankfurt,GER-BL1,21-22,af8e306b
63b9cc6d,Masaya Okugawa,11,JPN,RM,25-136,90,0,0,0,0,0,0,0,0,20,0,0,2,0.0,0.0,0.1,4,0,6,13,46.2,3,15,2,2,2,Arminia,2021-08-28 Arminia-Eint Frankfurt,GER-BL1,21-22,af8e306b
c0d3bd23,Jacob Barrett Laursen,5,DEN,LB,26-284,60,0,0,0,0,1,0,0,0,37,0,1,0,0.0,0.0,0.0,0,0,24,33,72.7,1,14,0,1,0,Arminia,2021-08-28 Arminia-Eint Frankfurt,GER-BL1,21-22,af8e306b
