id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d7d32194,Mattia Destro,23,ITA,FW,32-349,57,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.1,1,0,7,8,87.5,1,9,1,1,0,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
2054d037,M'Baye Niang,10,SEN,FW,29-075,33,0,0,0,0,2,0,0,0,12,0,0,0,0.2,0.2,0.1,1,0,4,6,66.7,0,9,1,3,1,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
b6a1cdf9,Matteo Cancellieri,20,ITA,AM,22-020,71,0,0,0,0,3,0,0,0,26,0,1,0,0.2,0.2,0.0,4,0,7,13,53.8,2,16,2,4,2,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
f9758dae,Emmanuel Gyasi,11,GHA,LM,30-052,19,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,0,0,2,4,50.0,0,6,1,0,0,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
91ff775f,Nicolò Cambiaghi,28,ITA,AM,23-066,90,0,0,0,0,3,0,0,0,41,1,0,0,0.1,0.1,0.3,7,0,25,35,71.4,3,36,8,4,3,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
9d60028d,Viktor Kovalenko,8,UKR,LM,28-018,70,0,0,0,0,3,1,0,0,23,0,0,0,0.2,0.2,0.0,1,0,13,18,72.2,0,11,0,0,0,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
06b08c45,Jacopo Fazzini,21,ITA,AM,20-353,20,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,3,10,1,1,0,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
7fac99d4,Răzvan Marin,18,ROU,CM,27-285,90,0,0,0,0,0,0,0,0,74,0,0,1,0.0,0.0,0.2,3,0,49,69,71.0,2,28,0,0,0,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
4c8845f7,Youssef Maleh,29,MAR,RM,25-194,90,0,0,0,0,1,1,0,0,56,1,0,0,0.4,0.4,0.1,5,0,43,51,84.3,10,28,2,1,0,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
dd86e8e4,Liberato Cacace,13,NZL,LB,23-158,71,0,0,0,0,0,0,0,0,57,1,0,0,0.0,0.0,0.0,1,0,43,53,81.1,4,31,0,2,2,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
149c5f5d,Giuseppe Pezzella,3,ITA,LB,26-095,19,0,0,0,0,1,1,0,0,23,1,0,0,0.1,0.1,0.0,3,0,15,20,75.0,3,13,1,0,0,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
997fff07,Sebastiano Luperto,33,ITA,CB,27-179,90,0,0,0,0,0,0,0,0,47,0,0,1,0.0,0.0,0.0,0,0,36,41,87.8,3,19,1,1,1,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
217875a4,Sebastian Walukiewicz,4,POL,CB,23-333,81,0,0,0,0,0,0,0,0,78,1,0,0,0.0,0.0,0.0,1,0,54,67,80.6,5,52,0,2,2,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
1079c685,Alberto Cerri,17,ITA,CB,27-322,9,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.1,0.0,0,0,1,2,50.0,0,2,0,0,0,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
6b635f5c,Ardian Ismajli,34,ALB,RB,27-155,90,0,0,0,0,1,0,0,0,89,2,0,1,0.1,0.1,0.1,2,0,55,77,71.4,6,37,3,0,0,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
97d7afbd,Elia Caprile,25,ITA,GK,22-191,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,34,41,82.9,0,27,0,0,0,Empoli,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
2ead2809,Gianluca Lapadula,9,PER,FW,34-025,86,0,0,0,0,4,1,0,0,17,0,0,0,0.2,0.2,0.0,1,0,5,9,55.6,1,9,0,0,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
cbe32194,Kingstone Mutandwa,34,ZAM,FW,21-058,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,4,0.0,0,2,0,0,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
3b387cc7,Gianluca Gaetano,70,ITA,FW,23-303,86,0,0,0,0,1,1,1,0,33,1,0,0,0.0,0.0,0.1,2,0,14,16,87.5,3,20,1,5,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
57469b2d,Eldor Shomurodov,61,UZB,FW,28-248,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
b09e0873,Zito Luvumbo,77,ANG,LM,21-360,31,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,1,6,1,0,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
ca3db240,Gabriele Zappa,28,ITA,RB,24-072,59,0,0,0,0,0,0,0,0,38,1,0,1,0.0,0.0,0.2,2,0,21,31,67.7,1,20,2,3,1,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
7f267d66,Alessandro Deiola,14,ITA,CM,28-215,90,0,0,0,0,1,0,0,0,40,0,2,1,0.0,0.0,0.0,2,0,22,31,71.0,4,10,0,0,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
f37f3522,Antoine Makoumbou,29,CGO,CM,25-229,90,0,0,0,0,0,0,0,0,47,0,1,1,0.0,0.0,0.0,1,0,39,41,95.1,6,29,2,0,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
1ea5f91c,Jakub Jankto,21,CZE,"LM,RM",28-044,76,1,0,0,0,1,1,0,0,25,0,0,0,0.2,0.2,0.0,2,0,13,19,68.4,3,11,1,1,1,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
3ecc8c5f,Mateusz Wieteska,23,POL,LM,27-021,14,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
3cd3b384,Tommaso Augello,27,ITA,LB,29-186,77,0,0,0,0,0,0,0,0,52,1,2,2,0.0,0.0,0.0,1,0,21,37,56.8,0,12,2,1,1,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
967ac202,Paulo Azzi,37,BRA,LB,29-232,13,0,0,0,0,0,0,0,0,6,1,1,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
61efb926,Alberto Dossena,4,ITA,CB,25-142,90,0,0,0,0,0,0,0,0,90,2,0,5,0.0,0.0,0.0,1,0,59,73,80.8,3,52,0,0,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
6d5701f2,Yerry Mina,26,COL,CB,29-162,90,0,0,0,0,0,0,1,0,79,1,0,2,0.0,0.0,0.0,0,0,59,68,86.8,3,53,0,0,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
95facda1,Nahitan Nández,8,URU,"RM,RB",28-066,90,0,0,0,0,1,1,0,0,39,3,1,0,0.2,0.2,0.0,1,1,15,29,51.7,2,19,0,3,1,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
41bd99ea,Simone Scuffet,22,ITA,GK,27-277,90,0,0,0,0,0,0,1,0,41,0,0,0,0.0,0.0,0.0,0,0,32,39,82.1,0,18,0,0,0,Cagliari,2024-03-03 Empoli-Cagliari,ITA-SERIA_A,23-24,af92650d
