id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0ae4e09a,Roger Martí,9,ESP,FW,30-320,86,0,0,0,0,2,0,1,0,18,0,0,0,0.1,0.1,0.0,1,0,11,13,84.6,5,20,1,1,1,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
9d66fbe3,Roberto Soldado,16,ESP,FW,36-176,4,0,0,0,0,0,0,0,0,9,1,1,0,0.0,0.0,0.0,0,0,1,7,14.3,1,3,0,1,0,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
4a478107,José Luis Morales,11,ESP,LW,34-119,90,0,0,0,0,3,1,0,0,49,2,1,0,0.1,0.1,0.0,3,0,20,31,64.5,3,33,6,4,0,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
38ce1150,Jorge de Frutos,18,ESP,RW,24-272,90,0,0,0,0,3,1,0,0,53,3,1,1,0.2,0.2,0.0,3,0,23,36,63.9,4,31,7,3,1,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
cac2537b,Enis Bardhi,10,MKD,LM,26-140,72,0,0,0,0,3,0,0,0,42,1,1,1,0.1,0.1,0.0,6,0,22,31,71.0,4,23,2,3,2,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
0e5ddc7c,Dani Gómez,21,ESP,RM,23-112,18,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,3,5,60.0,0,6,3,2,1,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
bbc19252,Mickael Malsa,12,MTQ,CM,26-038,59,0,0,0,0,0,0,0,0,32,1,1,2,0.0,0.0,0.0,2,0,23,28,82.1,2,21,0,0,0,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
4442fbcd,Nikola Vukčević,17,MNE,CM,29-341,31,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,13,18,72.2,1,10,0,0,0,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
61220da2,José Campaña,24,ESP,"RM,LM",28-172,90,0,0,0,0,2,0,0,0,75,0,5,0,0.1,0.1,0.0,1,0,51,61,83.6,12,43,4,3,3,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
33a61a52,Carlos Clerc,19,ESP,LB,29-271,90,0,0,0,0,0,0,0,0,91,3,4,2,0.0,0.0,0.1,2,0,47,72,65.3,4,45,4,5,5,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
c67cd65c,Rúben Vezo,14,POR,CB,27-208,90,0,0,0,0,2,0,1,0,67,0,5,2,0.0,0.0,0.0,1,0,41,50,82.0,3,32,0,0,0,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
3f2d59fe,Shkodran Mustafi,13,GER,CB,29-216,72,0,0,0,0,0,0,0,0,34,3,2,0,0.0,0.0,0.0,0,0,21,27,77.8,0,17,0,0,0,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
aa0ac32d,Óscar Duarte,6,CRC,CB,32-169,18,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
037dbd30,Son,2,ESP,RB,27-234,85,0,0,0,0,0,0,0,0,62,0,1,0,0.0,0.0,0.0,2,0,43,58,74.1,6,41,1,2,2,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
7f4c7c9f,Jorge Miramón,20,ESP,RB,32-170,5,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,1,1,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
e1846dde,Cárdenas,34,ESP,GK,24-236,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,1,0,23,34,67.6,0,21,0,0,0,Levante,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
6a99e0b1,Iñaki Williams,9,GHA,FW,27-157,65,0,0,0,0,1,0,0,0,21,0,0,2,0.1,0.1,0.0,0,0,10,14,71.4,0,15,2,3,1,Athletic Club,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
57be54ec,Asier Villalibre,20,ESP,FW,24-050,19,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,0,0,Athletic Club,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
2ad0e5e5,Nicolás Serrano,33,ESP,FW,18-259,6,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,1,0,3,6,50.0,0,4,0,0,0,Athletic Club,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
b418dbd4,Raúl García,22,ESP,FW,35-131,54,0,0,0,0,0,0,0,0,21,1,0,1,0.0,0.0,0.1,2,0,9,18,50.0,3,10,1,0,0,Athletic Club,2021-11-19 Levante-Athletic Club,ESP-LALIGA,21-22,b0c74874
