id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
7cd6badb,Lars Stindl,13,GER,FW,32-182,73,0,0,0,0,0,0,0,0,33,0,1,0,0.0,0.0,0.0,0,0,24,32,75.0,3,18,0,0,0,Mönchengladbach,2021-02-24 Gladbach-Manchester City,UCL,20-21,b0ca4748
0b4f388a,Breel Embolo,36,SUI,FW,24-010,17,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Mönchengladbach,2021-02-24 Gladbach-Manchester City,UCL,20-21,b0ca4748
bc6bd723,Alassane Pléa,14,FRA,LW,27-351,62,0,0,0,0,1,0,0,0,16,0,1,0,0.1,0.1,0.0,0,0,7,9,77.8,0,4,0,0,0,Mönchengladbach,2021-02-24 Gladbach-Manchester City,UCL,20-21,b0ca4748
6f8cd6d0,Marcus Thuram,10,FRA,LW,23-202,28,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,1,4,1,1,1,Mönchengladbach,2021-02-24 Gladbach-Manchester City,UCL,20-21,b0ca4748
2903a856,Jonas Hofmann,23,GER,RW,28-225,86,0,0,0,0,1,0,0,0,31,2,0,1,0.0,0.0,0.0,1,0,22,25,88.0,1,14,1,0,0,Mönchengladbach,2021-02-24 Gladbach-Manchester City,UCL,20-21,b0ca4748
be42a291,Hannes Wolf,11,AUT,RW,21-314,4,0,0,0,0,1,1,0,0,2,0,0,0,0.2,0.2,0.0,0,0,1,1,100.0,0,1,0,0,0,Mönchengladbach,2021-02-24 Gladbach-Manchester City,UCL,20-21,b0ca4748
36a59ba4,Florian Neuhaus,32,GER,LM,23-345,90,0,0,0,0,0,0,0,0,77,7,2,1,0.0,0.0,0.0,1,0,48,60,80.0,1,37,2,0,0,Mönchengladbach,2021-02-24 Gladbach-Manchester City,UCL,20-21,b0ca4748
496aeede,Christoph Kramer,6,GER,CM,30-005,90,0,0,0,0,0,0,0,0,71,2,1,1,0.0,0.0,0.0,0,0,57,64,89.1,1,31,0,1,0,Mönchengladbach,2021-02-24 Gladbach-Manchester City,UCL,20-21,b0ca4748
384d58d9,Denis Zakaria,8,SUI,RM,24-096,90,0,0,0,0,0,0,0,0,38,3,0,0,0.0,0.0,0.1,1,0,32,36,88.9,3,26,0,3,3,Mönchengladbach,2021-02-24 Gladbach-Manchester City,UCL,20-21,b0ca4748
