id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
bbf5c11b,Rafa Mir,9,ESP,FW,26-091,60,0,0,0,0,6,3,1,0,30,1,0,0,0.4,0.4,0.2,6,0,12,16,75.0,1,17,1,1,0,Sevilla,2023-09-17 Sevilla-Las Palmas,ESP-LALIGA,23-24,b1d20065
04e17fd5,Youssef En-Nesyri,15,MAR,FW,26-108,30,0,0,0,0,2,2,0,0,11,0,0,0,0.2,0.2,0.0,1,1,3,6,50.0,1,7,0,0,0,Sevilla,2023-09-17 Sevilla-Las Palmas,ESP-LALIGA,23-24,b1d20065
a08b974a,Lucas Ocampos,5,ARG,LW,29-068,84,0,0,0,0,5,1,1,0,47,1,0,1,0.2,0.2,0.2,6,0,23,32,71.9,3,34,9,7,5,Sevilla,2023-09-17 Sevilla-Las Palmas,ESP-LALIGA,23-24,b1d20065
abe66106,Érik Lamela,17,ARG,LW,31-197,6,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Sevilla,2023-09-17 Sevilla-Las Palmas,ESP-LALIGA,23-24,b1d20065
4e219ad2,Suso,7,ESP,RW,29-302,60,0,0,0,0,1,0,0,0,39,1,1,1,0.0,0.0,0.0,5,0,22,33,66.7,12,31,2,4,1,Sevilla,2023-09-17 Sevilla-Las Palmas,ESP-LALIGA,23-24,b1d20065
0c61c77c,Dodi Lukebakio,11,BEL,RW,25-358,30,1,0,0,0,2,1,0,0,12,0,0,0,0.5,0.5,0.1,5,0,6,9,66.7,1,8,0,2,2,Sevilla,2023-09-17 Sevilla-Las Palmas,ESP-LALIGA,23-24,b1d20065
58a9a4d9,Óliver Torres,21,ESP,AM,28-311,84,0,0,0,0,0,0,1,0,59,5,0,7,0.0,0.0,0.2,7,0,35,44,79.5,4,40,1,0,0,Sevilla,2023-09-17 Sevilla-Las Palmas,ESP-LALIGA,23-24,b1d20065
ae59b359,Boubakary Soumaré,24,FRA,AM,24-202,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Sevilla,2023-09-17 Sevilla-Las Palmas,ESP-LALIGA,23-24,b1d20065
89f951b5,Ivan Rakitić,10,CRO,DM,35-191,90,0,0,0,0,3,1,0,0,48,3,2,1,0.1,0.1,0.0,5,0,29,39,74.4,4,24,0,1,1,Sevilla,2023-09-17 Sevilla-Las Palmas,ESP-LALIGA,23-24,b1d20065
