id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
04e17fd5,Youssef En-Nesyri,26,MAR,FW,22-175,90,1,0,0,0,3,2,0,0,29,0,2,3,0.2,0.2,0.0,0,0,8,14,57.1,1,18,2,1,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
fd771f95,Martin Braithwaite,7,DEN,LM,28-171,90,0,0,0,0,1,0,0,0,21,1,1,1,0.0,0.0,0.0,3,0,6,8,75.0,2,15,1,0,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
3c7bc9bd,Rubén Pérez,21,ESP,CM,30-211,90,0,0,0,0,1,1,0,0,59,1,4,3,0.0,0.0,0.0,2,1,27,43,62.8,8,30,1,1,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
7c4243d4,Roque Mesa,6,ESP,CM,30-169,82,0,1,0,0,2,1,1,0,31,1,1,2,0.1,0.1,0.0,2,1,16,19,84.2,2,22,0,3,2,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
8f898ba8,Guido Carrillo,18,ARG,CM,28-182,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,2,0,0,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
19709006,Óscar Rodríguez Arnaiz,27,ESP,RM,21-148,60,0,0,0,0,1,0,0,0,30,1,3,0,0.0,0.0,0.0,1,0,17,21,81.0,0,20,0,2,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
aec0fb6f,Javier Eraso,17,ESP,RM,29-246,30,0,0,0,0,1,0,0,0,9,0,1,0,0.1,0.1,0.0,0,0,2,4,50.0,0,4,0,0,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
f2308b33,Jonathan Silva,5,ARG,LB,25-147,90,0,0,0,0,0,0,0,0,36,2,2,1,0.0,0.0,0.1,1,0,13,23,56.5,1,13,2,2,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
92d38e6c,Dimitris Siovas,22,GRE,CB,31-068,90,0,0,0,0,0,0,0,0,31,3,0,1,0.0,0.0,0.0,0,0,13,25,52.0,0,14,1,0,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
0f0aa5b4,Kenneth Omeruo,4,NGA,CB,26-037,82,0,0,0,0,0,0,0,0,18,1,3,1,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,0,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
a03c82b2,Rodrigo Tarín,15,ESP,CB,23-141,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
f3112790,Unai Bustinza,3,ESP,CB,27-294,90,0,0,0,0,0,0,0,0,30,0,1,1,0.0,0.0,0.1,1,0,17,25,68.0,2,13,0,0,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
81069528,Roberto Rosales,16,VEN,RB,31-003,90,0,0,0,0,0,0,0,0,33,3,0,1,0.0,0.0,0.0,1,0,17,26,65.4,0,14,1,1,1,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
75751c99,Iván Cuéllar,1,ESP,GK,35-180,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,11,34,32.4,0,16,0,0,0,Leganés,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
a6154613,Luis Suárez,9,URU,FW,32-303,90,1,0,0,0,4,3,0,0,35,1,0,0,0.3,0.3,0.0,1,0,20,26,76.9,2,16,0,1,0,Barcelona,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
df69b544,Antoine Griezmann,17,FRA,LW,28-247,56,0,0,0,0,1,0,0,0,34,1,0,0,0.0,0.0,0.0,0,0,23,29,79.3,1,22,1,0,0,Barcelona,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
67cdbc0e,Arturo Vidal,22,CHI,"DM,LW",32-185,34,1,0,0,0,1,1,1,0,42,1,0,0,0.6,0.6,0.0,0,0,31,36,86.1,2,27,1,1,1,Barcelona,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
b19db005,Ousmane Dembélé,11,FRA,RW,22-192,90,0,0,0,0,2,1,0,0,89,1,0,1,0.5,0.5,0.1,3,0,54,75,72.0,4,66,4,9,5,Barcelona,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
d70ce98e,Lionel Messi,10,ARG,AM,32-152,90,0,1,0,0,1,1,0,0,65,1,0,0,0.1,0.1,1.0,6,2,50,57,87.7,9,47,7,7,6,Barcelona,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
5ab0ea87,Sergio Busquets,5,ESP,DM,31-130,56,0,0,0,0,0,0,1,0,86,1,1,1,0.0,0.0,0.0,1,0,69,81,85.2,10,53,1,1,1,Barcelona,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
89f951b5,Ivan Rakitić,4,CRO,DM,31-258,34,0,0,0,0,1,0,0,0,55,0,1,1,0.0,0.0,0.0,2,0,45,53,84.9,2,38,0,0,0,Barcelona,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
1bacc518,Frenkie de Jong,21,NED,DM,22-195,69,0,0,0,0,0,0,0,0,78,1,0,0,0.0,0.0,0.1,1,0,69,73,94.5,6,60,3,0,0,Barcelona,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
0ba976e4,Ansu Fati,31,ESP,LW,17-023,21,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,1,0,7,10,70.0,0,8,0,0,0,Barcelona,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
24f59bb2,Junior Firpo,24,DOM,LB,23-093,90,0,0,0,0,0,0,0,0,94,3,0,1,0.0,0.0,0.0,2,0,76,85,89.4,7,50,4,2,1,Barcelona,2019-11-23 Leganés-Barcelona,ESP-LALIGA,19-20,b31decb6
