id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d705ba44,Andrea Belotti,11,ITA,FW,30-003,70,0,0,0,0,0,0,1,0,15,0,0,0,0.0,0.0,0.7,3,0,8,12,66.7,1,14,2,2,1,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
4a5a45c7,Lorenzo Pellegrini,7,ITA,CM,27-187,20,1,0,0,0,1,1,0,0,16,0,0,0,0.1,0.1,0.0,1,0,14,15,93.3,1,9,0,0,0,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
5eae500a,Romelu Lukaku,90,BEL,FW,30-224,90,1,0,0,0,4,2,0,0,30,1,0,0,0.7,0.7,0.0,4,1,14,21,66.7,3,17,3,2,1,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
ae94a6c5,Edoardo Bove,52,ITA,CM,21-221,90,0,0,0,0,4,1,0,0,33,3,1,1,0.7,0.7,0.0,3,0,15,21,71.4,3,9,1,1,1,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
dff153a4,Leandro Paredes,16,ARG,CM,29-177,70,0,0,0,0,0,0,1,0,41,0,1,1,0.0,0.0,0.0,4,0,33,39,84.6,3,15,2,0,0,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
10549b49,Sardar Azmoun,17,IRN,FW,28-356,20,0,0,0,0,1,0,1,0,8,1,0,0,0.1,0.1,0.0,1,0,4,5,80.0,0,4,0,0,0,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
16657b95,Bryan Cristante,4,ITA,CM,28-295,90,0,0,0,0,2,0,1,0,60,1,0,1,0.1,0.1,0.5,5,0,41,54,75.9,9,29,2,2,2,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
45191c29,Nicola Zalewski,59,POL,WB,21-334,70,0,0,0,0,3,0,1,0,28,1,0,1,0.2,0.2,0.0,1,0,12,19,63.2,0,13,3,2,1,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
d3aaad90,Stephan El Shaarawy,92,ITA,WB,31-057,20,0,1,0,0,1,0,1,0,15,0,0,1,0.0,0.0,0.1,1,1,6,11,54.5,0,10,2,3,2,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
39769cff,Rasmus Kristensen,43,DEN,WB,26-165,74,0,0,0,0,0,0,1,0,38,1,1,0,0.0,0.0,0.0,2,0,18,30,60.0,0,14,1,2,1,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
31a62dc7,Zeki Çelik,19,TUR,WB,26-309,16,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.1,1,0,6,6,100.0,0,6,1,2,1,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
441197b8,Obite N'Dicka,5,CIV,CB,24-125,90,0,1,0,0,0,0,0,0,47,0,0,1,0.0,0.0,0.3,2,1,35,39,89.7,0,21,1,0,0,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
bba30585,Diego Llorente,14,ESP,CB,30-129,90,0,0,0,0,0,0,0,0,49,2,0,2,0.0,0.0,0.0,0,0,33,39,84.6,0,22,0,1,1,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
5aa53281,Gianluca Mancini,23,ITA,CB,27-250,90,0,0,0,0,1,0,0,0,49,0,1,0,0.0,0.0,0.0,2,0,36,44,81.8,3,18,1,0,0,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
79b0d6a0,Rui Patrício,1,POR,GK,35-311,90,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,12,17,70.6,0,15,0,0,0,Roma,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
8c90fd7a,Victor Osimhen,9,NGA,FW,24-359,85,0,0,0,0,1,0,2,1,20,1,0,0,0.1,0.1,0.4,1,0,7,12,58.3,2,13,2,1,1,Napoli,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
dea88efd,Khvicha Kvaratskhelia,77,GEO,LW,22-314,86,0,0,0,0,1,1,0,0,34,1,0,0,0.0,0.0,0.0,1,0,23,27,85.2,1,21,6,3,1,Napoli,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
6e058f06,Giacomo Raspadori,81,ITA,"FW,LW",23-308,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,0,0,0,0,Napoli,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
5e861944,Matteo Politano,21,ITA,RW,30-142,65,0,0,0,0,1,0,0,1,51,1,0,0,0.1,0.1,0.1,4,0,34,41,82.9,4,34,2,4,2,Napoli,2023-12-23 Roma-Napoli,ITA-SERIA_A,23-24,b532dc3c
