id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
eb2fe5b6,Luis Muriel,9,COL,FW,30-331,90,0,0,0,0,3,0,0,0,52,2,0,0,0.3,0.3,0.1,4,0,27,35,77.1,4,40,4,5,4,Atalanta,2022-03-13 Atalanta-Genoa,ITA-SERIA_A,21-22,b5dfd0c4
48d5bd33,Ruslan Malinovskyi,18,UKR,FW,28-313,55,0,0,0,0,1,0,0,0,36,1,0,0,0.1,0.1,0.0,2,0,12,28,42.9,1,19,2,3,2,Atalanta,2022-03-13 Atalanta-Genoa,ITA-SERIA_A,21-22,b5dfd0c4
c56dc39e,Rafael Tolói,2,ITA,"FW,RB",31-154,35,0,0,0,0,0,0,1,0,42,3,1,0,0.0,0.0,0.0,1,0,26,35,74.3,3,22,0,1,0,Atalanta,2022-03-13 Atalanta-Genoa,ITA-SERIA_A,21-22,b5dfd0c4
e599253a,Mario Pašalić,88,CRO,"AM,FW",27-032,89,0,0,0,0,2,0,0,0,46,2,0,0,0.5,0.5,0.2,3,0,23,36,63.9,4,24,0,2,1,Atalanta,2022-03-13 Atalanta-Genoa,ITA-SERIA_A,21-22,b5dfd0c4
81a4c239,Valentin Mihaila,20,ROU,FW,22-039,1,0,0,0,0,1,1,0,0,4,0,0,0,0.0,0.0,0.0,1,0,1,3,33.3,0,2,1,0,0,Atalanta,2022-03-13 Atalanta-Genoa,ITA-SERIA_A,21-22,b5dfd0c4
780e3631,Matteo Pessina,32,ITA,CM,24-326,90,0,0,0,0,2,0,0,0,82,2,2,6,0.1,0.1,0.0,0,0,43,63,68.3,3,44,1,0,0,Atalanta,2022-03-13 Atalanta-Genoa,ITA-SERIA_A,21-22,b5dfd0c4
a26fb8aa,Teun Koopmeiners,7,NED,CM,24-013,90,0,0,0,0,0,0,0,0,59,2,0,2,0.0,0.0,0.0,1,0,41,50,82.0,4,37,3,1,1,Atalanta,2022-03-13 Atalanta-Genoa,ITA-SERIA_A,21-22,b5dfd0c4
c459a650,Joakim Mæhle,3,DEN,WB,24-297,45,0,0,0,0,0,0,0,0,43,0,0,2,0.0,0.0,0.0,0,0,20,34,58.8,2,24,4,3,0,Atalanta,2022-03-13 Atalanta-Genoa,ITA-SERIA_A,21-22,b5dfd0c4
fe012aca,Jeremie Boga,10,CIV,"WB,LM",25-069,45,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.0,1,0,18,26,69.2,4,17,1,4,1,Atalanta,2022-03-13 Atalanta-Genoa,ITA-SERIA_A,21-22,b5dfd0c4
