id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b79858d5,Albert Guðmundsson,28,ISL,FW,23-136,88,2,0,0,0,4,2,1,0,32,2,0,0,1.7,1.7,0.0,1,0,8,15,53.3,1,18,4,3,2,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
5c0466ba,Yusuf Barasi,44,TUR,FW,17-212,2,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,1,1,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
7952d0c2,Jesper Karlsson,11,SWE,LW,22-096,65,1,0,0,0,2,2,0,0,32,1,0,0,0.2,0.2,0.0,0,0,13,21,61.9,1,25,4,5,1,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
c2a6033c,Zakaria Aboukhlal,17,MAR,LW,20-254,25,0,0,0,0,1,0,0,0,11,1,0,0,0.1,0.1,0.8,2,0,5,8,62.5,1,7,2,0,0,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
8f7e6783,Calvin Stengs,7,NED,RW,21-316,65,0,0,0,0,1,0,0,0,32,1,0,0,0.0,0.0,0.1,3,1,17,23,73.9,5,26,2,3,3,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
d019d5db,Håkon Evjen,18,NOR,RW,20-258,25,0,0,0,0,0,0,0,0,16,4,1,0,0.0,0.0,0.0,0,0,10,10,100.0,1,9,1,1,1,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
48a2b92a,Dani de Wit,10,NED,AM,22-275,90,0,0,0,0,0,0,0,0,53,2,2,1,0.0,0.0,0.1,3,1,32,44,72.7,5,26,1,1,0,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
a26fb8aa,Teun Koopmeiners,8,NED,DM,22-244,90,1,1,1,1,1,0,1,0,72,3,1,2,0.9,0.1,0.4,2,1,48,57,84.2,3,39,2,2,0,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
7b57c56a,Fredrik Midtsjø,6,NOR,DM,27-079,90,0,2,0,0,0,0,0,0,52,1,0,4,0.0,0.0,0.6,4,2,36,43,83.7,6,29,1,0,0,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
83300259,Owen Wijndal,5,NED,LB,20-336,90,0,0,0,0,1,1,0,0,93,2,2,2,0.0,0.0,0.0,3,1,62,77,80.5,4,50,2,3,3,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
7bc34048,Bruno Martins Indi,15,NED,CB,28-264,88,0,0,0,0,0,0,0,0,64,0,1,2,0.0,0.0,0.0,0,0,53,55,96.4,0,46,0,0,0,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
e791ed65,Maxim Gullit,40,NED,CB,19-162,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
78a3c38e,Pantelis Hatzidiakos,3,GRE,CB,23-285,61,0,0,0,0,0,0,0,0,51,1,3,0,0.0,0.0,0.0,2,1,39,41,95.1,1,33,0,0,0,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
7dc7187e,Ramon Leeuwin,27,SUR,CB,33-058,29,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,14,15,93.3,0,13,0,0,0,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
deb20131,Jonas Svensson,2,NOR,RB,27-237,90,0,0,0,0,0,0,0,0,63,1,2,1,0.0,0.0,0.0,2,1,50,56,89.3,4,33,0,1,0,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
3d214e5f,Marco Bizot,1,NED,GK,29-233,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,26,44,59.1,0,26,0,0,0,AZ Alkmaar,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
8d7fe72a,Luka Menalo,17,BIH,FW,24-099,63,0,0,0,0,0,0,1,0,26,1,0,0,0.0,0.0,0.0,0,0,15,18,83.3,1,17,1,3,2,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
b82df7cb,Sterling Yatékée,11,CTA,FW,21-044,27,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,3,6,50.0,1,3,2,1,0,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
981e1bee,Sandro Kulenović,99,CRO,FW,20-330,90,1,0,0,0,2,1,1,0,29,1,3,0,1.0,1.0,0.0,0,0,12,21,57.1,1,11,1,2,0,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
816bdfdd,Stjepan Lončar,44,BIH,CM,23-354,90,0,1,0,0,2,0,0,0,66,1,1,0,0.1,0.1,0.6,3,1,45,59,76.3,10,39,9,2,2,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
d7a70e5e,Domagoj Pavičić,10,CRO,CM,26-234,90,0,0,0,0,0,0,0,0,72,2,0,1,0.0,0.0,0.4,5,0,61,64,95.3,6,40,3,11,8,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
84a42351,Franko Andrijašević,19,CRO,CM,29-129,63,0,0,0,0,2,1,0,0,49,0,4,0,0.1,0.1,0.0,2,0,28,38,73.7,4,17,1,4,3,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
e8acf576,Tibor Halilović,8,CRO,CM,25-225,27,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.1,1,0,19,21,90.5,6,11,1,0,0,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
55c95c3e,Daniel Štefulj,24,CRO,LB,20-356,79,0,0,0,0,0,0,0,0,63,1,0,1,0.0,0.0,0.0,2,0,45,59,76.3,1,30,4,0,0,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
8d711616,Armando Anastasio,23,ITA,LB,24-097,11,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,8,50.0,0,6,0,0,0,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
c967f6b8,Hrvoje Smolčić,36,CRO,CB,20-073,90,0,0,0,0,0,0,0,0,82,2,0,2,0.0,0.0,0.0,0,0,64,74,86.5,5,36,0,4,2,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
d8ff3b2c,Darko Velkovski,14,MKD,CB,25-130,63,0,0,0,0,0,0,0,0,55,4,1,0,0.0,0.0,0.0,0,0,38,48,79.2,4,22,0,0,0,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
370ae604,Ivan Lepinjica,6,CRO,CB,21-112,27,0,0,0,0,0,0,1,0,26,1,0,0,0.0,0.0,0.0,1,1,24,25,96.0,2,17,1,0,0,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
37736209,João Escoval,26,POR,CB,23-174,90,0,0,0,0,0,0,0,0,83,7,4,3,0.0,0.0,0.0,0,0,55,67,82.1,6,32,0,1,1,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
c8694401,Ivan Tomečak,27,CRO,RB,30-327,79,0,0,0,0,2,0,0,0,69,4,1,0,0.1,0.1,0.1,3,0,40,54,74.1,7,32,3,7,4,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
b036b4e2,Momčilo Raspopović,20,MNE,RB,26-225,11,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,0,9,1,2,1,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
cd4959d1,Ivan Nevistić,33,CRO,GK,22-090,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,19,25,76.0,0,13,0,0,0,Rijeka,2020-10-29 AZ Alkmaar-Rijeka,UEL,20-21,b686c04d
