id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
43458538,Joshua King,17,NOR,FW,26-222,89,1,0,1,1,3,0,0,0,34,1,0,1,1.0,0.2,0.3,2,1,14,22,63.6,3,23,2,2,1,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
d9cfca3d,Lys Mousset,9,FRA,FW,22-198,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
c596fcb0,Callum Wilson,13,ENG,FW,26-179,90,0,0,0,0,5,1,0,0,26,0,0,0,0.7,0.7,0.1,6,2,13,19,68.4,3,22,3,0,0,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
d56543a0,Ryan Fraser,24,SCO,"LM,RB",24-182,90,0,0,0,0,2,1,0,0,52,0,2,2,0.0,0.0,0.4,6,0,24,40,60.0,5,27,3,4,2,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
7fec31a0,Dan Gosling,4,ENG,CM,28-205,90,0,0,0,0,1,0,0,0,56,3,0,2,0.0,0.0,0.0,2,0,35,45,77.8,6,38,0,0,0,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
7d41b619,Andrew Surman,6,ENG,CM,32-005,75,0,0,0,0,0,0,0,0,48,2,0,0,0.0,0.0,0.0,2,0,38,42,90.5,5,25,1,0,0,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
2afc7272,Lewis Cook,16,ENG,CM,21-203,15,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,1,8,0,3,2,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
dc4cae05,David Brooks,20,WAL,RM,21-048,63,0,0,0,0,2,0,0,0,33,1,1,1,0.1,0.1,0.1,2,0,14,22,63.6,2,16,0,2,0,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
9f736ed2,Jordon Ibe,10,ENG,RM,22-260,27,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,4,0,9,12,75.0,1,11,5,3,0,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
9d107085,Charlie Daniels,11,ENG,LB,31-352,90,0,0,0,0,0,0,0,0,66,4,1,1,0.0,0.0,0.0,2,0,39,54,72.2,6,30,3,0,0,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
eaeca114,Nathan Aké,5,NED,CB,23-188,90,1,0,0,0,2,1,0,0,55,1,0,0,0.3,0.3,0.0,1,0,45,49,91.8,4,39,0,0,0,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
3e5e4e63,Steve Cook,3,ENG,CB,27-128,90,0,0,0,0,1,1,0,0,70,2,2,1,0.0,0.0,0.0,1,0,47,60,78.3,8,42,0,0,0,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
20b104bc,Adam Smith,15,ENG,RB,27-118,60,0,0,0,0,0,0,0,1,42,3,2,1,0.0,0.0,0.0,1,0,30,35,85.7,2,19,3,1,1,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
7b4de647,Asmir Begović,27,BIH,GK,31-066,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,24,30,80.0,0,17,0,0,0,Bournemouth,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
9a104dee,Cenk Tosun,14,TUR,FW,27-079,83,0,1,0,0,2,0,1,0,36,1,0,1,0.1,0.1,0.1,2,1,20,26,76.9,2,23,1,2,0,Everton,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
59e6e5bf,Dominic Calvert-Lewin,29,ENG,FW,21-162,7,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,1,5,0,0,0,Everton,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
76dd1480,Gylfi Sigurðsson,10,ISL,"LM,FW",28-351,90,0,1,0,0,1,0,1,0,31,2,3,0,0.0,0.0,0.2,4,2,18,23,78.3,3,18,2,2,1,Everton,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
fa031b34,Richarlison,30,BRA,LM,21-107,40,0,0,0,0,1,0,0,1,21,0,0,0,0.0,0.0,0.0,1,0,10,14,71.4,0,15,2,5,2,Everton,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
72c812f3,Idrissa Gana Gueye,17,SEN,CM,28-333,90,0,0,0,0,0,0,1,0,74,7,1,1,0.0,0.0,0.0,2,0,50,58,86.2,7,45,1,2,2,Everton,2018-08-25 Bournemouth-Everton,ENG-EPL,18-19,b9a56747
