id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8790f988,Gianluca Scamacca,91,ITA,FW,23-114,90,0,0,0,0,3,2,1,0,33,1,0,1,0.2,0.2,0.1,2,0,16,22,72.7,1,14,0,0,0,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
570bb4b9,Hamed Junior Traorè,23,CIV,LW,22-068,78,0,0,0,0,3,0,0,0,46,0,2,0,0.2,0.2,0.1,2,0,24,34,70.6,2,31,6,2,0,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
eccbe56a,Filip Đuričić,10,SRB,LW,30-085,12,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,1,0,12,13,92.3,1,7,2,0,0,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
53a0e358,Domenico Berardi,25,ITA,RW,27-267,78,0,1,0,0,2,1,0,0,61,0,0,1,0.1,0.1,0.5,6,1,43,55,78.2,4,43,4,1,0,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
854ee61a,Grégoire Defrel,92,MTQ,RW,30-312,12,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,1,0,6,7,85.7,1,7,1,1,1,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
6e058f06,Giacomo Raspadori,18,ITA,AM,22-066,90,1,0,0,0,3,1,0,0,66,2,0,1,0.3,0.3,0.1,6,0,47,56,83.9,9,40,2,1,1,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
2a7d27c1,Davide Frattesi,16,ITA,DM,22-185,87,0,0,0,0,5,2,0,0,79,0,0,1,0.5,0.5,0.0,4,0,56,67,83.6,6,41,5,2,1,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
a2d9f138,Matheus Henrique,97,BRA,DM,24-127,3,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.1,1,0,6,7,85.7,2,7,1,2,2,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
20094685,Maxime Lopez,8,FRA,DM,24-142,90,0,0,0,0,0,0,1,0,134,4,2,0,0.0,0.0,0.0,4,0,119,124,96.0,13,70,6,0,0,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
0a483542,Giorgos Kyriakopoulos,77,GRE,LB,26-079,89,0,0,0,0,1,0,0,1,74,4,1,2,0.0,0.0,0.1,2,1,57,66,86.4,6,37,3,0,0,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
2200181e,Kaan Ayhan,5,TUR,CB,27-166,90,0,0,0,0,0,0,0,0,78,1,0,2,0.0,0.0,0.0,1,0,70,71,98.6,5,48,1,1,1,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
c316607a,Vlad Chiricheș,21,ROU,CB,32-162,90,0,0,0,0,1,0,0,0,86,1,2,0,0.0,0.0,0.0,0,0,75,78,96.2,5,46,0,0,0,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
1295552e,Mert Müldür,17,TUR,RB,23-022,90,0,0,0,0,3,1,0,0,83,0,0,1,0.1,0.1,0.2,4,0,69,77,89.6,7,49,7,0,0,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
8cabdc1e,Andrea Consigli,47,ITA,GK,35-088,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,23,25,92.0,0,18,0,0,0,Sassuolo,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
129af0db,Álvaro Morata,9,ESP,FW,29-184,66,0,0,0,0,4,1,0,0,29,2,0,0,0.3,0.3,0.0,2,1,13,16,81.3,2,12,1,0,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
3d50bcdb,Moise Kean,18,ITA,FW,22-056,24,1,0,0,0,1,1,1,0,14,1,0,0,0.1,0.1,0.0,0,0,6,6,100.0,0,8,0,2,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
e0921a4f,Paulo Dybala,10,ARG,FW,28-161,53,1,0,0,0,3,2,0,0,23,0,0,0,0.3,0.3,0.0,0,0,10,15,66.7,3,13,0,3,2,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
79443529,Dušan Vlahović,7,SRB,FW,22-087,37,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,1,8,0,3,2,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
8794e251,Adrien Rabiot,25,FRA,LM,27-022,90,0,0,0,0,1,1,0,0,49,2,1,2,0.0,0.0,0.0,1,0,25,36,69.4,3,21,2,0,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
94b2001f,Danilo,6,BRA,CM,30-284,90,0,0,0,0,0,0,0,0,58,2,1,5,0.0,0.0,0.0,0,0,44,49,89.8,2,25,0,0,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
384d58d9,Denis Zakaria,28,SUI,CM,25-156,90,0,1,0,0,0,0,0,0,39,1,4,2,0.0,0.0,0.1,1,1,17,22,77.3,0,8,1,1,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
ee93c1a9,Federico Bernardeschi,20,ITA,RM,28-068,86,0,0,0,0,1,0,0,0,33,1,1,1,0.0,0.0,0.0,4,0,20,23,87.0,5,14,3,5,2,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
34693494,Fabio Miretti,47,ITA,RM,18-265,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
0d82903c,Alex Sandro,12,BRA,LB,31-089,90,0,1,0,0,0,0,0,0,44,1,0,4,0.0,0.0,0.1,1,1,26,32,81.3,3,19,0,0,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
14b8fcdf,Daniele Rugani,24,ITA,CB,27-270,53,0,0,0,0,0,0,0,0,26,1,0,2,0.0,0.0,0.0,0,0,21,21,100.0,0,11,0,0,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
e85fb9b8,Giorgio Chiellini,3,ITA,CB,37-254,37,0,0,0,0,0,0,0,0,34,0,2,0,0.0,0.0,0.0,1,0,22,28,78.6,1,14,1,0,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
52ec54d0,Leonardo Bonucci,19,ITA,CB,34-359,90,0,0,0,0,0,0,0,0,64,0,0,1,0.0,0.0,0.0,1,1,49,59,83.1,1,25,1,0,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
ae4e2852,Mattia De Sciglio,2,ITA,RB,29-187,90,0,0,0,0,0,0,1,0,49,1,1,1,0.0,0.0,0.4,4,0,30,43,69.8,2,19,3,0,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
01b8a2b2,Wojciech Szczęsny,1,POL,GK,32-007,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,2,0,45,53,84.9,0,34,0,0,0,Juventus,2022-04-25 Sassuolo-Juventus,ITA-SERIA_A,21-22,ba21320e
