id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4a478107,José Luis Morales,11,ESP,"FW,LW",34-272,90,1,1,1,2,1,0,0,0,33,0,0,1,1.6,0.0,0.9,7,2,11,22,50.0,2,23,5,7,3,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
0e5ddc7c,Dani Gómez,21,ESP,FW,23-265,75,0,0,0,0,3,1,0,0,16,0,1,0,0.1,0.1,0.0,2,0,6,7,85.7,0,13,1,1,0,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
9d66fbe3,Roberto Soldado,16,ESP,FW,36-329,15,1,0,0,0,1,1,0,0,9,0,0,1,0.6,0.6,0.0,0,0,2,5,40.0,0,3,0,0,0,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
3902e91b,Gonzalo Melero,22,ESP,CM,28-109,65,0,0,0,0,1,1,0,0,20,0,0,0,0.0,0.0,0.0,0,0,16,16,100.0,3,16,0,0,0,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
cac2537b,Enis Bardhi,10,MKD,"LM,CM",26-293,25,0,0,0,0,2,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,7,8,87.5,2,7,0,0,0,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
27dc1378,José Luis García Vayá,8,ESP,CM,23-253,90,0,0,0,0,1,1,1,0,63,2,0,0,0.0,0.0,0.1,5,0,44,57,77.2,5,33,1,1,0,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
b5dd3469,Nemanja Radoja,5,SRB,"CM,RM",29-074,90,0,0,0,0,0,0,0,0,42,2,0,2,0.0,0.0,0.0,5,1,29,34,85.3,4,29,0,2,2,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
037dbd30,Son,2,ESP,"LB,RB",28-022,90,0,0,0,0,2,1,0,0,42,0,0,0,0.1,0.1,0.0,1,0,29,36,80.6,5,28,2,3,1,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
c67cd65c,Rúben Vezo,14,POR,CB,27-361,75,0,0,0,0,1,0,0,0,47,1,2,1,0.0,0.0,0.0,1,0,23,34,67.6,4,25,2,0,0,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
4aa253fd,Álex Cantero,29,ESP,"RW,CB",21-317,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,4,0,1,1,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
474ecac8,Sergio Postigo,15,ESP,CB,33-168,38,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,15,18,83.3,1,14,0,0,0,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
aa0ac32d,Óscar Duarte,6,CRC,CB,32-322,52,0,0,0,0,1,0,0,0,35,0,0,1,0.1,0.1,0.0,0,0,23,31,74.2,0,17,0,0,0,Levante,2022-04-21 Levante-Sevilla,ESP-LALIGA,21-22,ba74c3a8
