id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
fcbcbd94,Moussa Konaté,11,SEN,FW,27-306,58,0,0,0,0,2,1,0,0,21,0,0,1,0.2,0.2,0.1,1,0,8,11,72.7,0,13,1,1,1,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
fb14aa28,Mama Samba Baldé,17,GNB,FW,25-089,32,0,0,0,0,1,0,0,0,20,0,0,0,0.1,0.1,0.0,0,0,12,15,80.0,2,16,0,2,1,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
8802c1d5,Frédéric Sammaritano,7,FRA,LW,34-317,58,0,0,0,0,3,0,0,0,31,4,3,0,0.4,0.4,0.1,1,0,12,16,75.0,0,15,3,1,0,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
45c1c326,Mounir Chouiar,21,FRA,LW,22-011,32,0,0,0,0,0,0,1,0,17,0,0,1,0.0,0.0,0.1,2,0,9,10,90.0,0,15,2,4,3,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
95bb6ddc,Junior Dina Ebimbe,8,FRA,RW,20-074,84,0,0,0,0,3,0,0,0,38,1,0,0,0.4,0.4,0.1,7,0,23,27,85.2,2,26,2,4,1,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
6c8ddd52,Sacha Boey,2,FRA,RW,20-143,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
873ce3a2,Pape Cheikh Diop,6,SEN,LM,23-179,58,0,0,0,0,1,0,0,0,28,1,0,1,0.0,0.0,0.3,3,0,21,24,87.5,3,26,1,2,1,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
3043d33f,Bersant Celina,9,KVX,LM,24-147,32,0,0,0,0,1,1,0,0,17,0,0,0,0.1,0.1,0.1,2,0,12,15,80.0,5,15,1,0,0,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
6e5b5a45,Wesley Lautoa,24,NCL,CM,33-162,79,0,0,0,0,0,0,0,0,38,0,2,0,0.0,0.0,0.0,0,0,28,33,84.8,4,20,0,0,0,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
0d2158d5,Jordan Marié,14,FRA,CM,29-127,11,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,1,0,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
885b7aa7,Didier Ibrahim Ndong,22,GAB,RM,26-231,90,0,0,0,0,2,0,0,0,68,4,1,3,0.1,0.1,0.3,1,0,41,52,78.8,2,51,2,3,2,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
b748968d,Muzinga Ngonda,3,COD,LB,26-034,90,0,0,0,0,0,0,0,0,72,4,4,5,0.0,0.0,0.0,2,0,36,53,67.9,3,33,1,6,2,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
67b7357e,Senou Coulibaly,5,MLI,CB,26-152,90,0,0,0,0,0,0,1,0,36,2,1,2,0.0,0.0,0.0,0,0,19,25,76.0,0,18,0,0,0,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
72a0fb65,Bruno Ecuele Manga,25,GAB,CB,32-202,90,0,0,0,0,1,0,0,0,48,1,1,0,0.1,0.1,0.0,2,0,29,42,69.0,3,33,1,1,1,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
edd1466a,Fouad Chafik,26,MAR,RB,34-110,90,0,0,0,0,0,0,0,0,75,6,0,0,0.0,0.0,0.0,1,0,53,65,81.5,8,49,5,0,0,Dijon,2021-02-03 Dijon-Lyon,FRA-L1,20-21,bf694a73
