id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
aed3a70f,Ollie Watkins,11,ENG,FW,26-121,90,1,0,0,0,6,1,0,0,37,2,0,1,0.6,0.6,0.2,3,0,16,23,69.6,2,27,6,1,0,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
0ef89a37,Philippe Coutinho,23,BRA,"LM,AM",29-322,75,0,0,0,0,4,0,0,0,50,2,1,2,0.2,0.2,0.2,7,0,26,37,70.3,5,33,7,1,0,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
66b76d44,Emi Buendía,10,ARG,AM,25-126,15,0,1,0,0,1,0,0,0,26,0,0,0,0.1,0.1,0.4,3,0,20,22,90.9,3,19,2,3,3,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
1544f145,Jacob Ramsey,41,ENG,"LM,CM",20-337,90,0,0,0,0,2,1,1,0,61,2,2,2,0.4,0.4,0.2,5,1,41,50,82.0,5,43,9,3,2,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
90f91999,John McGinn,7,SCO,"RM,CM",27-194,90,0,0,0,0,1,0,0,0,47,6,1,1,0.1,0.1,0.0,2,0,31,40,77.5,5,30,3,3,3,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
3a233281,Leon Bailey,31,JAM,RM,24-264,39,0,0,0,0,1,1,0,0,17,1,0,0,0.0,0.0,0.0,0,0,8,13,61.5,1,12,1,2,0,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
07802f7f,Danny Ings,20,ENG,FW,29-281,51,1,1,0,0,4,2,1,0,26,1,0,2,0.4,0.4,0.2,6,1,11,16,68.8,2,15,1,0,0,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
84c5ceea,Tim Iroegbunam,47,ENG,DM,18-304,72,0,0,0,0,1,0,1,0,24,3,2,0,0.1,0.1,0.0,0,0,14,17,82.4,2,11,0,0,0,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
6f7d826d,Douglas Luiz,6,BRA,DM,23-356,18,0,0,0,0,0,0,0,0,16,2,0,0,0.0,0.0,0.0,1,0,15,15,100.0,0,13,0,0,0,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
1b84dbe1,Lucas Digne,27,FRA,LB,28-284,90,0,0,0,0,0,0,0,0,64,1,2,1,0.0,0.0,0.2,8,1,48,56,85.7,4,37,3,0,0,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
8397a50c,Tyrone Mings,5,ENG,CB,29-048,90,0,0,0,0,0,0,0,0,40,0,3,0,0.0,0.0,0.0,0,0,23,35,65.7,1,26,0,0,0,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
dc6f5bdd,Calum Chambers,16,ENG,CB,27-100,90,0,0,0,0,0,0,1,0,52,5,1,0,0.0,0.0,0.0,0,0,35,42,83.3,1,35,0,0,0,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
2389cdc2,Matty Cash,2,POL,RB,24-266,90,0,0,0,0,1,1,0,0,57,1,1,0,0.0,0.0,0.0,1,0,38,49,77.6,2,30,4,2,1,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
7956236f,Emiliano Martínez,1,ARG,GK,29-240,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,21,28,75.0,0,16,0,0,0,Aston Villa,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
0745b37d,Teemu Pukki,22,FIN,FW,32-032,90,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.1,1,0,14,14,100.0,0,11,0,2,1,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
6c6a3300,Milot Rashica,17,KVX,LW,25-306,76,0,0,0,0,1,1,0,0,32,2,0,1,0.0,0.0,0.0,5,0,15,21,71.4,2,22,3,2,1,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
8c12f884,Jon Rowe,46,ENG,LW,19-000,14,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,3,0,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
2f6ec02a,Kieran Dowell,10,ENG,RW,24-202,90,0,0,0,0,0,0,0,0,40,2,1,1,0.0,0.0,0.1,3,0,20,30,66.7,2,18,2,2,2,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
f5044e54,Pierre Lees-Melou,20,FRA,AM,28-340,66,0,0,0,0,2,1,0,0,31,0,0,0,0.2,0.2,0.0,1,0,24,27,88.9,4,22,3,2,1,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
a8d4428b,Josh Sargent,24,USA,AM,22-069,14,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,1,1,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
3faa1780,Lukas Rupp,7,GER,AM,31-112,10,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,1,3,1,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
8996350d,Mathias Normann,16,NOR,DM,25-337,90,0,0,0,0,2,0,0,0,69,3,1,2,0.0,0.0,0.0,0,0,43,56,76.8,4,44,0,0,0,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
df10e27c,Billy Gilmour,8,SCO,DM,20-323,90,0,0,0,0,0,0,0,0,77,0,0,1,0.0,0.0,0.0,1,0,61,72,84.7,7,52,0,1,1,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
5e74d6c8,Brandon Williams,21,ENG,LB,21-239,90,0,0,0,0,2,1,0,0,73,3,4,0,0.1,0.1,0.0,3,0,47,62,75.8,3,47,2,1,1,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
1bf811d4,Sam Byram,3,ENG,CB,28-226,90,0,0,0,0,0,0,0,0,81,0,2,3,0.0,0.0,0.0,0,0,56,69,81.2,2,48,1,0,0,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
e9254eec,Grant Hanley,5,SCO,CB,30-161,90,0,0,0,0,1,0,0,0,69,1,5,1,0.1,0.1,0.1,1,0,53,60,88.3,0,40,1,0,0,Norwich City,2022-04-30 Aston Villa-Norwich City,ENG-EPL,21-22,bf7873f2
